ID	adj_pval
GO:0006952	8.7e-15
GO:0033500	1e-14
GO:0007231	1e-14
GO:0008272	1e-14
GO:0010086	1.9e-13
GO:0009116	2.2e-12
GO:2000300	3.6e-12
GO:0007040	3.6e-12
GO:0006099	1.2e-11
GO:0120029	1.3e-11
GO:0016310	3.8e-11
GO:0051453	2.2e-10
GO:0006468	2.2e-10
GO:0032418	4.2e-10
GO:0008333	4.2e-10
GO:0006891	8.9e-10
GO:0034620	1.3e-09
GO:0071329	1.6e-08
GO:0033356	2.4e-08
GO:0006096	1e-07
GO:0048831	1.7e-07
GO:0002229	2e-07
GO:0009086	2.1e-07
GO:0006886	3.4e-07
GO:0009725	5.8e-07
GO:0042742	7.5e-07
GO:0006122	8.6e-07
GO:0055114	1e-06
GO:0042026	1e-06
GO:0006189	1.1e-06
GO:0048278	1.2e-06
GO:0009097	1.3e-06
GO:0071712	3e-06
GO:0006508	3.4e-06
GO:0034551	3.9e-06
GO:0006890	4.6e-06
GO:0055085	7.6e-06
GO:0006887	8.9e-06
GO:0043666	9.9e-06
GO:0006102	1.4e-05
GO:0072657	1.6e-05
GO:0018106	1.8e-05
GO:0046274	2.2e-05
GO:0008152	2.4e-05
GO:0090156	3.6e-05
GO:1900060	3.6e-05
GO:0009251	3.6e-05
GO:0009736	4.1e-05
GO:0070863	6.6e-05
GO:0006384	1e-04
GO:0023014	0.00015
GO:0031647	0.00015
GO:0034355	0.00015
GO:0070262	0.00015
GO:0002183	0.00017
GO:0006511	0.00019
GO:0006164	2e-04
GO:0000973	0.00021
GO:0006364	0.00022
GO:0010629	0.00022
GO:0048205	0.00023
GO:0009729	0.00023
GO:0051228	0.00023
GO:2001289	0.00023
GO:0000278	0.00023
GO:0051601	0.00024
GO:0006101	0.00024
GO:0000460	0.00025
GO:0032509	0.00031
GO:0090502	0.00031
GO:0018105	0.00038
GO:0010315	4e-04
GO:0010229	0.00044
GO:0042732	0.00054
GO:0010930	0.00054
GO:0048509	0.00065
GO:0070814	0.00067
GO:0051645	0.00067
GO:0033566	0.00067
GO:0051391	0.00067
GO:0070981	0.00067
GO:0000717	0.00067
GO:1904812	0.00067
GO:0045951	0.00067
GO:0006015	0.00069
GO:0016070	0.00074
GO:0006480	0.00082
GO:0051639	0.00082
GO:0015919	0.00082
GO:0006168	0.00087
GO:0006880	0.00087
GO:0055072	0.00091
GO:0016036	0.00094
GO:0051085	0.00115
GO:0042776	0.0012
GO:0006108	0.00133
GO:0019752	0.00156
GO:0000266	0.00161
GO:0006429	0.00164
GO:0006012	0.00175
GO:0043531	NA
GO:0005524	4.7e-25
GO:0010333	4.8e-15
GO:0009885	1.6e-14
GO:0003924	1.3e-13
GO:0020037	3.8e-13
GO:0005200	8e-13
GO:0015276	3.4e-11
GO:0019955	9.4e-11
GO:0000287	1e-10
GO:0031072	1.2e-10
GO:0005506	1.4e-09
GO:0008460	7.1e-09
GO:0008234	8.5e-09
GO:0030246	2.5e-08
GO:0004190	4.6e-08
GO:0000149	5.8e-08
GO:0016705	7.9e-08
GO:0032440	1e-07
GO:0061631	1.9e-07
GO:0016301	3.6e-07
GO:0030247	7.1e-07
GO:0005525	1e-06
GO:0030941	1.2e-06
GO:0004523	1.5e-06
GO:0030060	1.9e-06
GO:0016709	2.3e-06
GO:0004073	2.3e-06
GO:0051787	3.1e-06
GO:0008097	3.2e-06
GO:0008553	3.3e-06
GO:0051082	4.4e-06
GO:0043424	6.2e-06
GO:0000155	8.1e-06
GO:0004643	9.7e-06
GO:1990825	9.7e-06
GO:0003937	9.7e-06
GO:0052691	9.7e-06
GO:0005484	1e-05
GO:0005488	1.2e-05
GO:0019888	1.3e-05
GO:0004322	1.5e-05
GO:0052716	3e-05
GO:0008422	5.8e-05
GO:0004630	6.3e-05
GO:0070290	6.3e-05
GO:0004459	6.9e-05
GO:0004497	8.7e-05
GO:0004672	9.3e-05
GO:0004176	0.00011
GO:0080043	0.00013
GO:0080044	0.00013
GO:0044183	0.00017
GO:0004639	0.00017
GO:0003999	0.00017
GO:0003871	0.00017
GO:0050377	0.00017
GO:0004516	0.00017
GO:0015297	0.00019
GO:0016174	2e-04
GO:0019158	0.00021
GO:0004340	0.00021
GO:0004749	0.00025
GO:0004365	0.00025
GO:0016464	0.00025
GO:0050664	0.00027
GO:0035615	0.00027
GO:0003978	0.00027
GO:0004869	0.00028
GO:0009931	0.00028
GO:0030626	0.00035
GO:0017091	0.00037
GO:0008198	0.00039
GO:0005509	4e-04
GO:0051117	0.00041
GO:0031386	0.00042
GO:0016887	0.00046
GO:0008199	0.00049
GO:0000171	0.00054
GO:0010181	0.00058
GO:0004467	0.00059
GO:0004751	0.00063
GO:0046522	0.00074
GO:0008840	0.00074
GO:0003878	0.00074
GO:1990883	0.00074
GO:0017049	0.00074
GO:0004577	0.00074
GO:0032051	0.00074
GO:0010280	0.00074
GO:0004070	0.00074
GO:0004675	0.00078
GO:0004097	0.00079
GO:0051287	0.00082
GO:0046408	0.00093
GO:0003958	0.00093
GO:0004592	0.00093
GO:0004449	0.00093
GO:0097157	0.00096
GO:0004066	0.00097
GO:0005829	2.8e-17
GO:0030126	1.3e-10
GO:0099078	1.7e-10
GO:0031083	2.9e-10
GO:0005750	5.7e-08
GO:0000159	1.7e-07
GO:0048046	4.3e-07
GO:0043186	7.4e-07
GO:0000127	2.7e-06
GO:0071004	9e-06
GO:0034098	9.4e-06
GO:0000172	1.6e-05
GO:0035339	2.5e-05
GO:0005686	4.4e-05
GO:0005737	7.6e-05
GO:0010494	8.4e-05
GO:0009840	1e-04
GO:0062091	0.00014
GO:0034399	0.00015
GO:0016021	0.00015
GO:0005749	0.00016
GO:0005793	0.00021
GO:0002189	0.00047
GO:0071261	0.00052
GO:0071439	0.00052
GO:0030121	0.00052
GO:0031201	0.00052
GO:0005886	0.00058
GO:0032432	0.00059
GO:0009514	0.00059
GO:0030141	0.00064
GO:0000015	0.00068
GO:0070847	0.00074
GO:0030134	0.00097
GO:0032580	0.00097
GO:0000145	0.00116
GO:0000221	0.00132
GO:0030677	0.00146
GO:0030688	0.00162
GO:0031932	0.00162
GO:0043541	0.0021
GO:0070209	0.0021
GO:0030687	0.00215
GO:0031359	0.00222
GO:0017059	0.00234
GO:0043291	0.00235
GO:0031021	0.00235
GO:1990298	0.00253
GO:0008274	0.00253
GO:0033597	0.00253
GO:0005839	0.00338
GO:0031931	0.00512
GO:0005618	0.00669
GO:0005884	0.00686
GO:0005730	0.00703
GO:0019185	0.00724
GO:0005687	0.00784
GO:0005802	0.00899
GO:0035618	0.00966
GO:0071458	0.01041
GO:0042406	0.01041
GO:0071556	0.01041
GO:0034663	0.01041
GO:0019867	0.01064
GO:0031004	0.01066
GO:0030906	0.01066
GO:0005615	0.01069
GO:0032040	0.01111
GO:0000786	0.01178
GO:0005788	0.01189
GO:0031461	0.01254
GO:0005719	0.01581
GO:0000502	0.01611
GO:0000815	0.01627
GO:0005764	0.01766
GO:0017087	0.01867
GO:0000139	0.01963
GO:0005789	0.02038
GO:0016020	0.02039
GO:0032039	0.02394
GO:0030122	0.02394
GO:0033588	0.02422
GO:0005655	0.02918
GO:0008352	0.02918
GO:0001673	0.02918
GO:0010319	0.03016
GO:0017119	0.03359
GO:0005786	0.03607
GO:0071013	0.04256
GO:0005783	0.04369
GO:0030130	0.04614
GO:0030132	0.04618
GO:0031595	0.0462
GO:0031415	0.0462
GO:0070390	0.04628
GO:0005856	0.04675
GO:0010168	0.04796
GO:0018444	0.04796
GO:0031314	0.04796
GO:0009986	0.04796
