ID	adj_pval
GO:0007231	1e-26
GO:0010086	2.6e-26
GO:0071329	1.5e-21
GO:0008272	2.3e-21
GO:0033500	4.8e-21
GO:0009736	4.8e-21
GO:0018106	6.8e-21
GO:0042742	8.6e-20
GO:0016036	3.9e-18
GO:0010029	4.9e-18
GO:0048509	1.4e-17
GO:0051639	7.8e-15
GO:0048831	1.3e-14
GO:0000160	4e-13
GO:0009116	5.2e-12
GO:0009414	1.4e-11
GO:0010930	6.4e-11
GO:0051017	9.6e-11
GO:0010229	1.2e-10
GO:0010364	1.7e-09
GO:1900055	1.3e-08
GO:0006606	3.3e-08
GO:0042274	5.3e-08
GO:0006470	6.1e-08
GO:0006390	8e-08
GO:0002229	1e-07
GO:0007019	1.4e-07
GO:0051013	2e-06
GO:0006425	4e-06
GO:0071277	1.1e-05
GO:0006405	1.9e-05
GO:0061615	2.1e-05
GO:0015940	3.2e-05
GO:0005991	3.6e-05
GO:0007178	5e-05
GO:0018108	5.6e-05
GO:0060548	0.00011
GO:0006002	0.00014
GO:0005982	0.00022
GO:0015995	0.00027
GO:0055129	0.00051
GO:0006952	8e-04
GO:0098542	0.00104
GO:0016310	0.00127
GO:0000398	0.00127
GO:0010228	0.00444
GO:0007165	0.00478
GO:0009409	0.02692
GO:0006561	0.02881
GO:0050789	0.03587
GO:0045892	0.04663
GO:0009885	1.1e-26
GO:0043424	3.1e-22
GO:0000155	2e-20
GO:0019955	7.7e-17
GO:0030626	2.5e-12
GO:0097157	4.8e-12
GO:0004721	2.1e-09
GO:0046408	1.4e-07
GO:0017056	1.7e-07
GO:0004350	2e-07
GO:0051015	2.4e-06
GO:0008568	2.6e-06
GO:0004819	4e-06
GO:0004714	6.4e-06
GO:0004592	1.6e-05
GO:0003872	2.1e-05
GO:0004349	3.4e-05
GO:0005543	8.4e-05
GO:0004675	1e-04
GO:0005544	0.00033
GO:0005488	7e-04
GO:0003899	0.00362
GO:0004190	0.00534
GO:0016301	0.00696
GO:0016788	0.01017
GO:0016705	0.02032
GO:0008017	0.02376
GO:0046983	0.02918
GO:0030246	0.02971
GO:0005506	0.03776
GO:0032432	3.5e-15
GO:0005884	7.7e-14
GO:0044613	5.7e-11
GO:0034399	5.3e-09
GO:0034245	5.2e-08
GO:0008352	9.3e-08
GO:0005730	0.0028
GO:0005829	0.0047
GO:0005783	0.0063
GO:0005635	0.0144
