Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	0.00017	OG0007068, OG0015237	Tfasc_v1.08739, Tfasc_v1.19779
BP	GO:0071423	malate transmembrane transport	0.00101	OG0007068, OG0015237	Tfasc_v1.08739, Tfasc_v1.19779
BP	GO:1902074	response to salt	0.00247	OG0003543, OG0000628	Tfasc_v1.00158, Tfasc_v1.21339
BP	GO:0007623	circadian rhythm	0.00302	OG0000860, OG0000628	Tfasc_v1.10731, Tfasc_v1.10734, Tfasc_v1.10739, Tfasc_v1.21339
BP	GO:0003400	regulation of COPII vesicle coating	0.00578	OG0003360, OG0000317	Tfasc_v1.20247, Tfasc_v1.29084
BP	GO:0006656	phosphatidylcholine biosynthetic process	0.00578	OG0008393, OG0005301	Tfasc_v1.09365, Tfasc_v1.18869
BP	GO:0006357	regulation of transcription by RNA polymerase II	0.00665	OG0007114, OG0004759, OG0015962, OG0005211, OG0001251, OG0012987, OG0002112, OG0000768	Tfasc_v1.08834, Tfasc_v1.10681, Tfasc_v1.12091, Tfasc_v1.14807, Tfasc_v1.20458, Tfasc_v1.23793, Tfasc_v1.24846, Tfasc_v1.26701
BP	GO:0048481	plant ovule development	0.0121	OG0002971, OG0015663	Tfasc_v1.06437, Tfasc_v1.08074
BP	GO:0015709	thiosulfate transport	0.0131	OG0007068	Tfasc_v1.08739
BP	GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0.0131	OG0008051	Tfasc_v1.15129
BP	GO:0006522	alanine metabolic process	0.0131	OG0010183	Tfasc_v1.17586
BP	GO:0006103	2-oxoglutarate metabolic process	0.0131	OG0010183	Tfasc_v1.17586
BP	GO:0031535	plus-end directed microtubule sliding	0.0131	OG0011987	Tfasc_v1.21676
BP	GO:0016598	protein arginylation	0.0131	OG0013924	Tfasc_v1.12130
BP	GO:0017186	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	0.0131	OG0012744	Tfasc_v1.20771
BP	GO:0010845	positive regulation of reciprocal meiotic recombination	0.0131	OG0008913	Tfasc_v1.24271
BP	GO:1903335	regulation of vacuolar transport	0.0131	OG0007267	Tfasc_v1.09150
BP	GO:0015742	alpha-ketoglutarate transport	0.02603	OG0015237	Tfasc_v1.19779
BP	GO:0070537	histone H2A K63-linked deubiquitination	0.02603	OG0003494	Tfasc_v1.09286
