ID	adj_pval
GO:1902600	4.1e-07
GO:0007623	9e-05
GO:1902356	0.0015
GO:0070537	0.0015
GO:0009809	0.0021
GO:0006364	0.0034
GO:0046034	0.0042
GO:0015713	0.0043
GO:0000717	0.0043
GO:0045951	0.0043
GO:0009584	0.0043
GO:0006096	0.0048
GO:0035436	0.0085
GO:0071423	0.0085
GO:0006099	0.009
GO:0061615	0.0097
GO:0042542	0.0108
GO:0005983	0.0122
GO:0007035	0.0138
GO:0017006	0.0138
GO:0000160	0.0145
GO:0009086	0.0146
GO:0042254	0.0155
GO:0007165	0.0167
GO:0009751	0.0184
GO:0006107	0.0201
GO:1902074	0.0201
GO:0042128	0.0201
GO:0070979	0.0201
GO:0000460	0.022
GO:0016126	0.026
GO:0010189	0.0275
GO:0006538	0.0275
GO:0001682	0.0275
GO:0009585	0.0275
GO:0006120	0.0275
GO:0000381	0.0303
GO:0045842	0.0357
GO:1900363	0.0385
GO:0035725	0.0385
GO:2001007	0.0386
GO:0010378	0.0386
GO:0006103	0.0386
GO:0009684	0.0386
GO:0015709	0.0386
GO:0010335	0.0386
GO:0006982	0.0386
GO:0034501	0.0386
GO:0006799	0.0386
GO:0017186	0.0386
GO:0035998	0.0386
GO:0071816	0.0386
GO:0042948	0.0386
GO:0009915	0.0386
GO:0016598	0.0386
GO:0006522	0.0386
GO:0048255	0.0386
GO:2000653	0.0386
GO:0010845	0.0386
GO:0048016	0.0386
GO:1903335	0.0386
GO:0033316	0.0386
GO:0032970	0.0386
GO:0018298	0.04
GO:0032958	0.0447
GO:0016973	0.0447
GO:0034497	0.0447
GO:0003400	0.0447
GO:0006656	0.0447
GO:0033683	0.0447
GO:0051156	0.0447
GO:0006497	0.0448
GO:0006002	0.0454
GO:0046961	3.1e-09
GO:0000829	4.2e-05
GO:0000832	4.2e-05
GO:0033857	4.2e-05
GO:0102092	4.2e-05
GO:0052723	4.2e-05
GO:0052724	4.2e-05
GO:0045551	0.00078
GO:0015131	0.00121
GO:0005245	0.00121
GO:0051287	0.00264
GO:0015120	0.00355
GO:0071917	0.00694
GO:0102148	0.00694
GO:0015140	0.00694
GO:0003872	0.00731
GO:0008137	0.00926
GO:0020037	0.01123
GO:0004563	0.0113
GO:0004449	0.0113
GO:0080025	0.0113
GO:0000287	0.01148
GO:0004351	0.01656
GO:0047617	0.01656
GO:0030170	0.01879
GO:0004073	0.02265
GO:0004373	0.02265
GO:0032266	0.02265
GO:0008553	0.02324
GO:0009881	0.02951
GO:0046873	0.03453
GO:0044318	0.03484
GO:0004057	0.03484
GO:0052924	0.03484
GO:0003934	0.03484
GO:0009976	0.03484
GO:0052861	0.03484
GO:0016603	0.03484
GO:0050342	0.03484
GO:0046316	0.03484
GO:0047652	0.03484
GO:0000248	0.03484
GO:0004795	0.03484
GO:0015117	0.03484
GO:0005052	0.03484
GO:0047958	0.03484
GO:0004691	0.03484
GO:0008734	0.03484
GO:0005364	0.03484
GO:0036381	0.03484
GO:0010486	0.03484
GO:0004737	0.03484
GO:0004631	0.03484
GO:0033201	0.03484
GO:0043115	0.03484
GO:0008398	0.03484
GO:0042950	0.03484
GO:0032216	0.03484
GO:0004851	0.03484
GO:0048307	0.03484
GO:0018392	0.03484
GO:0030976	0.03708
GO:0005506	0.03867
GO:0051117	0.0396
GO:0008353	0.04439
GO:0033180	5.2e-05
GO:0033179	0.00021
GO:0000325	0.00041
GO:0005774	0.00059
GO:0030688	0.00109
GO:0000421	0.00166
GO:0005829	0.00205
GO:0016471	0.00409
GO:0000221	0.00524
GO:0034399	0.007
GO:0031262	0.00809
GO:0070552	0.01314
GO:0005655	0.01314
GO:0070531	0.01314
GO:0009501	0.0142
GO:0034045	0.03414
GO:0005643	0.0342
GO:0042565	0.03769
GO:0033116	0.03769
GO:0005952	0.03769
GO:0000127	0.04281
