Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0032958	inositol phosphate biosynthetic process	0.00071		Tfasc_v1.04834-RA, Tfasc_v1.04836-RA
BP	GO:0006020	inositol metabolic process	0.00152		Tfasc_v1.04834-RA, Tfasc_v1.04836-RA
BP	GO:0042538	hyperosmotic salinity response	0.00152		Tfasc_v1.09668-RA, Tfasc_v1.14287-RA
BP	GO:0006357	regulation of transcription by RNA polymerase II	0.00222		Tfasc_v1.08834-RA, Tfasc_v1.14807-RA, Tfasc_v1.22245-RA, Tfasc_v1.23793-RA, Tfasc_v1.28439-RA
BP	GO:0000398	mRNA splicing, via spliceosome	0.00245		Tfasc_v1.07221-RA, Tfasc_v1.07222-RA, Tfasc_v1.18497-RA, Tfasc_v1.22830-RA, Tfasc_v1.24424-RA
BP	GO:0010335	response to non-ionic osmotic stress	0.00452		Tfasc_v1.14287-RA
BP	GO:1903335	regulation of vacuolar transport	0.00452		Tfasc_v1.09150-RA
BP	GO:0006982	response to lipid hydroperoxide	0.00452		Tfasc_v1.14287-RA
BP	GO:0048255	mRNA stabilization	0.00452		Tfasc_v1.07867-RA
BP	GO:0010289	homogalacturonan biosynthetic process	0.00902		Tfasc_v1.30570-RA
BP	GO:0080001	mucilage extrusion from seed coat	0.00902		Tfasc_v1.09150-RA
BP	GO:0006424	glutamyl-tRNA aminoacylation	0.00902		Tfasc_v1.06437-RA
BP	GO:0008615	pyridoxine biosynthetic process	0.0135		Tfasc_v1.14287-RA
BP	GO:0015713	phosphoglycerate transmembrane transport	0.0135		Tfasc_v1.02314-RA
BP	GO:0009584	detection of visible light	0.0135		Tfasc_v1.27664-RA
BP	GO:1900426	positive regulation of defense response to bacterium	0.01796		Tfasc_v1.09150-RA
BP	GO:2000762	regulation of phenylpropanoid metabolic process	0.01796		Tfasc_v1.27779-RA
BP	GO:0035436	triose phosphate transmembrane transport	0.01796		Tfasc_v1.02314-RA
BP	GO:2000033	regulation of seed dormancy process	0.0224		Tfasc_v1.09668-RA
BP	GO:0017006	protein-tetrapyrrole linkage	0.0224		Tfasc_v1.27664-RA
BP	GO:0032786	positive regulation of DNA-templated transcription, elongation	0.02641		Tfasc_v1.08834-RA, Tfasc_v1.22245-RA
BP	GO:0043966	histone H3 acetylation	0.02682		Tfasc_v1.25607-RA
BP	GO:0043967	histone H4 acetylation	0.02682		Tfasc_v1.25607-RA
BP	GO:0042128	nitrate assimilation	0.02682		Tfasc_v1.08668-RA
BP	GO:0010158	abaxial cell fate specification	0.03122		Tfasc_v1.04378-RA
BP	GO:0010187	negative regulation of seed germination	0.03122		Tfasc_v1.09668-RA
BP	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.03122		Tfasc_v1.13221-RA
BP	GO:0042823	pyridoxal phosphate biosynthetic process	0.03122		Tfasc_v1.14287-RA
BP	GO:0009585	red, far-red light phototransduction	0.03122		Tfasc_v1.27664-RA
BP	GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	0.03122		Tfasc_v1.09668-RA
BP	GO:0000160	phosphorelay signal transduction system	0.043		Tfasc_v1.22830-RA, Tfasc_v1.27664-RA
BP	GO:0010167	response to nitrate	0.0443		Tfasc_v1.08668-RA
