Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006364	rRNA processing	5.7e-14	OG0004801, OG0002559, OG0000200, OG0000666, OG0001618, OG0001980, OG0001956, OG0000755, OG0004709	Tfasc_v1.03365, Tfasc_v1.05279, Tfasc_v1.07889, Tfasc_v1.08551, Tfasc_v1.11802, Tfasc_v1.11809, Tfasc_v1.17835, Tfasc_v1.17836, Tfasc_v1.21514, Tfasc_v1.27483, Tfasc_v1.28063, Tfasc_v1.29359, Tlei_v1.00352, Tlei_v1.00401, Tlei_v1.02505, Tlei_v1.04691, Tlei_v1.07917, Tlei_v1.09238, Tlei_v1.09333, Tlei_v1.10966, Tlei_v1.13604, Tlei_v1.15883, Tlei_v1.17228, Tlei_v1.25314, Tlei_v1.27965, Tlei_v1.28155, Tlei_v1.29105, Tlei_v1.29811
BP	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	6.6e-12	OG0000200	Tfasc_v1.11802, Tfasc_v1.11809, Tfasc_v1.17141, Tlei_v1.00352, Tlei_v1.00401, Tlei_v1.02505, Tlei_v1.09238, Tlei_v1.13603, Tlei_v1.13604, Tlei_v1.27965, Tlei_v1.29105
BP	GO:1902600	proton transmembrane transport	1.8e-06	OG0000601, OG0000539, OG0000267	Tfasc_v1.01733, Tfasc_v1.19742, Tfasc_v1.24696, Tfasc_v1.25341, Tlei_v1.00431, Tlei_v1.05091, Tlei_v1.08884, Tlei_v1.16099, Tlei_v1.16628, Tlei_v1.19389, Tlei_v1.23186, Tlei_v1.28319
BP	GO:0045951	positive regulation of mitotic recombination	4e-06	OG0005503	Tfasc_v1.29344, Tfasc_v1.29346, Tlei_v1.30878
BP	GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	4e-06	OG0000755	Tfasc_v1.29359, Tlei_v1.07917, Tlei_v1.25314
BP	GO:0051391	tRNA acetylation	4e-06	OG0000755	Tfasc_v1.29359, Tlei_v1.07917, Tlei_v1.25314
BP	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	4e-06	OG0005503	Tfasc_v1.29344, Tfasc_v1.29346, Tlei_v1.30878
BP	GO:0009658	chloroplast organization	7.8e-06	OG0000200, OG0001980	Tfasc_v1.11802, Tfasc_v1.11809, Tfasc_v1.27483, Tlei_v1.00352, Tlei_v1.00401, Tlei_v1.02505, Tlei_v1.09238, Tlei_v1.13604, Tlei_v1.27965, Tlei_v1.29105, Tlei_v1.29811
BP	GO:0000278	mitotic cell cycle	7.8e-05	OG0003047, OG0000327, OG0001795	Tfasc_v1.05612, Tfasc_v1.25056, Tlei_v1.02999, Tlei_v1.11215, Tlei_v1.20383, Tlei_v1.27200, Tlei_v1.28843, Tlei_v1.31376
BP	GO:0015919	peroxisomal membrane transport	0.00025	OG0000531, OG0000525	Tfasc_v1.07915, Tfasc_v1.16730, Tlei_v1.07630, Tlei_v1.26052, Tlei_v1.26055
