Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902600	proton transmembrane transport	3.9e-05	OG0000601, OG0013670, OG0008735, OG0008394, OG0013985, OG0019211, OG0015039, OG0014852, OG0004150, OG0010174, OG0004832, OG0004636, OG0000539, OG0016073, OG0013509, OG0009535, OG0000267	Tfasc_v1.01733-RA, Tfasc_v1.03307-RA, Tfasc_v1.04825-RA, Tfasc_v1.09378-RA, Tfasc_v1.12282-RA, Tfasc_v1.14165-RA, Tfasc_v1.14724-RA, Tfasc_v1.15749-RA, Tfasc_v1.16080-RA, Tfasc_v1.17578-RA, Tfasc_v1.17712-RA, Tfasc_v1.18209-RA, Tfasc_v1.19742-RA, Tfasc_v1.21051-RA, Tfasc_v1.24559-RA, Tfasc_v1.24696-RA, Tfasc_v1.25154-RA, Tfasc_v1.25341-RA
BP	GO:0006364	rRNA processing	0.00023	OG0004801, OG0002559, OG0008353, OG0000538, OG0000200, OG0001664, OG0000666, OG0001618, OG0001732, OG0001517, OG0001980, OG0001956, OG0000755, OG0002145	Tfasc_v1.03365-RA, Tfasc_v1.05279-RA, Tfasc_v1.07889-RA, Tfasc_v1.08551-RA, Tfasc_v1.09454-RA, Tfasc_v1.10560-RA, Tfasc_v1.11802-RA, Tfasc_v1.11809-RA, Tfasc_v1.13080-RA, Tfasc_v1.17835-RA, Tfasc_v1.17836-RA, Tfasc_v1.18502-RA, Tfasc_v1.21514-RA, Tfasc_v1.26452-RA, Tfasc_v1.27134-RA, Tfasc_v1.27483-RA, Tfasc_v1.28063-RA, Tfasc_v1.29359-RA, Tfasc_v1.29834-RA, Tfasc_v1.29840-RA
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	0.00131	OG0007068, OG0015237	Tfasc_v1.08739-RA, Tfasc_v1.19779-RA
BP	GO:0009809	lignin biosynthetic process	0.00169	OG0004893, OG0001542, OG0002295, OG0017179	Tfasc_v1.03333-RA, Tfasc_v1.07798-RA, Tfasc_v1.11028-RA, Tfasc_v1.26137-RA
BP	GO:0016126	sterol biosynthetic process	0.00278	OG0002442, OG0012416, OG0011170, OG0012804	Tfasc_v1.06756-RA, Tfasc_v1.16794-RA, Tfasc_v1.19411-RA, Tfasc_v1.21912-RA
BP	GO:0046034	ATP metabolic process	0.00375	OG0013294, OG0003520, OG0000580, OG0000239, OG0011262, OG0015039, OG0000766, OG0007811, OG0001553, OG0008818, OG0013509, OG0009535, OG0001525	Tfasc_v1.02154-RA, Tfasc_v1.04514-RA, Tfasc_v1.09221-RA, Tfasc_v1.11787-RA, Tfasc_v1.13221-RA, Tfasc_v1.14724-RA, Tfasc_v1.17464-RA, Tfasc_v1.20370-RA, Tfasc_v1.21461-RA, Tfasc_v1.24086-RA, Tfasc_v1.24559-RA, Tfasc_v1.25154-RA, Tfasc_v1.26860-RA
BP	GO:0015713	phosphoglycerate transmembrane transport	0.00384	OG0015371, OG0015738	Tfasc_v1.02314-RA, Tfasc_v1.26941-RA
BP	GO:0045951	positive regulation of mitotic recombination	0.00384	OG0005503	Tfasc_v1.29344-RA, Tfasc_v1.29346-RA
BP	GO:0009584	detection of visible light	0.00384	OG0013035, OG0006908	Tfasc_v1.13157-RA, Tfasc_v1.27664-RA
BP	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	0.00384	OG0005503	Tfasc_v1.29344-RA, Tfasc_v1.29346-RA
