Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902600	proton transmembrane transport	7.3e-05	OG0002339, OG0007170, OG0008394, OG0019211, OG0014852, OG0004150, OG0004832, OG0004636, OG0000539	Tfasc_v1.00821, Tfasc_v1.08937, Tfasc_v1.09378, Tfasc_v1.14165, Tfasc_v1.15749, Tfasc_v1.16080, Tfasc_v1.17712, Tfasc_v1.18209, Tfasc_v1.19742
BP	GO:0019252	starch biosynthetic process	0.0016	OG0009067, OG0011563, OG0001599	Tfasc_v1.16595, Tfasc_v1.22969, Tfasc_v1.25528
BP	GO:0007165	signal transduction	0.0027	OG0013035, OG0005854, OG0014923, OG0001625, OG0003806, OG0000766, OG0011223, OG0017117, OG0003145, OG0016687, OG0010509, OG0010297	Tfasc_v1.13157, Tfasc_v1.14130, Tfasc_v1.14552, Tfasc_v1.16001, Tfasc_v1.16297, Tfasc_v1.17464, Tfasc_v1.19524, Tfasc_v1.23880, Tfasc_v1.27815, Tfasc_v1.27816, Tfasc_v1.27916, Tfasc_v1.28707, Tfasc_v1.28989
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.0035	OG0019406, OG0002688	Tfasc_v1.12833, Tfasc_v1.12834, Tfasc_v1.12835
BP	GO:0005983	starch catabolic process	0.007	OG0017324, OG0011529	Tfasc_v1.06749, Tfasc_v1.23043
BP	GO:0006094	gluconeogenesis	0.0092	OG0003520, OG0019125, OG0013701	Tfasc_v1.04514, Tfasc_v1.07899, Tfasc_v1.26280
BP	GO:2000653	regulation of genetic imprinting	0.0099	OG0016878	Tfasc_v1.04454
BP	GO:0034501	protein localization to kinetochore	0.0099	OG0017117	Tfasc_v1.23880
BP	GO:0009684	indoleacetic acid biosynthetic process	0.0099	OG0015144	Tfasc_v1.02866
BP	GO:0048016	inositol phosphate-mediated signaling	0.0099	OG0010297	Tfasc_v1.28989
BP	GO:0006799	polyphosphate biosynthetic process	0.0099	OG0010297	Tfasc_v1.28989
BP	GO:0033316	meiotic spindle assembly checkpoint signaling	0.0099	OG0017117	Tfasc_v1.23880
BP	GO:0071816	tail-anchored membrane protein insertion into ER membrane	0.0099	OG0012217	Tfasc_v1.21345
BP	GO:0000045	autophagosome assembly	0.0162	OG0009931, OG0015143, OG0006845	Tfasc_v1.25482, Tfasc_v1.25483, Tfasc_v1.27782
BP	GO:0018298	protein-chromophore linkage	0.0164	OG0013035, OG0018593	Tfasc_v1.13157, Tfasc_v1.25887
BP	GO:0046838	phosphorylated carbohydrate dephosphorylation	0.0195	OG0017324, OG0008046	Tfasc_v1.06749, Tfasc_v1.15109
BP	GO:0042550	photosystem I stabilization	0.0197	OG0006188	Tfasc_v1.06259
BP	GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	0.0294	OG0015395	Tfasc_v1.02234
