Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	9.6e-06	OG0007068, OG0015237	Tfasc_v1.08739, Tfasc_v1.19779
BP	GO:0071423	malate transmembrane transport	5.8e-05	OG0007068, OG0015237	Tfasc_v1.08739, Tfasc_v1.19779
BP	GO:0006522	alanine metabolic process	0.0031	OG0010183	Tfasc_v1.17586
BP	GO:0015709	thiosulfate transport	0.0031	OG0007068	Tfasc_v1.08739
BP	GO:0006103	2-oxoglutarate metabolic process	0.0031	OG0010183	Tfasc_v1.17586
BP	GO:0016598	protein arginylation	0.0031	OG0013924	Tfasc_v1.12130
BP	GO:0006531	aspartate metabolic process	0.0063	OG0010183	Tfasc_v1.17586
BP	GO:0055078	sodium ion homeostasis	0.0063	OG0003543	Tfasc_v1.00158
BP	GO:0071422	succinate transmembrane transport	0.0063	OG0007068	Tfasc_v1.08739
BP	GO:0015742	alpha-ketoglutarate transport	0.0063	OG0015237	Tfasc_v1.19779
BP	GO:0071456	cellular response to hypoxia	0.0094	OG0003543	Tfasc_v1.00158
BP	GO:0006099	tricarboxylic acid cycle	0.0095	OG0010183, OG0005172	Tfasc_v1.17586, Tfasc_v1.30467
BP	GO:2000032	regulation of secondary shoot formation	0.0125	OG0003543	Tfasc_v1.00158
BP	GO:0009058	biosynthetic process	0.0133	OG0003543, OG0005401, OG0014647, OG0004583, OG0016051, OG0010183, OG0005301, OG0001251, OG0002636	Tfasc_v1.00158, Tfasc_v1.02815, Tfasc_v1.03880, Tfasc_v1.06704, Tfasc_v1.13637, Tfasc_v1.17586, Tfasc_v1.18869, Tfasc_v1.20458, Tfasc_v1.25809
BP	GO:0019676	ammonia assimilation cycle	0.0187	OG0015237	Tfasc_v1.19779
BP	GO:1902074	response to salt	0.0187	OG0003543	Tfasc_v1.00158
BP	GO:0033353	S-adenosylmethionine cycle	0.0187	OG0001683	Tfasc_v1.30560
BP	GO:0030242	autophagy of peroxisome	0.0187	OG0005172	Tfasc_v1.30467
BP	GO:0006876	cellular cadmium ion homeostasis	0.0218	OG0013985	Tfasc_v1.12282
BP	GO:0019853	L-ascorbic acid biosynthetic process	0.0218	OG0001251	Tfasc_v1.20458
BP	GO:0006882	cellular zinc ion homeostasis	0.0249	OG0013985	Tfasc_v1.12282
