Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006538	glutamate catabolic process	0.00034		Tfasc_v1.08546-RA, Tfasc_v1.23614-RA
BP	GO:0001682	tRNA 5'-leader removal	0.00034		Tfasc_v1.13080-RA, Tfasc_v1.18502-RA
BP	GO:0010315	auxin efflux	0.00104		Tfasc_v1.15157-RA, Tfasc_v1.16001-RA
BP	GO:0010252	auxin homeostasis	0.00143		Tfasc_v1.15157-RA, Tfasc_v1.16001-RA
BP	GO:0009809	lignin biosynthetic process	0.00164		Tfasc_v1.07798-RA, Tfasc_v1.11028-RA
BP	GO:0006904	vesicle docking involved in exocytosis	0.00265		Tfasc_v1.07146-RA, Tfasc_v1.30451-RA
BP	GO:0006364	rRNA processing	0.00581		Tfasc_v1.13080-RA, Tfasc_v1.18502-RA, Tfasc_v1.26452-RA, Tfasc_v1.29834-RA, Tfasc_v1.29840-RA
BP	GO:0009561	megagametogenesis	0.00612		Tfasc_v1.29834-RA, Tfasc_v1.29840-RA
BP	GO:0033484	nitric oxide homeostasis	0.0081		Tfasc_v1.21339-RA
BP	GO:0017014	protein nitrosylation	0.0081		Tfasc_v1.21339-RA
BP	GO:0050665	hydrogen peroxide biosynthetic process	0.01213		Tfasc_v1.21339-RA
BP	GO:0009410	response to xenobiotic stimulus	0.01213		Tfasc_v1.21339-RA
BP	GO:0040009	regulation of growth rate	0.01213		Tfasc_v1.16001-RA
BP	GO:0006099	tricarboxylic acid cycle	0.01556		Tfasc_v1.03126-RA, Tfasc_v1.16311-RA
BP	GO:0006529	asparagine biosynthetic process	0.01614		Tfasc_v1.12343-RA
BP	GO:1900034	regulation of cellular response to heat	0.02014		Tfasc_v1.21339-RA
BP	GO:0010311	lateral root formation	0.02412		Tfasc_v1.16001-RA
BP	GO:1902074	response to salt	0.02412		Tfasc_v1.21339-RA
BP	GO:0070863	positive regulation of protein exit from endoplasmic reticulum	0.02412		Tfasc_v1.29084-RA
BP	GO:0006107	oxaloacetate metabolic process	0.02412		Tfasc_v1.03126-RA
BP	GO:0010236	plastoquinone biosynthetic process	0.02412		Tfasc_v1.26913-RA
BP	GO:0033353	S-adenosylmethionine cycle	0.02412		Tfasc_v1.30560-RA
BP	GO:0006048	UDP-N-acetylglucosamine biosynthetic process	0.02412		Tfasc_v1.09168-RA
BP	GO:0015977	carbon fixation	0.02808		Tfasc_v1.16311-RA
BP	GO:0019853	L-ascorbic acid biosynthetic process	0.02808		Tfasc_v1.20458-RA
BP	GO:0006624	vacuolar protein processing	0.02808		Tfasc_v1.28420-RA
BP	GO:0016094	polyprenol biosynthetic process	0.03203		Tfasc_v1.08055-RA
BP	GO:0006607	NLS-bearing protein import into nucleus	0.03203		Tfasc_v1.01545-RA
