corr_species	corr_sample	corr_time	pvalue_species	pvalue_sample	pvalue_time
MEpaleturquoise	0.412571158516988	-0.212116709151361	-0.133779226048456	0.000386464419636924	0.0779238911784267	0.269551625645836
MElightgreen	0.157364422691339	-0.265256955976443	-0.0110249705083146	0.193250978697623	0.0264692142095959	0.92782364316038
MEorange	0.696888663280143	-0.187102185326988	0.0360013952599175	2.07619275078356e-11	0.120912658993795	0.767320404904509
MEskyblue1	0.521599369051215	0.307936859205621	-0.0189831946486251	3.65254878247523e-06	0.00950479476484831	0.876049519779206
MEnavajowhite2	0.407056556548073	0.0330128172856383	-0.0369587946817454	0.000470334672528301	0.786155902915722	0.761314136322781
MEplum1	0.542307192135795	0.161409757729471	-0.0319732944402727	1.23980533095114e-06	0.181906754106664	0.792736894505281
MEdarkmagenta	0.596749743616131	0.111448665829098	0.0401983773771107	4.9807894177174e-08	0.358345167713114	0.741096530231463
MEblue	0.990249813673891	-0.0287315855474249	0.0470851292547962	5.99126831831337e-60	0.81335034145583	0.698708789665962
MEpink	0.754748651375571	0.153351691015989	0.044849820940762	4.485501077975e-14	0.204997099525013	0.712373961066213
MEdarkorange2	0.569527762596268	-0.0753357299234933	0.0310370870656415	2.6714881328542e-07	0.535365314981468	0.798676212555354
MEgreenyellow	0.563482515049025	0.161402098351234	-0.0135797779348865	3.80157064983466e-07	0.181927766411582	0.911159648928317
MEmagenta	0.583510758018496	0.144043130726893	0.022070991281912	1.14916359954925e-07	0.234177039080904	0.856087917335298
MEantiquewhite4	0.477907147403702	-0.0604739021720991	-0.0417503865909439	2.86572708571729e-05	0.618973040511608	0.731471371811392
MElightyellow	0.550469216156292	-0.263506792846997	0.0309740759821121	7.93675993050148e-07	0.0275192496547911	0.799076369612079
MEdarkseagreen4	0.328234191684169	0.415294573014153	0.00350888489285832	0.0055361047028353	0.000350302157991505	0.977001039337383
MEcoral1	0.430717644282547	0.0110986628169676	0.029424831032126	0.00019764862821622	0.927342508914568	0.808930962814631
MEsaddlebrown	0.437685050939058	-0.027907795680846	-0.0126315052924265	0.000151235972864529	0.818609483019308	0.917340784472446
MEbisque4	0.0953621466139053	-0.449229278596708	0.00489476619589611	0.432287646268932	9.58187295299759e-05	0.967921399632486
MElightcyan1	0.407161110656996	-0.0479139597699205	0.0137601675960627	0.000468601158831259	0.693665765115073	0.909984396608893
MEbrown4	-0.431863933747997	-0.210600204383765	0.00136923586999424	0.000189209121755399	0.0801241520659247	0.991024322991566
MEfloralwhite	0.42516719096533	-0.303343338788194	-0.00669687541427533	0.000243620467954386	0.0106888357923964	0.956121081666769
MEgrey60	-0.34045728344192	0.051855794186263	-0.346975897978635	0.00392820744572062	0.669866052907738	0.00325312104793244
MElightcyan	0.243621981323629	0.0470764552771216	-0.388497085066576	0.0421213994110965	0.69876163580267	0.000889105036325964
MEsalmon4	-0.205973878408415	-0.0224773386450444	-0.262696408007311	0.087142497107232	0.853467425089723	0.028017224079203
MElightpink4	0.393747375533321	-0.0585340493589004	-0.270296853107442	0.000745311294601114	0.630284756823638	0.0236326346252876
MEdarkgrey	0.153001423837394	0.0973284152965576	-0.0468658458304358	0.206045974631062	0.422812526838338	0.700045209656458
MEtan	0.797957284203393	0.0561123200572284	-0.1923778181609	1.337224359917e-16	0.644525975027367	0.110598266406343
MEbrown	0.362883780704514	0.0784493171629346	-0.29585065903805	0.00201907547978945	0.518582510766211	0.0128958094777152
MEthistle2	0.558060857264834	0.127134794405472	-0.0980124663367198	5.18565051191803e-07	0.294271721441726	0.419544299409385
MEcoral2	0.278393914797248	0.0803457232644309	-0.0181640194465572	0.0196161482006181	0.508492443956417	0.881358717807518
MEthistle1	-0.167436469925084	0.25433276700687	0.100400931264158	0.165914052875705	0.0336150901704672	0.408247296511603
