corr_species	corr_sample	corr_time	pvalue_species	pvalue_sample	pvalue_time
MEcoral1	0.0300208362162288	0.446748394798725	-0.011646980969665	0.805136234968458	0.000105838882388431	0.923763387983525
MElavenderblush3	-0.320526040660862	0.179738702155859	-0.0818572110500639	0.0068263220278022	0.136519079199642	0.500523083814191
MEpaleturquoise	-0.15732092001449	0.378753519666089	-0.063119570770684	0.193375671629177	0.00122417734977588	0.603687114443742
MEdarkorange2	-0.505472570855857	0.307957198327171	-0.0169485810750742	8.0761193830516e-06	0.00949981735532126	0.889245703657086
MEmediumpurple3	-0.24653348733575	0.0643786728348125	-0.114944535128804	0.0396496410173968	0.596471133586546	0.343371614462859
MEorangered4	-0.702753552516906	-0.000405747256106087	-0.0600364806819078	1.19197307037677e-11	0.997340177168801	0.621516174007109
MEwhite	-0.372142541607024	0.102167984820846	-4.62083957841777e-05	0.00151248890009717	0.400004691083458	0.999697086390754
MEskyblue1	-0.636161756489502	0.179329674899989	-0.0726859749051602	3.25682756696206e-09	0.137428561222536	0.549855664674424
MEantiquewhite4	-0.587979123326984	0.302265479440321	-0.0499681898782358	8.70255607764543e-08	0.0109845590231327	0.681224234905173
MEorange	-0.401239545003073	0.406638082418427	-0.0353687922578942	0.000576515121014096	0.000477331703380559	0.771296591000958
MElightsteelblue1	-0.190339917962049	0.0289853269745235	0.0143064749883494	0.114498911026464	0.811732080217263	0.906426347421348
MEmidnightblue	-0.311107161801669	-0.226099696580417	-0.0894502037967279	0.00875586251477217	0.059825647535866	0.461489245304634
MEsaddlebrown	-0.700706509177338	-0.201648890669632	-0.0868010140125786	1.44891407183139e-11	0.0941341464582563	0.474915980819673
MEdarkslateblue	-0.141272970736834	0.0614271786989375	0.172380277286985	0.243390602932596	0.613446225176669	0.153587073011256
MEbrown4	-0.603534895618637	0.0411190243955845	0.198516842157947	3.19727886202542e-08	0.735382028718294	0.0994662980862553
MEviolet	-0.36880833726242	0.0219901785351119	0.489747456421952	0.00167994511354343	0.856609256348236	1.68569481055645e-05
MEdarkred	-0.318348543456494	-0.148389579742376	0.33157066309158	0.00723565134286065	0.220212778806575	0.00504790763747026
MEdarkseagreen4	-0.582106834334027	-0.292006365631534	0.285489234770459	1.25297712247655e-07	0.0141738882154061	0.016590698415574
MEgreen	-0.741262369982025	-0.177174973448476	0.202507581454586	2.16658766596049e-13	0.14229515799893	0.0927121229346205
MEdarkorange	-0.171274073865508	0.391599632167427	0.0889591667426461	0.156284341498125	0.00080136581570783	0.463962173779806
MEdarkturquoise	-0.134546784220462	0.176429825595363	0.0146287160263121	0.26678855092637	0.144007905112361	0.90432847765032
MEpalevioletred3	-0.618113452248379	-0.0840525430684674	0.0483970063503901	1.19005613679711e-08	0.489064522275508	0.690732755144387
MEblue	-0.820931700027811	0.136644809975924	-0.0272075716155555	3.30711447356102e-18	0.259333491430379	0.823086063188101
MElightsteelblue	-0.565988211973227	0.236645182862655	0.0343398689740165	3.28722316120283e-07	0.0485663959163558	0.777776346638933
MEdarkgrey	-0.567251797281169	-0.130258393261647	0.0443991020415821	3.05346967308613e-07	0.28247142959554	0.715140492747096
MEblack	-0.664123574604378	0.180179465650066	-0.0108523909735003	3.67036334526556e-10	0.135544122538111	0.928950508971467
MEyellow	-0.799643911297907	0.0700013588189407	-0.0444864265188798	1.03607176543995e-16	0.564726683147514	0.714604204261291
MEbisque4	-0.609914943756684	-0.346797238607213	0.00963709004044264	2.08743669613222e-08	0.00327014937862772	0.936889690338795
MEplum	-0.622255608470565	-0.275631709680163	-0.0416246286949877	8.90383289213835e-09	0.0209152694752629	0.732249775942172
MEskyblue2	-0.635241955631137	-0.066758072011045	-0.0381891915767951	3.48627335053621e-09	0.582940679177492	0.753615858196303
