corr_sample	corr_time	pvalue_sample	pvalue_time
MEblue	-0.118842490648408	0.0486973149750263	0.503225331643598	0.784474356204682
MEgreen	-0.329985504439849	-0.0464311156641868	0.0566589500127733	0.794284232814878
MEmagenta4	-0.279639802339953	0.0874248729445305	0.109218335752152	0.622969768971603
MEpalevioletred3	0.0888390865987867	-0.00468636025981773	0.617335465477321	0.97901491850571
MEsienna3	0.00968625766712986	0.069888114869045	0.956641425903442	0.694502435920611
MEwhite	0.47961419096551	0.0206106717197339	0.00410203284978642	0.907892912938853
MEdarkorange2	0.399573424412938	-0.0336119529564266	0.0192210341406732	0.850318583559334
MEdarkviolet	0.309545516042563	-0.022104558501614	0.074834480020243	0.901248341882679
MEdeeppink	0.0896493304058291	0.282324594905414	0.614117020161183	0.105716623783066
MEdarkorange	0.231673459538995	0.115868928024928	0.187380294229303	0.51404102419937
MElightblue4	0.247326029715107	0.221915817996126	0.158473850470081	0.207172612298303
MEpurple	0.146792620711535	0.0278731331257862	0.407429065732026	0.875656338574276
MEdarkolivegreen2	0.241743743528126	-0.0606121400922756	0.168388358248451	0.733464870376115
MEcoral2	0.373343204864772	-0.0935286539903722	0.0296418901963773	0.59880630659511
MEyellow3	0.365799625806152	-0.15982348236592	0.0333755220480295	0.366585247500981
MEblue4	0.501692138755688	-0.133326782197045	0.00250367914085796	0.452226213492476
MEblack	0.583488735046867	-0.0375896489600095	0.000292237157764023	0.832840884744592
MEgrey60	0.620304005224138	-0.0215827963457209	9.10634299135716e-05	0.903568331467192
MEantiquewhite2	0.232880509885463	-0.187424147350399	0.185027727101948	0.288496696150395
MEantiquewhite4	0.176163746199078	-0.197686367359837	0.318957419531899	0.262420846412038
MEbisque4	-0.138942598924654	-0.25605766715154	0.433230080304315	0.143820856971463
MEroyalblue	-0.31348882688132	-0.218702707920652	0.071014959187172	0.21399497873595
MEorangered1	-0.0238148261274561	-0.319498216680179	0.893649450755404	0.0654888483535372
MEmidnightblue	-0.0387572031102226	-0.397759549312031	0.827725253897113	0.0198266299040564
MEthistle3	-0.1181043880808	-0.388274691014167	0.505899294529032	0.0232573443135378
