corr_sample	corr_time	pvalue_sample	pvalue_time
MEfirebrick4	0.36152661436845	-0.000723086916325937	0.030274433696391	0.996660542424964
MEcoral	0.453650928846045	0.0750134780606787	0.00545488400838885	0.663700155309776
MEpaleturquoise	0.672012967765682	0.0215303564565033	7.18839817812811e-06	0.900810645418017
MEorangered1	-0.24252069797291	-0.274935066359391	0.154114486445522	0.104623543570655
MEplum	-0.259838872095864	-0.311902826264494	0.125908963203513	0.0640442579445892
MEcoral3	-0.275630220367909	0.023231578094402	0.103713693367417	0.893016574568165
MElightcyan1	-0.242273274763857	-0.21954191870607	0.154548157495654	0.198259405375469
MEsaddlebrown	0.163201461342676	-0.389241173460137	0.341580106180613	0.0189553117823045
MEyellowgreen	0.375556909537356	-0.489228039113892	0.0239983871876706	0.00246166735351451
MEbrown2	0.538092928301916	-0.258405564963681	0.000711849068673353	0.128085964618042
MEdarkolivegreen4	0.222287704341784	-0.285793851133073	0.192564576137222	0.0910865318643801
MEyellow3	0.0522607630333588	0.443605042109314	0.762114506591754	0.00672950197523088
MEskyblue4	-0.173638239671053	-0.469201995400305	0.311164695897039	0.00389223014949299
MEmediumorchid	0.19169246488934	-0.0805135132615893	0.262718361663159	0.640649134912113
MEcyan	0.0177126620013673	-0.14573812680318	0.918333451939031	0.396376600325231
MElavenderblush3	-0.133399284381181	-0.260907995741011	0.43797073743327	0.124303119435512
MEnavajowhite2	-0.376512242211231	-0.282519105770581	0.0236135459194543	0.0950188799610723
MEhoneydew1	-0.140098210157089	-0.304474592905977	0.415098550776791	0.0709941280688657
MElightgreen	0.0695809436338251	-0.264082739423675	0.686770775675219	0.119624521914764
MEpink	0.181082542697583	-0.569826216794373	0.290548220058039	0.000285987713357148
MEdarkseagreen4	-0.0977370081976161	-0.36463643636677	0.570655233650055	0.0287784186923474
MElightyellow	0.0954845767171922	-0.333352903096317	0.579608360085562	0.0469482961641929
MEantiquewhite4	0.3600105517167	-0.289259903668575	0.0310265539644035	0.0870618521074964
MEroyalblue	-0.00499641539845389	-0.497761780631843	0.976927887747884	0.00200802923259008
MEplum3	-0.0513027736548337	-0.0278834864384973	0.766352788880543	0.871756479610902
MEblack	0.174979174323688	0.103153703819083	0.307384677070162	0.549386302453583
MEred	0.103079849073701	-0.137768783422481	0.549673766332119	0.422974363045651
MEsalmon	0.0634876884682484	-0.22383275276005	0.712982062293779	0.189411076955764
MEmediumpurple4	-0.0570615886180222	-0.617986791244963	0.740979731138415	5.91759126587743e-05
MEsteelblue	-0.0837323031449491	-0.473092057540485	0.627309240025023	0.00356834967169915
MEdarkgrey	-0.00427532292840187	-0.263006528727875	0.980256996322989	0.121195525343927
MEmediumpurple2	0.291473915178814	-0.150448497672495	0.0845636636838136	0.381120452879983
MEantiquewhite2	-0.346510744658797	0.0392802361575413	0.0384222833261919	0.820072715558843
MElightpink4	-0.458789457848349	0.0310554839501087	0.00488752183295453	0.857309516547876
MEorangered3	0.0140260233328815	0.0949368214574188	0.935290851099213	0.581795090344839
MEskyblue3	-0.296362306498475	-0.017510547860323	0.0792441707166339	0.919262263704946
MElavenderblush2	0.403438086231917	0.049546695841071	0.0146909369775403	0.774139213292202
MEgreen	0.1091974670585	0.00728457278462594	0.526105362129041	0.96636682818093
MElightslateblue	0.203540301022685	0.0426718201054355	0.233788876712606	0.804824959375681
MEcoral1	-0.569377982309645	0.0321610649947964	0.000289883091777606	0.852284578348502
MEdarkgreen	-0.0851645242574981	0.0172852834845556	0.621410445790884	0.920297585886365
MEorangered4	-0.221200145143686	-0.0164185187568046	0.194806305933917	0.924282452744633
MEplum1	-0.222108073208318	-0.0348468843039297	0.192933586539185	0.84010155810863
MEsalmon2	0.0863156337763039	0.46844124950948	0.616686210662577	0.00395846408750526
MEdarkred	-0.221466714154917	0.080534090030819	0.194255157325447	0.640563497980906
MEwhite	0.0302619038855682	0.241117726741835	0.860919809814589	0.156585270813796
MEdarkslateblue	-0.748529193904858	0.0852715017834301	1.52581524370221e-07	0.620970769798685
MEmediumpurple3	-0.427238325458312	0.233559825857726	0.00935286159217769	0.170390390318322
MEbrown4	-0.774192083448915	0.00356913152980766	3.04086405046745e-08	0.983517628981881
MEnavajowhite1	-0.889435839222591	-0.0168090555518928	4.16726737616971e-13	0.922486767248864
MEturquoise	-0.411120574736281	-0.0163444488769915	0.0127416397011782	0.924623067389734
MEpurple	-0.166586893551057	-0.0283639655535658	0.331521276897866	0.8695653765464
MEyellow	-0.267920118279304	0.00505883779304897	0.114146753512603	0.976639715990129
MEbrown	0.222501304268026	0.604022147173154	0.19212642987393	9.5922008535179e-05
MElightsteelblue1	0.233735433074071	0.363346880511171	0.170060064020782	0.0293912249458998
MEplum2	-0.135378495679791	0.446878665684661	0.431142095414879	0.00628867055564077
MEgrey60	0.279695156502571	0.424246192110189	0.0985130610479578	0.00991632976763229
MEmaroon	-0.0371221541659915	0.368377818626698	0.829809243568457	0.0270596751046517
MEdarkorange2	0.16672308774379	0.132540540480628	0.3311204824102	0.440951935482617
MEthistle1	0.370225778901317	0.198534221434177	0.0262424905228841	0.245737461859896
MEskyblue2	-0.385284606169953	0.208755862699158	0.0203129317509152	0.221765256762538
MEdarkmagenta	-0.214191017167078	0.413268522595997	0.20969297543986	0.0122374695168643
MEmidnightblue	0.19353812870793	0.46222366586964	0.258063210004636	0.0045374078822529
MEorange	0.0384347636248566	0.18590691841202	0.823884127760108	0.277667696394323
MElightcyan	-0.682335381930459	0.00184534869193598	4.57150066316593e-06	0.991477692661912
MEpink4	-0.262583348183938	-0.0271099904444572	0.121817468539283	0.875285780326856
MEskyblue1	0.0751620491269266	0.0614405796695132	0.663073351004208	0.721863026528136
MEtan	-0.0852216797950528	0.00785153710854521	0.621175521332778	0.963750789373659
MEmagenta4	-0.225071896440853	0.141465304549058	0.186908341498551	0.410515215629428
MEthistle3	0.054345315660459	0.204722220286481	0.752915809513253	0.231026269431234
MEsienna3	-0.399222487820334	0.0678130214821727	0.0158632645688593	0.694340458939841
MElightcoral	-0.398311134488834	0.125608565184492	0.0161267692539598	0.46541930736595
MEthistle2	-0.492195405754733	0.233570950003791	0.00229469960969364	0.170369451610776
MEdarkviolet	-0.304351187134991	0.352824982999455	0.0711143788326362	0.0348024783377189
MEblue2	-0.605891679633168	0.231028118111212	9.00336095322946e-05	0.175203784120126
MElightpink3	-0.484587802994273	0.309634710355908	0.00274404666601148	0.0661068611989027
MElightsteelblue	0.277947551983916	-0.365631683527092	0.100723998938925	0.0283126854178147
MEivory	-0.256746611571436	0.0393455452518571	0.130640443449359	0.819778468092349
MEsienna4	-0.135588873556344	0.13010865403782	0.43041973794398	0.44945439049509
MEyellow4	0.0263034813640287	0.240729516599751	0.878968236574566	0.157273989791761
MEcoral2	0.640137001184337	0.0357781707211666	2.61848058101142e-05	0.835885572215367
MEblue	0.226474076783225	0.00806287917776809	0.184104553921501	0.962775726589111
MEviolet	0.0973582599949459	0.0406772316424541	0.572156299729701	0.813783947780989
MEpalevioletred2	0.0423341508247493	0.101320392839572	0.806339963804015	0.556542929286886
MEsalmon4	-0.168252022261795	0.02344764359459	0.326641666169164	0.892027370749651
MEdarkorange	0.248571217287792	-0.00776385753219303	0.143782569803308	0.964155329372709
MEhoneydew	0.118255374910118	0.0470304286819609	0.492140760264538	0.785334059885426
MEpalevioletred3	0.330827791950677	0.365192025706092	0.0487463423282485	0.0285176561691478
MEskyblue	0.479345509921147	0.17649251732997	0.00309667214227045	0.303153680090832
MEfloralwhite	0.512626682507282	0.0607585104215534	0.00139047158287868	0.724830082318961
MEbisque4	0.0298984396492111	0.0587824616781707	0.862574276745786	0.73344822080675
MEdarkturquoise	0.306481442749886	0.0340267258319006	0.069060843261805	0.843818097285174
MEdarkseagreen3	0.524996717104784	0.378015494304232	0.00101100070451494	0.0230183444074065
MEmediumpurple1	0.516244097660019	-0.00382099828437192	0.00126830558609497	0.982354674885967
MEgrey	-0.137148900468353	0.270024586220095	0.425084178812539	0.111223893235553
