Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	3.1e-06	OG0010216, OG0005700, OG0010011, OG0002220	Tfasc_v1.17658, Tfasc_v1.22094, Tfasc_v1.26617, Tfasc_v1.26827
BP	GO:0032544	plastid translation	6.2e-05	OG0015232, OG0002594, OG0013697	Tfasc_v1.07348, Tfasc_v1.12842, Tfasc_v1.12978
BP	GO:0010027	thylakoid membrane organization	0.00015	OG0006539, OG0008661, OG0011006, OG0013697, OG0005848	Tfasc_v1.01341, Tfasc_v1.04337, Tfasc_v1.10777, Tfasc_v1.12978, Tfasc_v1.14149
BP	GO:0009658	chloroplast organization	0.00029	OG0008661, OG0015558, OG0010429, OG0013697, OG0019234, OG0007617, OG0012265, OG0005261, OG0003568	Tfasc_v1.04337, Tfasc_v1.06521, Tfasc_v1.07701, Tfasc_v1.12978, Tfasc_v1.14533, Tfasc_v1.19894, Tfasc_v1.21233, Tfasc_v1.22845, Tfasc_v1.24017
BP	GO:0015979	photosynthesis	0.00049	OG0016010, OG0006638, OG0006669, OG0015370, OG0008661, OG0011006, OG0010812, OG0002915, OG0015846, OG0014644, OG0015443, OG0009367	Tfasc_v1.00898, Tfasc_v1.01523, Tfasc_v1.01580, Tfasc_v1.02310, Tfasc_v1.04337, Tfasc_v1.10777, Tfasc_v1.11845, Tfasc_v1.13901, Tfasc_v1.18524, Tfasc_v1.24409, Tfasc_v1.25888, Tfasc_v1.30088
BP	GO:0009853	photorespiration	8e-04	OG0009870, OG0001439, OG0015558, OG0005087	Tfasc_v1.03489, Tfasc_v1.04530, Tfasc_v1.06521, Tfasc_v1.24495
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	0.00128	OG0008763, OG0015726	Tfasc_v1.23984, Tfasc_v1.26919
BP	GO:0035067	negative regulation of histone acetylation	0.00211	OG0013481, OG0007492	Tfasc_v1.11681, Tfasc_v1.22343
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.00259	OG0016075, OG0018546, OG0004140	Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.29215
BP	GO:0044375	regulation of peroxisome size	0.00313	OG0013344, OG0002278	Tfasc_v1.02429, Tfasc_v1.07042
BP	GO:0045037	protein import into chloroplast stroma	0.00347	OG0010429, OG0011006, OG0005261	Tfasc_v1.07701, Tfasc_v1.10777, Tfasc_v1.22845
BP	GO:0016559	peroxisome fission	0.00574	OG0013344, OG0002278	Tfasc_v1.02429, Tfasc_v1.07042
BP	GO:0048564	photosystem I assembly	0.00574	OG0015370, OG0008661	Tfasc_v1.02310, Tfasc_v1.04337
BP	GO:0099402	plant organ development	0.00695	OG0006638, OG0015558, OG0010812, OG0014278, OG0012265, OG0014653, OG0007503, OG0007492, OG0011925, OG0008810, OG0010126	Tfasc_v1.01523, Tfasc_v1.06521, Tfasc_v1.11845, Tfasc_v1.15630, Tfasc_v1.21233, Tfasc_v1.21903, Tfasc_v1.22338, Tfasc_v1.22343, Tfasc_v1.23223, Tfasc_v1.24088, Tfasc_v1.26862
BP	GO:0010239	chloroplast mRNA processing	0.00731	OG0015370, OG0006012	Tfasc_v1.02310, Tfasc_v1.14454
BP	GO:1901259	chloroplast rRNA processing	0.01095	OG0014194, OG0007822	Tfasc_v1.17753, Tfasc_v1.20391
BP	GO:0042793	plastid transcription	0.01301	OG0007617, OG0015633	Tfasc_v1.19894, Tfasc_v1.26097
BP	GO:0061408	positive regulation of transcription from RNA polymerase II promoter in response to heat stress	0.01301	OG0011587, OG0008857	Tfasc_v1.22923, Tfasc_v1.24176
BP	GO:1901962	S-adenosyl-L-methionine transmembrane transport	0.01478	OG0011750	Tfasc_v1.12320
BP	GO:0080065	4-alpha-methyl-delta7-sterol oxidation	0.01478	OG0001880	Tfasc_v1.12213
BP	GO:1901177	lycopene biosynthetic process	0.01478	OG0014606	Tfasc_v1.04102
BP	GO:0034051	negative regulation of plant-type hypersensitive response	0.01478	OG0006539	Tfasc_v1.01341
BP	GO:0097339	glycolate transmembrane transport	0.01478	OG0015558	Tfasc_v1.06521
BP	GO:1901975	glycerate transmembrane transport	0.01478	OG0015558	Tfasc_v1.06521
BP	GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	0.01478	OG0015232	Tfasc_v1.07348
BP	GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	0.01478	OG0015232	Tfasc_v1.07348
BP	GO:0009257	10-formyltetrahydrofolate biosynthetic process	0.01478	OG0007019	Tfasc_v1.08542
