Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0016540	protein autoprocessing	0.0024	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
BP	GO:0009090	homoserine biosynthetic process	0.0024	OG0014045, OG0012418	Tfasc_v1.17322, Tfasc_v1.21902
BP	GO:0016192	vesicle-mediated transport	0.0057	OG0001299, OG0001143, OG0019124, OG0012883, OG0004347, OG0002159, OG0019232, OG0002755, OG0007848, OG0004468, OG0007317, OG0011576, OG0008872, OG0009498, OG0010022, OG0018300, OG0009133, OG0002551	Tfasc_v1.01159, Tfasc_v1.06549, Tfasc_v1.07853, Tfasc_v1.09242, Tfasc_v1.12440, Tfasc_v1.12913, Tfasc_v1.14489, Tfasc_v1.18523, Tfasc_v1.20442, Tfasc_v1.21274, Tfasc_v1.22674, Tfasc_v1.22944, Tfasc_v1.24201, Tfasc_v1.25235, Tfasc_v1.26653, Tfasc_v1.29278, Tfasc_v1.29712, Tfasc_v1.30426
BP	GO:0032482	Rab protein signal transduction	0.0063	OG0008579, OG0000711, OG0001071, OG0001714	Tfasc_v1.04503, Tfasc_v1.14108, Tfasc_v1.18340, Tfasc_v1.18572
BP	GO:0006414	translational elongation	0.0107	OG0006487, OG0000609, OG0001510, OG0011800, OG0017034	Tfasc_v1.01231, Tfasc_v1.04667, Tfasc_v1.10890, Tfasc_v1.12445, Tfasc_v1.26550
BP	GO:0034497	protein localization to phagophore assembly site	0.0133	OG0013330, OG0009833	Tfasc_v1.02399, Tfasc_v1.02987
BP	GO:0009088	threonine biosynthetic process	0.0164	OG0014045, OG0012418	Tfasc_v1.17322, Tfasc_v1.21902
BP	GO:0033617	mitochondrial cytochrome c oxidase assembly	0.0198	OG0005194	Tfasc_v1.13011, Tfasc_v1.13016
BP	GO:0052541	plant-type cell wall cellulose metabolic process	0.0201	OG0004033, OG0000603	Tfasc_v1.00011, Tfasc_v1.23190
BP	GO:0061388	regulation of rate of cell growth	0.0202	OG0007273	Tfasc_v1.09148
BP	GO:0080027	response to herbivore	0.0202	OG0009726	Tfasc_v1.16205
BP	GO:0000188	inactivation of MAPK activity	0.0202	OG0007273	Tfasc_v1.09148
BP	GO:0017003	protein-heme linkage	0.0202	OG0012349	Tfasc_v1.06751
BP	GO:1990074	polyuridylation-dependent mRNA catabolic process	0.0202	OG0007099	Tfasc_v1.08810
BP	GO:2000541	positive regulation of protein geranylgeranylation	0.0202	OG0012883	Tfasc_v1.09242
BP	GO:0010401	pectic galactan metabolic process	0.0202	OG0004033	Tfasc_v1.00011
BP	GO:0046967	cytosol to endoplasmic reticulum transport	0.0202	OG0010811	Tfasc_v1.11856
BP	GO:1990573	potassium ion import across plasma membrane	0.0202	OG0003111	Tfasc_v1.01572
BP	GO:0055064	chloride ion homeostasis	0.0202	OG0003111	Tfasc_v1.01572
BP	GO:0097428	protein maturation by iron-sulfur cluster transfer	0.0273	OG0013091, OG0007337	Tfasc_v1.13043, Tfasc_v1.22651
BP	GO:0015996	chlorophyll catabolic process	0.0273	OG0009915, OG0009200	Tfasc_v1.03388, Tfasc_v1.29429
BP	GO:0000266	mitochondrial fission	0.0273	OG0000924, OG0016838	Tfasc_v1.08961, Tfasc_v1.24480
BP	GO:0006163	purine nucleotide metabolic process	0.0276	OG0004502, OG0011812, OG0012205, OG0001011, OG0002210	Tfasc_v1.06842, Tfasc_v1.12492, Tfasc_v1.21375, Tfasc_v1.22858, Tfasc_v1.26542
BP	GO:0009959	negative gravitropism	0.0314	OG0003965	Tfasc_v1.07767, Tfasc_v1.07770
BP	GO:0009231	riboflavin biosynthetic process	0.0314	OG0013529, OG0012067	Tfasc_v1.04841, Tfasc_v1.21529
