Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006414	translational elongation	3.8e-05	OG0007200, OG0001426, OG0014031, OG0016797, OG0011470, OG0008960, OG0002111, OG0001518, OG0010286	Tfasc_v1.08985, Tfasc_v1.09461, Tfasc_v1.17298, Tfasc_v1.20009, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.26552, Tfasc_v1.28963
BP	GO:0072344	rescue of stalled ribosome	0.00077	OG0002111	Tfasc_v1.24578, Tfasc_v1.24579
BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.00089	OG0009037, OG0009607, OG0009204	Tfasc_v1.16483, Tfasc_v1.24984, Tfasc_v1.29428
BP	GO:0030150	protein import into mitochondrial matrix	0.00146	OG0010754, OG0009899, OG0008148	Tfasc_v1.00192, Tfasc_v1.03424, Tfasc_v1.15606
BP	GO:0006364	rRNA processing	0.00284	OG0018806, OG0013107, OG0011815, OG0001307, OG0011865, OG0011859, OG0018099, OG0007002, OG0010242, OG0016039	Tfasc_v1.02248, Tfasc_v1.08275, Tfasc_v1.12498, Tfasc_v1.21184, Tfasc_v1.23360, Tfasc_v1.23374, Tfasc_v1.23986, Tfasc_v1.27174, Tfasc_v1.28887, Tfasc_v1.30679
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.00349	OG0002488, OG0002068	Tfasc_v1.02159, Tfasc_v1.09312
BP	GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	0.00349	OG0002488, OG0002068	Tfasc_v1.02159, Tfasc_v1.09312
BP	GO:0006412	translation	0.00425	OG0002379, OG0004313, OG0013750, OG0000553, OG0007200, OG0001426, OG0010971, OG0009037, OG0014031, OG0019523, OG0016797, OG0003378, OG0007888, OG0018586, OG0000968, OG0011470, OG0008960, OG0002111, OG0009607, OG0001518, OG0003877, OG0010615, OG0010286, OG0003671, OG0009204	Tfasc_v1.00151, Tfasc_v1.00304, Tfasc_v1.01775, Tfasc_v1.04893, Tfasc_v1.08985, Tfasc_v1.09461, Tfasc_v1.10835, Tfasc_v1.16483, Tfasc_v1.17298, Tfasc_v1.19733, Tfasc_v1.20009, Tfasc_v1.20411, Tfasc_v1.20517, Tfasc_v1.21644, Tfasc_v1.22399, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.24984, Tfasc_v1.26552, Tfasc_v1.26695, Tfasc_v1.28622, Tfasc_v1.28963, Tfasc_v1.29378, Tfasc_v1.29428
BP	GO:0035246	peptidyl-arginine N-methylation	0.0067	OG0019310, OG0010224	Tfasc_v1.12053, Tfasc_v1.17675
BP	GO:0006974	cellular response to DNA damage stimulus	0.01097	OG0015392, OG0004088, OG0010439, OG0011759, OG0010064	Tfasc_v1.02260, Tfasc_v1.02321, Tfasc_v1.07685, Tfasc_v1.12362, Tfasc_v1.26743
BP	GO:0006606	protein import into nucleus	0.01142	OG0000950, OG0015790, OG0019514	Tfasc_v1.00288, Tfasc_v1.04148, Tfasc_v1.19632
BP	GO:0070301	cellular response to hydrogen peroxide	0.01145	OG0012291	Tfasc_v1.06645
