"dynamicMods" "Freq"
"1" "1" 3634
"2" "2" 3549
"3" "3" 1660
"4" "4" 967
"5" "5" 785
"6" "6" 780
"7" "7" 658
"8" "8" 656
"9" "9" 642
"10" "10" 589
"11" "11" 524
"12" "12" 490
"13" "13" 449
"14" "14" 354
"15" "15" 326
"16" "16" 303
"17" "17" 279
"18" "18" 277
"19" "19" 259
"20" "20" 247
"21" "21" 231
"22" "22" 217
"23" "23" 212
"24" "24" 207
"25" "25" 207
"26" "26" 198
"27" "27" 196
"28" "28" 194
"29" "29" 177
"30" "30" 171
"31" "31" 153
"32" "32" 147
"33" "33" 142
"34" "34" 124
"35" "35" 116
"36" "36" 110
"37" "37" 108
"38" "38" 108
"39" "39" 99
"40" "40" 97
"41" "41" 93
"42" "42" 93
"43" "43" 93
"44" "44" 91
"45" "45" 90
"46" "46" 84
"47" "47" 79
"48" "48" 74
"49" "49" 70
"50" "50" 70
"51" "51" 70
"52" "52" 69
"53" "53" 66
"54" "54" 65
"55" "55" 65
"56" "56" 62
"57" "57" 61
"58" "58" 61
"59" "59" 60
"60" "60" 60
"61" "61" 50
"62" "62" 50
"63" "63" 42
"64" "64" 41
"65" "65" 40
"66" "66" 40
