"dynamicMods" "Freq"
"1" "0" 22
"2" "1" 1537
"3" "2" 1315
"4" "3" 1120
"5" "4" 770
"6" "5" 647
"7" "6" 573
"8" "7" 549
"9" "8" 517
"10" "9" 516
"11" "10" 514
"12" "11" 486
"13" "12" 434
"14" "13" 429
"15" "14" 370
"16" "15" 331
"17" "16" 300
"18" "17" 295
"19" "18" 292
"20" "19" 291
"21" "20" 278
"22" "21" 257
"23" "22" 250
"24" "23" 243
"25" "24" 239
"26" "25" 225
"27" "26" 223
"28" "27" 213
"29" "28" 211
"30" "29" 205
"31" "30" 204
"32" "31" 202
"33" "32" 191
"34" "33" 187
"35" "34" 181
"36" "35" 176
"37" "36" 172
"38" "37" 167
"39" "38" 165
"40" "39" 163
"41" "40" 159
"42" "41" 157
"43" "42" 157
"44" "43" 152
"45" "44" 152
"46" "45" 151
"47" "46" 150
"48" "47" 150
"49" "48" 148
"50" "49" 138
"51" "50" 136
"52" "51" 132
"53" "52" 130
"54" "53" 129
"55" "54" 128
"56" "55" 126
"57" "56" 125
"58" "57" 121
"59" "58" 120
"60" "59" 120
"61" "60" 119
"62" "61" 117
"63" "62" 107
"64" "63" 104
"65" "64" 103
"66" "65" 103
"67" "66" 102
"68" "67" 97
"69" "68" 97
"70" "69" 97
"71" "70" 95
"72" "71" 95
"73" "72" 93
"74" "73" 92
"75" "74" 90
"76" "75" 89
"77" "76" 88
"78" "77" 85
"79" "78" 83
"80" "79" 83
"81" "80" 82
"82" "81" 82
"83" "82" 80
"84" "83" 79
"85" "84" 78
"86" "85" 78
"87" "86" 76
"88" "87" 76
"89" "88" 75
"90" "89" 72
"91" "90" 68
"92" "91" 66
"93" "92" 65
"94" "93" 64
"95" "94" 63
"96" "95" 62
"97" "96" 57
"98" "97" 57
"99" "98" 51
"100" "99" 48
