	corr_to_sample	corr_to_time	gene_count	pvalue_sample	pvalue_time
MEblueviolet	-0.126629691389942	0.521697249282966	55	0.475453525190124	0.001554782453727
MElightcoral	0.133333743493928	0.510194962991409	100	0.452202392239762	0.00205190633148264
MEthistle2	-0.294402585092367	0.397301739019464	131	0.0910036888039554	0.0199819591821968
MEcoral3	0.00158753725691029	0.367131354759501	71	0.992890466086955	0.0326899132070095
MEmagenta	-0.301210269877136	0.363326476181918	540	0.083432374251059	0.0346798198144288
MEcoral1	-0.22869609614477	0.352298382092362	114	0.193272936132582	0.0410095289795254
MEmidnightblue	-0.0387572031102226	-0.397759549312031	337	0.827725253897113	0.0198266299040564
MEthistle3	-0.1181043880808	-0.388274691014167	90	0.505899294529032	0.0232573443135378
MEpaleturquoise	-0.0753298872166983	-0.364389379160233	179	0.671990440770052	0.0341142745232044
MEdarkmagenta	0.0517115597692476	-0.346566362396985	939	0.77147695935517	0.0446498757301371
