"dynamicMods3" "Freq"
"1" "1" 1349
"2" "2" 1160
"3" "3" 942
"4" "4" 601
"5" "5" 592
"6" "6" 584
"7" "7" 562
"8" "8" 520
"9" "9" 513
"10" "10" 479
"11" "11" 464
"12" "12" 432
"13" "13" 428
"14" "14" 417
"15" "15" 408
"16" "16" 385
"17" "17" 322
"18" "18" 311
"19" "19" 279
"20" "20" 267
"21" "21" 259
"22" "22" 254
"23" "23" 236
"24" "24" 236
"25" "25" 236
"26" "26" 225
"27" "27" 219
"28" "28" 215
"29" "29" 198
"30" "30" 196
"31" "31" 195
"32" "32" 190
"33" "33" 185
"34" "34" 172
"35" "35" 168
"36" "36" 167
"37" "37" 167
"38" "38" 165
"39" "39" 165
"40" "40" 165
"41" "41" 165
"42" "42" 161
"43" "43" 159
"44" "44" 152
"45" "45" 147
"46" "46" 142
"47" "47" 134
"48" "48" 133
"49" "49" 131
"50" "50" 127
"51" "51" 124
"52" "52" 120
"53" "53" 115
"54" "54" 114
"55" "55" 114
"56" "56" 113
"57" "57" 108
"58" "58" 108
"59" "59" 106
"60" "60" 105
"61" "61" 104
"62" "62" 104
"63" "63" 102
"64" "64" 100
"65" "65" 99
"66" "66" 99
"67" "67" 98
"68" "68" 97
"69" "69" 96
"70" "70" 95
"71" "71" 95
"72" "72" 93
"73" "73" 92
"74" "74" 91
"75" "75" 90
"76" "76" 90
"77" "77" 89
"78" "78" 89
"79" "79" 88
"80" "80" 87
"81" "81" 84
"82" "82" 84
"83" "83" 84
"84" "84" 83
"85" "85" 80
"86" "86" 79
"87" "87" 79
"88" "88" 78
"89" "89" 78
"90" "90" 75
"91" "91" 73
"92" "92" 72
"93" "93" 70
"94" "94" 70
"95" "95" 69
"96" "96" 69
"97" "97" 69
"98" "98" 68
"99" "99" 67
"100" "100" 65
"101" "101" 63
"102" "102" 62
"103" "103" 61
"104" "104" 59
"105" "105" 58
"106" "106" 56
"107" "107" 56
"108" "108" 52
"109" "109" 52
"110" "110" 43
"111" "111" 40
"112" "112" 39
"113" "113" 39
"114" "114" 38
"115" "115" 35
"116" "116" 34
"117" "117" 31
