"dynamicMods2" "Freq"
"1" "0" 4
"2" "1" 1392
"3" "2" 1225
"4" "3" 833
"5" "4" 784
"6" "5" 701
"7" "6" 583
"8" "7" 582
"9" "8" 579
"10" "9" 479
"11" "10" 476
"12" "11" 437
"13" "12" 428
"14" "13" 420
"15" "14" 410
"16" "15" 396
"17" "16" 366
"18" "17" 304
"19" "18" 294
"20" "19" 258
"21" "20" 257
"22" "21" 245
"23" "22" 230
"24" "23" 224
"25" "24" 221
"26" "25" 220
"27" "26" 217
"28" "27" 213
"29" "28" 199
"30" "29" 186
"31" "30" 177
"32" "31" 177
"33" "32" 175
"34" "33" 170
"35" "34" 168
"36" "35" 167
"37" "36" 163
"38" "37" 158
"39" "38" 158
"40" "39" 157
"41" "40" 153
"42" "41" 153
"43" "42" 151
"44" "43" 148
"45" "44" 148
"46" "45" 145
"47" "46" 142
"48" "47" 141
"49" "48" 140
"50" "49" 138
"51" "50" 138
"52" "51" 137
"53" "52" 135
"54" "53" 131
"55" "54" 127
"56" "55" 126
"57" "56" 121
"58" "57" 120
"59" "58" 118
"60" "59" 117
"61" "60" 116
"62" "61" 114
"63" "62" 110
"64" "63" 105
"65" "64" 105
"66" "65" 104
"67" "66" 103
"68" "67" 102
"69" "68" 101
"70" "69" 100
"71" "70" 98
"72" "71" 97
"73" "72" 96
"74" "73" 95
"75" "74" 95
"76" "75" 92
"77" "76" 90
"78" "77" 88
"79" "78" 88
"80" "79" 87
"81" "80" 86
"82" "81" 84
"83" "82" 83
"84" "83" 80
"85" "84" 79
"86" "85" 77
"87" "86" 74
"88" "87" 71
"89" "88" 69
"90" "89" 66
"91" "90" 66
"92" "91" 65
"93" "92" 65
"94" "93" 64
"95" "94" 64
"96" "95" 64
"97" "96" 62
"98" "97" 62
"99" "98" 60
"100" "99" 59
"101" "100" 59
"102" "101" 59
"103" "102" 57
"104" "103" 56
"105" "104" 56
"106" "105" 56
"107" "106" 56
"108" "107" 54
"109" "108" 54
"110" "109" 52
"111" "110" 52
"112" "111" 51
"113" "112" 50
"114" "113" 50
"115" "114" 39
"116" "115" 35
"117" "116" 34
