corr_sample	corr_time	pvalue_sample	pvalue_time
MEthistle3	0.356360634827983	-0.0863139524750584	0.0385776063640946	0.627410546080689
MEgreen	0.342883272147266	0.125038581170479	0.0471228257552896	0.481062016013388
MElightpink3	0.299708545349442	0.135675601196153	0.0850592753854184	0.444227093514364
MEfirebrick4	-0.276205134118134	0.160879354891471	0.113824525855224	0.363386054466952
MElavenderblush3	-0.353886099144149	0.0839920403233693	0.0400447076057227	0.636733590955984
MEskyblue1	-0.124327019744968	0.185608160682172	0.483581245058872	0.293278306449472
MEfloralwhite	0.0122558548354208	0.153421495236199	0.945154601033381	0.386338356166812
MEindianred3	0.00929356662466438	0.170327512335064	0.958397678111657	0.335504999313443
MEmagenta4	0.00696647688146815	0.277145654264274	0.968808913718471	0.112548976187421
MEplum4	-0.0238097915579132	0.106028718137211	0.893671806550934	0.550634579568396
MEdarkgreen	0.286044870220342	0.0323686098027976	0.101005369100251	0.855796545188694
MEmediumpurple4	0.339728097508309	0.243750266936862	0.0493274661067645	0.164774887622478
MEbisque4	-0.0479995013900924	0.0998099668194253	0.787491639762028	0.574372337546489
MEgreenyellow	-0.245510447281836	0.118359168598417	0.161651110837196	0.504975483872626
MEbrown	0.371004556331082	0.0790026933984066	0.0307608838482755	0.656951833542196
MEskyblue4	0.397412834799181	0.135557685276701	0.0199441731860159	0.444626824016583
MElightsteelblue	0.159531545922027	0.0754253499069501	0.367472728973652	0.671597942931438
MElavenderblush2	0.314125586574189	0.277241248629853	0.0704127246894909	0.112419932607023
MElightpink4	0.210540085145349	0.0739478427171071	0.23201542897737	0.677682256073219
MEnavajowhite	0.587145464023369	0.0405812698097856	0.000261908751815272	0.819747104106819
MEsalmon1	0.445114588712636	-0.00765347547662408	0.0083432984723706	0.965734727596706
MElightpink2	0.127496220333485	0.53433255671428	0.472413536156814	0.00113335194795728
MEblueviolet	0.153345231681457	0.263391554448246	0.38657732812247	0.132298989072255
MEivory	0.0908026125154958	0.390205583002278	0.609548152831662	0.0225218025011551
MElightcoral	-0.0604882595047117	0.371704422142286	0.733989917221284	0.0304224515565897
MEsalmon2	-0.0335520740919479	0.302260518293623	0.850582244283322	0.082308915750977
