corr_sample	corr_time	pvalue_sample	pvalue_time
MEsalmon4	-0.623447954996974	0.0110673638881119	4.86805939904444e-05	0.948920435778424
MElavenderblush3	-0.461901722766414	0.0704849948519488	0.00456928131639979	0.682911421377293
MEnavajowhite2	-0.301630330517822	-0.00497739051006341	0.0738064084615612	0.97701571634474
MEplum3	-0.22340764255981	0.0798505874333641	0.190275093539259	0.643410556756173
MEdarkslateblue	0.533148423088693	-0.232434159199842	0.000814022599903999	0.172518736884654
MEskyblue4	0.432856902923696	-0.0163737114963234	0.00836824213545712	0.924488499954309
MEmaroon	0.546825513136232	-0.00559776219932197	0.000558865396809496	0.974151906959843
MEmagenta	0.379236078606073	0.0145590796185657	0.022544263516417	0.932837046725427
MEwhite	0.319085929599013	0.0500486933889477	0.057845112209801	0.771911110564934
MElavenderblush2	0.450763386435982	-0.0330723064784595	0.00579794754770768	0.848147218024918
MElightcyan	0.162041333997756	0.0137659482584264	0.345069539365904	0.936488262574547
MElightyellow	0.221908934397612	-0.0259498359400169	0.193343250547704	0.880583747070396
MEbrown	0.259212046267816	-0.0139438455091022	0.126857615605086	0.935669190977376
MElightpink3	0.661194351686792	0.0446367950261667	1.13393484182356e-05	0.796022850131079
MEblue	0.126233170611844	0.477817953028827	0.463185579821715	0.00320657352733796
MEyellow	0.216742930252166	0.618084226072996	0.204184586030336	5.89720312385065e-05
MEmediumpurple3	0.0103902670389633	0.309616759422804	0.952041748422519	0.0661233915614976
MEdarkmagenta	0.2056222050247	0.117618785792825	0.228937568012553	0.49449048257074
MEhoneydew	0.52752981417578	0.343896243142582	0.000945709211743954	0.0400079018882447
MEdarkgrey	0.0104688403035539	0.11077993933354	0.951679500802344	0.520090203753109
MEgrey60	0.03541539466603	-0.269190657905052	0.83752735110791	0.112375297942885
MEhoneydew1	-0.25017865280681	0.166126432827593	0.141125056810424	0.332878545302965
MEfloralwhite	-0.238803085413435	0.406834317818248	0.1607241013252	0.0138003047248829
MEivory	-0.351335056455776	0.166138210309548	0.0356304901684064	0.332843786992502
MEcoral3	-0.439257049731321	0.0772640104974893	0.00735581460798474	0.654229722394342
MEbisque4	-0.112687991869668	0.0505985247658083	0.512882805420584	0.769472759116801
MEthistle	-0.31578551062226	0.0387166696920852	0.0606314909076799	0.822612842429244
MEpalevioletred3	-0.322370894040229	0.322668910142665	0.0551736697146832	0.0549362555438233
MEnavajowhite1	-0.51328519113307	0.163456110998728	0.00136749084570749	0.340817067500875
MEantiquewhite4	-0.628384480212496	0.245705364312219	4.06747767259078e-05	0.148611184258909
MEskyblue1	-0.585239902109635	0.140621967610955	0.0001774405693412	0.413339193399151
MEindianred4	-0.246049614031749	0.371702924537911	0.148024997233233	0.0256040238539789
MEplum	-0.359473286413415	0.364942859106811	0.0312967388048005	0.0286343596753229
MEdarkturquoise	-0.0518998978327166	-0.00546429914343729	0.763710233440309	0.974767984125171
MEroyalblue	-0.645436719831442	-0.00500254744207553	2.13382272771414e-05	0.976899579161054
MEblue2	0.253891578422585	0.0690451380212638	0.135124725837106	0.689061799599036
MEbrown4	0.359738631355874	0.129658345161977	0.0311630598386867	0.451038459955703
MEmediumpurple2	-0.291861775114917	0.216335666256686	0.0841317801784023	0.205056867128122
MEsalmon2	-0.160992205415306	0.403671562019435	0.348243730522699	0.0146281994709746
MEcoral1	0.373261598095338	0.388400685995983	0.0249442850637725	0.0192371861541424
MEpalevioletred2	0.0388797072140056	0.191380866430957	0.821877810141391	0.263509706505353
MEcoral	-0.222560652433782	-0.396517935845423	0.192004816482236	0.016655978956343
MEdarkolivegreen4	-0.279778820877059	-0.230641857643818	0.0984081511233211	0.175946592208386
MEmediumorchid	-0.282689342082794	0.00116995275997303	0.0948113109253659	0.994596790660216
MEplum2	-0.272127156208668	-0.251552616641025	0.108360363304456	0.138882263646178
MEturquoise	-0.429732899025273	-0.0229609659166608	0.00890416069613192	0.894255731293563
MEdarkorange	-0.092933798785898	-0.0385465680785634	0.589822664602091	0.823379880708723
MEmidnightblue	-0.261621401975727	-0.0359487783070982	0.123240089708668	0.83511370632027
MEfirebrick4	-0.13672355002813	-0.0112002828589301	0.426535278879342	0.948307786158931
MEthistle1	0.422870106949759	0.00492196979022818	0.0101850069755715	0.97727156819252
MEsienna3	-0.000597414502552042	-0.0179624839775822	0.997240937283351	0.917185546917178
MEcyan	0.235592769564321	0.0083552755081673	0.16659434538406	0.961426794070015
