Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	3.1e-05	OG0006324, OG0012864, OG0004124, OG0000325, OG0013716, OG0014219, OG0018593	Tfasc_v1.05868, Tfasc_v1.09192, Tfasc_v1.10778, Tfasc_v1.15053, Tfasc_v1.18475, Tfasc_v1.25753, Tfasc_v1.25887
BP	GO:0018298	protein-chromophore linkage	3.2e-05	OG0006324, OG0012864, OG0004124, OG0013035, OG0000325, OG0013716, OG0014219, OG0018593	Tfasc_v1.05868, Tfasc_v1.09192, Tfasc_v1.10778, Tfasc_v1.13157, Tfasc_v1.15053, Tfasc_v1.18475, Tfasc_v1.25753, Tfasc_v1.25887
BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	0.00034	OG0018453, OG0014983, OG0008828	Tfasc_v1.05321, Tfasc_v1.05322, Tfasc_v1.24112
BP	GO:0006623	protein targeting to vacuole	0.00341	OG0011610, OG0006306, OG0007129, OG0004347, OG0011482, OG0001505, OG0015680, OG0006836	Tfasc_v1.00096, Tfasc_v1.05914, Tfasc_v1.08867, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.23111, Tfasc_v1.24557, Tfasc_v1.26168, Tfasc_v1.27794
BP	GO:0042773	ATP synthesis coupled electron transport	0.00485	OG0019270, OG0004231, OG0018766, OG0015529, OG0006795, OG0010628	Tfasc_v1.11358, Tfasc_v1.17188, Tfasc_v1.23861, Tfasc_v1.23864, Tfasc_v1.27858, Tfasc_v1.28371
BP	GO:0015671	oxygen transport	0.00486	OG0002707	Tfasc_v1.14645, Tfasc_v1.14646
BP	GO:1903401	L-lysine transmembrane transport	0.00577	OG0010787, OG0007910, OG0007954	Tfasc_v1.11899, Tfasc_v1.14866, Tfasc_v1.14941
BP	GO:0016567	protein ubiquitination	0.00903	OG0012654, OG0000636, OG0008538, OG0017340, OG0018436, OG0006124, OG0012400, OG0016357, OG0013143, OG0007131, OG0007180, OG0016859, OG0011743, OG0004347, OG0015257, OG0001881, OG0001444, OG0000482, OG0008995, OG0009033, OG0000432, OG0014579, OG0004981, OG0004186, OG0007612, OG0007773, OG0007818, OG0007887, OG0012687, OG0015860, OG0003307, OG0003277, OG0006836, OG0006729, OG0010493, OG0010556, OG0000316	Tfasc_v1.01962, Tfasc_v1.02515, Tfasc_v1.04581, Tfasc_v1.04969, Tfasc_v1.05079, Tfasc_v1.06403, Tfasc_v1.06834, Tfasc_v1.06911, Tfasc_v1.07576, Tfasc_v1.08876, Tfasc_v1.08960, Tfasc_v1.09411, Tfasc_v1.12307, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.13344, Tfasc_v1.14317, Tfasc_v1.14666, Tfasc_v1.14999, Tfasc_v1.16364, Tfasc_v1.16474, Tfasc_v1.17590, Tfasc_v1.18717, Tfasc_v1.18813, Tfasc_v1.19512, Tfasc_v1.19891, Tfasc_v1.20268, Tfasc_v1.20372, Tfasc_v1.20512, Tfasc_v1.20566, Tfasc_v1.21853, Tfasc_v1.22286, Tfasc_v1.22543, Tfasc_v1.27794, Tfasc_v1.27986, Tfasc_v1.28648, Tfasc_v1.28818, Tfasc_v1.29382
BP	GO:0010017	red or far-red light signaling pathway	0.00954	OG0013035, OG0006046, OG0019426, OG0002186, OG0003745	Tfasc_v1.13157, Tfasc_v1.14480, Tfasc_v1.14591, Tfasc_v1.16050, Tfasc_v1.25202
BP	GO:0035556	intracellular signal transduction	0.01005	OG0011289, OG0000590, OG0013771, OG0012629, OG0004792, OG0006357, OG0001093, OG0010464, OG0008406, OG0010968, OG0013479, OG0010713, OG0011792, OG0013035, OG0009073, OG0000711, OG0006037, OG0014923, OG0007915, OG0003800, OG0014289, OG0014485, OG0001071, OG0001714, OG0011212, OG0014891, OG0017726, OG0007769, OG0007520, OG0017857, OG0010088, OG0009119, OG0009137, OG0001355	Tfasc_v1.00712, Tfasc_v1.01232, Tfasc_v1.01739, Tfasc_v1.01934, Tfasc_v1.02550, Tfasc_v1.05744, Tfasc_v1.06650, Tfasc_v1.07656, Tfasc_v1.09342, Tfasc_v1.10854, Tfasc_v1.11684, Tfasc_v1.12032, Tfasc_v1.12426, Tfasc_v1.13157, Tfasc_v1.13598, Tfasc_v1.14108, Tfasc_v1.14475, Tfasc_v1.14552, Tfasc_v1.14864, Tfasc_v1.16171, Tfasc_v1.17049, Tfasc_v1.17419, Tfasc_v1.18340, Tfasc_v1.18572, Tfasc_v1.19475, Tfasc_v1.19832, Tfasc_v1.19835, Tfasc_v1.20275, Tfasc_v1.22285, Tfasc_v1.26336, Tfasc_v1.26801, Tfasc_v1.29674, Tfasc_v1.29726, Tfasc_v1.30039
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.01331	OG0011654, OG0004573, OG0012475, OG0014911, OG0008361, OG0017280, OG0011380, OG0009543, OG0003734, OG0014747, OG0015759, OG0001328, OG0010509	Tfasc_v1.00196, Tfasc_v1.01872, Tfasc_v1.05038, Tfasc_v1.07238, Tfasc_v1.09432, Tfasc_v1.15932, Tfasc_v1.18342, Tfasc_v1.25132, Tfasc_v1.25305, Tfasc_v1.25399, Tfasc_v1.26967, Tfasc_v1.27918, Tfasc_v1.28707
BP	GO:0006021	inositol biosynthetic process	0.01392	OG0001383	Tfasc_v1.20319, Tfasc_v1.23052
BP	GO:0000025	maltose catabolic process	0.01392	OG0011529, OG0003184	Tfasc_v1.23043, Tfasc_v1.27318
BP	GO:1903602	thermospermine catabolic process	0.01392	OG0003482, OG0015728	Tfasc_v1.09332, Tfasc_v1.26917
BP	GO:0001666	response to hypoxia	0.01454	OG0002707, OG0009726	Tfasc_v1.14645, Tfasc_v1.14646, Tfasc_v1.16205
BP	GO:0051156	glucose 6-phosphate metabolic process	0.02068	OG0003520, OG0000579, OG0004809, OG0002210, OG0001684	Tfasc_v1.04514, Tfasc_v1.14226, Tfasc_v1.22200, Tfasc_v1.26542, Tfasc_v1.28355
BP	GO:0015860	purine nucleoside transmembrane transport	0.02069	OG0013289, OG0012754, OG0007077	Tfasc_v1.02144, Tfasc_v1.06591, Tfasc_v1.08753
BP	GO:0048825	cotyledon development	0.02646	OG0003852, OG0009777, OG0010120, OG0009287	Tfasc_v1.03381, Tfasc_v1.16286, Tfasc_v1.26841, Tfasc_v1.29929
BP	GO:0071108	protein K48-linked deubiquitination	0.02655	OG0010147, OG0007288	Tfasc_v1.17521, Tfasc_v1.22736
BP	GO:0019346	transsulfuration	0.02655	OG0004742, OG0003523	Tfasc_v1.17930, Tfasc_v1.25050
BP	GO:0019433	triglyceride catabolic process	0.02655	OG0002929, OG0006008	Tfasc_v1.13981, Tfasc_v1.14442
BP	GO:0015790	UDP-xylose transmembrane transport	0.02655	OG0011700, OG0002252	Tfasc_v1.00358, Tfasc_v1.07645
BP	GO:0046208	spermine catabolic process	0.02655	OG0003482, OG0015728	Tfasc_v1.09332, Tfasc_v1.26917
BP	GO:0010104	regulation of ethylene-activated signaling pathway	0.02655	OG0008406, OG0013479	Tfasc_v1.09342, Tfasc_v1.11684
BP	GO:0016540	protein autoprocessing	0.02655	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
BP	GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	0.02697	OG0008490, OG0006337, OG0001360, OG0014332	Tfasc_v1.04665, Tfasc_v1.05824, Tfasc_v1.30172, Tfasc_v1.30361
BP	GO:0072657	protein localization to membrane	0.02737	OG0012664, OG0006128, OG0013399, OG0019219, OG0012701, OG0000597, OG0001020	Tfasc_v1.01995, Tfasc_v1.06406, Tfasc_v1.10183, Tfasc_v1.14242, Tfasc_v1.20589, Tfasc_v1.23597, Tfasc_v1.25251, Tfasc_v1.26723
BP	GO:0009082	branched-chain amino acid biosynthetic process	0.02796	OG0001638, OG0011444, OG0011177, OG0002026, OG0015171	Tfasc_v1.01963, Tfasc_v1.16641, Tfasc_v1.19418, Tfasc_v1.22205, Tfasc_v1.23397
BP	GO:0009094	L-phenylalanine biosynthetic process	0.02806	OG0004058, OG0015076	Tfasc_v1.07026, Tfasc_v1.07027, Tfasc_v1.22821
BP	GO:0009416	response to light stimulus	0.02889	OG0001313, OG0018783, OG0008472, OG0006324, OG0002981, OG0010661, OG0011073, OG0012864, OG0004124, OG0013035, OG0019194, OG0006046, OG0019426, OG0000325, OG0002186, OG0009657, OG0009658, OG0009683, OG0009787, OG0010200, OG0013716, OG0005118, OG0011220, OG0012025, OG0002720, OG0003745, OG0014219, OG0018593, OG0010120, OG0009433	Tfasc_v1.01449, Tfasc_v1.01858, Tfasc_v1.04694, Tfasc_v1.05868, Tfasc_v1.06337, Tfasc_v1.07152, Tfasc_v1.08062, Tfasc_v1.09192, Tfasc_v1.10778, Tfasc_v1.13157, Tfasc_v1.13766, Tfasc_v1.14480, Tfasc_v1.14591, Tfasc_v1.15053, Tfasc_v1.16050, Tfasc_v1.16092, Tfasc_v1.16097, Tfasc_v1.16124, Tfasc_v1.16315, Tfasc_v1.17612, Tfasc_v1.18475, Tfasc_v1.18618, Tfasc_v1.19517, Tfasc_v1.21597, Tfasc_v1.22809, Tfasc_v1.25202, Tfasc_v1.25753, Tfasc_v1.25887, Tfasc_v1.26841, Tfasc_v1.30354
BP	GO:0008380	RNA splicing	0.03224	OG0006538, OG0019092, OG0013114, OG0013143, OG0013663, OG0019298, OG0003271, OG0015589, OG0014289, OG0018577, OG0004809, OG0015421, OG0009247, OG0009217	Tfasc_v1.01344, Tfasc_v1.07221, Tfasc_v1.07222, Tfasc_v1.07576, Tfasc_v1.07995, Tfasc_v1.11912, Tfasc_v1.12164, Tfasc_v1.16745, Tfasc_v1.17049, Tfasc_v1.21417, Tfasc_v1.22200, Tfasc_v1.25948, Tfasc_v1.29305, Tfasc_v1.29391
