Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009658	chloroplast organization	9.7e-08	OG0017792, OG0004430, OG0006447, OG0006540, OG0014014, OG0012759, OG0014620, OG0008661, OG0008634, OG0002109, OG0006372, OG0015561, OG0001984, OG0010429, OG0010369, OG0007052, OG0001993, OG0008279, OG0008227, OG0010969, OG0010893, OG0005179, OG0004964, OG0013697, OG0013031, OG0005261, OG0005769, OG0019234, OG0007947, OG0016405, OG0017054, OG0012915, OG0007617, OG0007691, OG0007708, OG0007738, OG0014069, OG0012265, OG0012103, OG0012805, OG0015616, OG0008878, OG0005326, OG0014232, OG0015424, OG0010121, OG0001980, OG0004048	Tfasc_v1.00061, Tfasc_v1.00870, Tfasc_v1.01129, Tfasc_v1.01333, Tfasc_v1.03095, Tfasc_v1.04039, Tfasc_v1.04249, Tfasc_v1.04337, Tfasc_v1.04400, Tfasc_v1.04805, Tfasc_v1.05708, Tfasc_v1.06494, Tfasc_v1.06738, Tfasc_v1.07701, Tfasc_v1.07846, Tfasc_v1.08667, Tfasc_v1.08677, Tfasc_v1.08688, Tfasc_v1.09606, Tfasc_v1.09690, Tfasc_v1.10837, Tfasc_v1.10984, Tfasc_v1.11240, Tfasc_v1.11246, Tfasc_v1.12192, Tfasc_v1.12202, Tfasc_v1.12978, Tfasc_v1.13168, Tfasc_v1.13320, Tfasc_v1.14053, Tfasc_v1.14533, Tfasc_v1.14936, Tfasc_v1.17388, Tfasc_v1.17554, Tfasc_v1.18443, Tfasc_v1.19894, Tfasc_v1.20100, Tfasc_v1.20138, Tfasc_v1.20194, Tfasc_v1.21181, Tfasc_v1.21233, Tfasc_v1.21445, Tfasc_v1.21911, Tfasc_v1.22184, Tfasc_v1.24218, Tfasc_v1.25675, Tfasc_v1.25677, Tfasc_v1.25764, Tfasc_v1.25943, Tfasc_v1.26838, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.29525
BP	GO:0006364	rRNA processing	1.1e-05	OG0015276, OG0006495, OG0006550, OG0009857, OG0012317, OG0000538, OG0015232, OG0002559, OG0013107, OG0007052, OG0007231, OG0007249, OG0001132, OG0000391, OG0010984, OG0019239, OG0019275, OG0013473, OG0004337, OG0011815, OG0002594, OG0002159, OG0005790, OG0005845, OG0002967, OG0008005, OG0003427, OG0012160, OG0012135, OG0014307, OG0010148, OG0014194, OG0000666, OG0019526, OG0007624, OG0007798, OG0002275, OG0001307, OG0001618, OG0007318, OG0011865, OG0011859, OG0013013, OG0018099, OG0016893, OG0008946, OG0001669, OG0003730, OG0005326, OG0014446, OG0007002, OG0001980, OG0006944, OG0001956, OG0005032, OG0010242, OG0009117, OG0016039	Tfasc_v1.00084, Tfasc_v1.01256, Tfasc_v1.01345, Tfasc_v1.03515, Tfasc_v1.06702, Tfasc_v1.06799, Tfasc_v1.07348, Tfasc_v1.07889, Tfasc_v1.08275, Tfasc_v1.08667, Tfasc_v1.09053, Tfasc_v1.09095, Tfasc_v1.10167, Tfasc_v1.10397, Tfasc_v1.10425, Tfasc_v1.10560, Tfasc_v1.10819, Tfasc_v1.10846, Tfasc_v1.11464, Tfasc_v1.11704, Tfasc_v1.12357, Tfasc_v1.12498, Tfasc_v1.12843, Tfasc_v1.12913, Tfasc_v1.14003, Tfasc_v1.14116, Tfasc_v1.14504, Tfasc_v1.15027, Tfasc_v1.15239, Tfasc_v1.15245, Tfasc_v1.15927, Tfasc_v1.15960, Tfasc_v1.17017, Tfasc_v1.17535, Tfasc_v1.17753, Tfasc_v1.17833, Tfasc_v1.19784, Tfasc_v1.19883, Tfasc_v1.20312, Tfasc_v1.20532, Tfasc_v1.21184, Tfasc_v1.21514, Tfasc_v1.22676, Tfasc_v1.23360, Tfasc_v1.23374, Tfasc_v1.23725, Tfasc_v1.23986, Tfasc_v1.24001, Tfasc_v1.24329, Tfasc_v1.24478, Tfasc_v1.25327, Tfasc_v1.25675, Tfasc_v1.25677, Tfasc_v1.26489, Tfasc_v1.27058, Tfasc_v1.27174, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.27546, Tfasc_v1.28063, Tfasc_v1.28235, Tfasc_v1.28241, Tfasc_v1.28887, Tfasc_v1.29678, Tfasc_v1.30679
BP	GO:0042793	plastid transcription	2.5e-05	OG0006540, OG0014014, OG0008613, OG0001145, OG0007617, OG0016812, OG0015633, OG0010121, OG0004048	Tfasc_v1.01333, Tfasc_v1.03095, Tfasc_v1.04443, Tfasc_v1.11563, Tfasc_v1.19894, Tfasc_v1.20396, Tfasc_v1.26097, Tfasc_v1.26838, Tfasc_v1.29525
BP	GO:0006414	translational elongation	0.00014	OG0000290, OG0006487, OG0013334, OG0009870, OG0008639, OG0007200, OG0001426, OG0004343, OG0014031, OG0008960, OG0002111, OG0013197, OG0017034, OG0001518, OG0016087, OG0014682	Tfasc_v1.00193, Tfasc_v1.01231, Tfasc_v1.02411, Tfasc_v1.03489, Tfasc_v1.04390, Tfasc_v1.08985, Tfasc_v1.09461, Tfasc_v1.12437, Tfasc_v1.17298, Tfasc_v1.18675, Tfasc_v1.18676, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.25746, Tfasc_v1.26550, Tfasc_v1.26552, Tfasc_v1.27463, Tfasc_v1.27897, Tfasc_v1.30276
BP	GO:0006370	7-methylguanosine mRNA capping	0.00094	OG0018943, OG0004363, OG0007701, OG0006967	Tfasc_v1.08242, Tfasc_v1.08243, Tfasc_v1.08251, Tfasc_v1.20114, Tfasc_v1.27498
BP	GO:0009853	photorespiration	0.00098	OG0009870, OG0013938, OG0001460, OG0004090, OG0016405, OG0011477, OG0011462, OG0005087	Tfasc_v1.03489, Tfasc_v1.12165, Tfasc_v1.12870, Tfasc_v1.16851, Tfasc_v1.16852, Tfasc_v1.17388, Tfasc_v1.23127, Tfasc_v1.23160, Tfasc_v1.24492, Tfasc_v1.24495
BP	GO:0016311	dephosphorylation	0.00228	OG0015299, OG0016010, OG0006439, OG0011024, OG0012604, OG0018793, OG0013363, OG0003829, OG0014607, OG0001443, OG0018003, OG0016121, OG0006374, OG0003000, OG0006144, OG0006081, OG0004902, OG0004446, OG0007108, OG0016741, OG0003488, OG0008357, OG0008355, OG0001089, OG0015934, OG0000211, OG0019399, OG0015455, OG0005976, OG0014999, OG0008014, OG0008046, OG0008058, OG0009668, OG0001268, OG0018686, OG0005234, OG0019329, OG0010133, OG0004226, OG0012914, OG0005124, OG0001675, OG0019506, OG0003337, OG0007701, OG0000743, OG0002024, OG0003283, OG0002367, OG0008745, OG0003562, OG0008853, OG0008957, OG0014228, OG0017858, OG0010005, OG0003614, OG0010641, OG0000495, OG0006751, OG0014153, OG0010268, OG0004097, OG0009107, OG0002136, OG0009436	Tfasc_v1.00028, Tfasc_v1.00898, Tfasc_v1.01090, Tfasc_v1.01633, Tfasc_v1.01879, Tfasc_v1.02016, Tfasc_v1.02532, Tfasc_v1.02959, Tfasc_v1.02960, Tfasc_v1.04095, Tfasc_v1.04396, Tfasc_v1.04803, Tfasc_v1.04848, Tfasc_v1.05703, Tfasc_v1.06047, Tfasc_v1.06382, Tfasc_v1.06444, Tfasc_v1.07537, Tfasc_v1.08306, Tfasc_v1.08823, Tfasc_v1.08971, Tfasc_v1.09325, Tfasc_v1.09429, Tfasc_v1.09453, Tfasc_v1.10307, Tfasc_v1.11316, Tfasc_v1.12188, Tfasc_v1.12785, Tfasc_v1.12786, Tfasc_v1.14375, Tfasc_v1.14779, Tfasc_v1.15048, Tfasc_v1.15109, Tfasc_v1.15141, Tfasc_v1.15861, Tfasc_v1.16103, Tfasc_v1.16217, Tfasc_v1.16621, Tfasc_v1.17116, Tfasc_v1.17471, Tfasc_v1.17482, Tfasc_v1.18287, Tfasc_v1.18442, Tfasc_v1.18472, Tfasc_v1.18680, Tfasc_v1.19144, Tfasc_v1.19478, Tfasc_v1.20044, Tfasc_v1.20114, Tfasc_v1.20500, Tfasc_v1.22315, Tfasc_v1.22442, Tfasc_v1.23053, Tfasc_v1.23945, Tfasc_v1.23953, Tfasc_v1.24161, Tfasc_v1.24345, Tfasc_v1.25763, Tfasc_v1.26334, Tfasc_v1.26614, Tfasc_v1.26865, Tfasc_v1.26995, Tfasc_v1.27451, Tfasc_v1.27588, Tfasc_v1.27589, Tfasc_v1.27952, Tfasc_v1.28031, Tfasc_v1.28198, Tfasc_v1.28941, Tfasc_v1.29186, Tfasc_v1.29670, Tfasc_v1.29709, Tfasc_v1.30347
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.00231	OG0013782, OG0015607, OG0000429, OG0008574, OG0008694, OG0008704, OG0008702, OG0008716, OG0006256, OG0015538, OG0014264, OG0015193, OG0001167, OG0011088, OG0011069, OG0007092, OG0003233, OG0001376, OG0016398, OG0004333, OG0011748, OG0001104, OG0013100, OG0005724, OG0005749, OG0008070, OG0008132, OG0009745, OG0014279, OG0019353, OG0014577, OG0015239, OG0002661, OG0018772, OG0014258, OG0014914, OG0012196, OG0013701, OG0009976, OG0010025, OG0015717, OG0001956	Tfasc_v1.01718, Tfasc_v1.02653, Tfasc_v1.03383, Tfasc_v1.04509, Tfasc_v1.04760, Tfasc_v1.04769, Tfasc_v1.04770, Tfasc_v1.04792, Tfasc_v1.06010, Tfasc_v1.06542, Tfasc_v1.07317, Tfasc_v1.07365, Tfasc_v1.07366, Tfasc_v1.07367, Tfasc_v1.08038, Tfasc_v1.08079, Tfasc_v1.08780, Tfasc_v1.08997, Tfasc_v1.11052, Tfasc_v1.11283, Tfasc_v1.12319, Tfasc_v1.12327, Tfasc_v1.13012, Tfasc_v1.13017, Tfasc_v1.13033, Tfasc_v1.13848, Tfasc_v1.14100, Tfasc_v1.15153, Tfasc_v1.15289, Tfasc_v1.16242, Tfasc_v1.17066, Tfasc_v1.17924, Tfasc_v1.18697, Tfasc_v1.19675, Tfasc_v1.20946, Tfasc_v1.23919, Tfasc_v1.25561, Tfasc_v1.25568, Tfasc_v1.25574, Tfasc_v1.26280, Tfasc_v1.26559, Tfasc_v1.26655, Tfasc_v1.26908, Tfasc_v1.28063, Tfasc_v1.28066, Tfasc_v1.28831, Tfasc_v1.29202
BP	GO:0006541	glutamine metabolic process	0.0027	OG0009913, OG0013138, OG0019115, OG0004144, OG0013086, OG0007926, OG0002353, OG0011738, OG0003348, OG0001006, OG0000363, OG0008755, OG0015672	Tfasc_v1.03389, Tfasc_v1.07582, Tfasc_v1.07583, Tfasc_v1.07585, Tfasc_v1.08134, Tfasc_v1.13050, Tfasc_v1.14903, Tfasc_v1.18192, Tfasc_v1.18839, Tfasc_v1.20121, Tfasc_v1.21612, Tfasc_v1.23407, Tfasc_v1.23969, Tfasc_v1.27201
BP	GO:0032502	developmental process	0.00307	OG0004033, OG0003543, OG0017230, OG0011666, OG0000875, OG0004430, OG0006638, OG0011024, OG0002274, OG0004923, OG0004989, OG0013618, OG0013657, OG0013685, OG0009917, OG0009513, OG0005044, OG0012759, OG0008668, OG0008704, OG0008702, OG0008710, OG0002109, OG0012512, OG0018434, OG0012447, OG0009792, OG0013179, OG0003031, OG0017487, OG0006126, OG0015572, OG0015561, OG0004818, OG0004819, OG0001984, OG0012822, OG0014903, OG0001115, OG0013136, OG0010414, OG0004163, OG0010406, OG0003960, OG0010369, OG0001665, OG0000629, OG0015208, OG0005189, OG0018968, OG0007095, OG0007267, OG0007281, OG0008279, OG0008259, OG0008241, OG0008174, OG0014115, OG0001504, OG0010999, OG0005179, OG0015934, OG0014507, OG0013483, OG0013481, OG0004824, OG0010820, OG0010812, OG0010806, OG0010771, OG0010746, OG0010738, OG0010691, OG0004958, OG0004964, OG0011815, OG0019399, OG0013092, OG0013075, OG0013031, OG0010335, OG0005261, OG0015259, OG0015131, OG0005699, OG0005819, OG0005787, OG0005769, OG0005750, OG0005936, OG0005947, OG0004459, OG0016615, OG0006071, OG0014991, OG0007930, OG0003412, OG0008088, OG0008112, OG0014669, OG0014278, OG0012126, OG0003787, OG0009714, OG0009006, OG0009067, OG0001604, OG0005548, OG0014196, OG0015865, OG0019356, OG0002353, OG0011325, OG0014555, OG0014577, OG0014599, OG0011173, OG0002325, OG0011224, OG0019518, OG0007594, OG0007586, OG0007694, OG0007751, OG0007810, OG0016443, OG0016069, OG0012265, OG0004466, OG0012066, OG0012006, OG0018586, OG0013856, OG0014653, OG0007450, OG0007435, OG0007434, OG0007395, OG0007382, OG0007325, OG0000263, OG0011462, OG0011875, OG0002562, OG0015273, OG0008745, OG0008809, OG0008810, OG0008878, OG0008882, OG0008962, OG0004620, OG0009606, OG0009481, OG0004843, OG0018270, OG0014236, OG0005052, OG0016276, OG0010021, OG0010025, OG0003886, OG0018638, OG0000772, OG0016722, OG0001980, OG0006967, OG0000940, OG0006913, OG0006792, OG0006733, OG0001956, OG0014160, OG0013865, OG0015590, OG0004025, OG0010607, OG0004018, OG0010280, OG0009245, OG0009234, OG0014799, OG0016016, OG0009284, OG0009309, OG0009376, OG0004251, OG0002518, OG0017847, OG0002510, OG0013411	Tfasc_v1.00011, Tfasc_v1.00158, Tfasc_v1.00170, Tfasc_v1.00261, Tfasc_v1.00696, Tfasc_v1.00870, Tfasc_v1.01523, Tfasc_v1.01633, Tfasc_v1.01689, Tfasc_v1.02359, Tfasc_v1.03105, Tfasc_v1.03149, Tfasc_v1.03283, Tfasc_v1.03339, Tfasc_v1.03396, Tfasc_v1.03496, Tfasc_v1.03787, Tfasc_v1.04039, Tfasc_v1.04716, Tfasc_v1.04769, Tfasc_v1.04770, Tfasc_v1.04787, Tfasc_v1.04805, Tfasc_v1.04921, Tfasc_v1.05055, Tfasc_v1.05078, Tfasc_v1.05410, Tfasc_v1.05568, Tfasc_v1.05814, Tfasc_v1.06128, Tfasc_v1.06405, Tfasc_v1.06486, Tfasc_v1.06494, Tfasc_v1.06536, Tfasc_v1.06540, Tfasc_v1.06738, Tfasc_v1.06933, Tfasc_v1.07479, Tfasc_v1.07551, Tfasc_v1.07572, Tfasc_v1.07592, Tfasc_v1.07723, Tfasc_v1.07766, Tfasc_v1.07771, Tfasc_v1.07836, Tfasc_v1.07839, Tfasc_v1.07846, Tfasc_v1.08304, Tfasc_v1.08317, Tfasc_v1.08426, Tfasc_v1.08444, Tfasc_v1.08669, Tfasc_v1.08804, Tfasc_v1.09150, Tfasc_v1.09181, Tfasc_v1.09606, Tfasc_v1.09624, Tfasc_v1.09658, Tfasc_v1.09806, Tfasc_v1.09833, Tfasc_v1.09872, Tfasc_v1.10792, Tfasc_v1.11240, Tfasc_v1.11246, Tfasc_v1.11316, Tfasc_v1.11576, Tfasc_v1.11676, Tfasc_v1.11681, Tfasc_v1.11696, Tfasc_v1.11820, Tfasc_v1.11845, Tfasc_v1.11850, Tfasc_v1.11913, Tfasc_v1.11966, Tfasc_v1.11969, Tfasc_v1.12071, Tfasc_v1.12129, Tfasc_v1.12192, Tfasc_v1.12202, Tfasc_v1.12498, Tfasc_v1.12785, Tfasc_v1.13037, Tfasc_v1.13058, Tfasc_v1.13168, Tfasc_v1.13253, Tfasc_v1.13320, Tfasc_v1.13345, Tfasc_v1.13406, Tfasc_v1.13782, Tfasc_v1.13942, Tfasc_v1.14004, Tfasc_v1.14053, Tfasc_v1.14099, Tfasc_v1.14270, Tfasc_v1.14304, Tfasc_v1.14387, Tfasc_v1.14478, Tfasc_v1.14515, Tfasc_v1.14803, Tfasc_v1.14913, Tfasc_v1.15103, Tfasc_v1.15104, Tfasc_v1.15183, Tfasc_v1.15225, Tfasc_v1.15451, Tfasc_v1.15630, Tfasc_v1.15985, Tfasc_v1.16006, Tfasc_v1.16091, Tfasc_v1.16184, Tfasc_v1.16394, Tfasc_v1.16595, Tfasc_v1.16907, Tfasc_v1.16908, Tfasc_v1.16910, Tfasc_v1.17762, Tfasc_v1.17934, Tfasc_v1.17990, Tfasc_v1.18192, Tfasc_v1.18248, Tfasc_v1.18644, Tfasc_v1.18697, Tfasc_v1.18780, Tfasc_v1.19408, Tfasc_v1.19479, Tfasc_v1.19539, Tfasc_v1.19700, Tfasc_v1.19952, Tfasc_v1.19975, Tfasc_v1.20105, Tfasc_v1.20249, Tfasc_v1.20340, Tfasc_v1.20344, Tfasc_v1.20347, Tfasc_v1.21057, Tfasc_v1.21233, Tfasc_v1.21298, Tfasc_v1.21366, Tfasc_v1.21539, Tfasc_v1.21640, Tfasc_v1.21644, Tfasc_v1.21754, Tfasc_v1.21903, Tfasc_v1.22432, Tfasc_v1.22464, Tfasc_v1.22471, Tfasc_v1.22551, Tfasc_v1.22571, Tfasc_v1.22664, Tfasc_v1.22737, Tfasc_v1.23160, Tfasc_v1.23341, Tfasc_v1.23675, Tfasc_v1.23845, Tfasc_v1.23945, Tfasc_v1.24082, Tfasc_v1.24088, Tfasc_v1.24218, Tfasc_v1.24233, Tfasc_v1.24360, Tfasc_v1.24373, Tfasc_v1.24375, Tfasc_v1.24981, Tfasc_v1.25299, Tfasc_v1.25589, Tfasc_v1.25591, Tfasc_v1.25607, Tfasc_v1.25778, Tfasc_v1.25836, Tfasc_v1.26392, Tfasc_v1.26644, Tfasc_v1.26655, Tfasc_v1.26716, Tfasc_v1.26823, Tfasc_v1.26930, Tfasc_v1.27215, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.27498, Tfasc_v1.27557, Tfasc_v1.27637, Tfasc_v1.27866, Tfasc_v1.27978, Tfasc_v1.28063, Tfasc_v1.28218, Tfasc_v1.28298, Tfasc_v1.28328, Tfasc_v1.28558, Tfasc_v1.28586, Tfasc_v1.28773, Tfasc_v1.28976, Tfasc_v1.29307, Tfasc_v1.29366, Tfasc_v1.29501, Tfasc_v1.29900, Tfasc_v1.29921, Tfasc_v1.29955, Tfasc_v1.30105, Tfasc_v1.30406, Tfasc_v1.30485, Tfasc_v1.30486, Tfasc_v1.30516, Tfasc_v1.30517, Tfasc_v1.30662
