Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0015979	photosynthesis	9.4e-07	OG0011628, OG0006669, OG0008605, OG0006324, OG0000580, OG0010360, OG0015338, OG0004077, OG0013059, OG0002936, OG0000325, OG0009014, OG0015846, OG0011169, OG0007369, OG0013736, OG0009232, OG0003664	Tfasc_v1.00140, Tfasc_v1.01580, Tfasc_v1.04457, Tfasc_v1.05868, Tfasc_v1.06440, Tfasc_v1.07864, Tfasc_v1.10808, Tfasc_v1.11896, Tfasc_v1.13116, Tfasc_v1.14184, Tfasc_v1.15053, Tfasc_v1.16415, Tfasc_v1.18524, Tfasc_v1.19395, Tfasc_v1.22599, Tfasc_v1.22859, Tfasc_v1.29367, Tfasc_v1.29439
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00029	OG0010216, OG0010011, OG0009449	Tfasc_v1.17658, Tfasc_v1.26617, Tfasc_v1.30324
BP	GO:0009737	response to abscisic acid	3e-04	OG0015377, OG0015558, OG0015596, OG0008241, OG0007915, OG0007490, OG0008857, OG0015661, OG0018137	Tfasc_v1.02297, Tfasc_v1.06521, Tfasc_v1.08710, Tfasc_v1.09668, Tfasc_v1.14864, Tfasc_v1.22341, Tfasc_v1.24176, Tfasc_v1.24624, Tfasc_v1.24625
BP	GO:0015995	chlorophyll biosynthetic process	0.00036	OG0011275, OG0002936, OG0019027, OG0006847, OG0014636	Tfasc_v1.00790, Tfasc_v1.14184, Tfasc_v1.27443, Tfasc_v1.27780, Tfasc_v1.28357
BP	GO:0010270	photosystem II oxygen evolving complex assembly	0.00092	OG0008605, OG0009014	Tfasc_v1.04457, Tfasc_v1.16415
BP	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	0.00092	OG0006295, OG0012004	Tfasc_v1.05934, Tfasc_v1.21634
BP	GO:0070417	cellular response to cold	0.00107	OG0015377, OG0013030, OG0009641	Tfasc_v1.02297, Tfasc_v1.13169, Tfasc_v1.16041
BP	GO:0000413	protein peptidyl-prolyl isomerization	0.00239	OG0012351, OG0002594, OG0008136, OG0007612, OG0003732	Tfasc_v1.06744, Tfasc_v1.12842, Tfasc_v1.15296, Tfasc_v1.19891, Tfasc_v1.26702
BP	GO:0010196	nonphotochemical quenching	0.00617	OG0016015, OG0015475	Tfasc_v1.14544, Tfasc_v1.15411
BP	GO:0045727	positive regulation of translation	0.00746	OG0011056, OG0002594, OG0003276	Tfasc_v1.08100, Tfasc_v1.12842, Tfasc_v1.22559
BP	GO:0009228	thiamine biosynthetic process	0.00814	OG0012970, OG0003931	Tfasc_v1.02373, Tfasc_v1.28940
BP	GO:0048564	photosystem I assembly	0.00814	OG0013059, OG0013736	Tfasc_v1.13116, Tfasc_v1.22859
BP	GO:0006165	nucleoside diphosphate phosphorylation	0.01274	OG0003520, OG0000580, OG0006046, OG0010040	Tfasc_v1.04514, Tfasc_v1.06440, Tfasc_v1.14480, Tfasc_v1.26705
BP	GO:0010206	photosystem II repair	0.01278	OG0010360, OG0009232	Tfasc_v1.07864, Tfasc_v1.29367
BP	GO:0007039	protein catabolic process in the vacuole	0.01769	OG0015680	Tfasc_v1.26168
BP	GO:0034051	negative regulation of plant-type hypersensitive response	0.01769	OG0006539	Tfasc_v1.01341
BP	GO:0097339	glycolate transmembrane transport	0.01769	OG0015558	Tfasc_v1.06521
BP	GO:1901975	glycerate transmembrane transport	0.01769	OG0015558	Tfasc_v1.06521
BP	GO:0031998	regulation of fatty acid beta-oxidation	0.01769	OG0001439	Tfasc_v1.04530
BP	GO:0000913	preprophase band assembly	0.01769	OG0011856	Tfasc_v1.29152
BP	GO:0010478	chlororespiration	0.01769	OG0016015	Tfasc_v1.14544
BP	GO:1902348	cellular response to strigolactone	0.01769	OG0007621	Tfasc_v1.19880
BP	GO:0005978	glycogen biosynthetic process	0.01831	OG0014321, OG0011563	Tfasc_v1.15702, Tfasc_v1.22969
BP	GO:0010315	auxin efflux	0.01831	OG0001625, OG0002433	Tfasc_v1.16001, Tfasc_v1.17391
BP	GO:0006163	purine nucleotide metabolic process	0.021	OG0005426, OG0004513, OG0003520, OG0000580, OG0013084, OG0006046, OG0010040, OG0014150	Tfasc_v1.01651, Tfasc_v1.02041, Tfasc_v1.04514, Tfasc_v1.06440, Tfasc_v1.13051, Tfasc_v1.14480, Tfasc_v1.26705, Tfasc_v1.28185
BP	GO:0009749	response to glucose	0.02139	OG0000580, OG0007490	Tfasc_v1.06440, Tfasc_v1.22341
BP	GO:0009658	chloroplast organization	0.02257	OG0006386, OG0015558, OG0019304, OG0002762, OG0013736, OG0003568, OG0009232	Tfasc_v1.05663, Tfasc_v1.06521, Tfasc_v1.12014, Tfasc_v1.13179, Tfasc_v1.22859, Tfasc_v1.24017, Tfasc_v1.29367
BP	GO:0006662	glycerol ether metabolic process	0.02466	OG0009929, OG0015760	Tfasc_v1.03373, Tfasc_v1.26961
BP	GO:0010252	auxin homeostasis	0.02466	OG0001625, OG0002433	Tfasc_v1.16001, Tfasc_v1.17391
BP	GO:0006094	gluconeogenesis	0.02792	OG0003520, OG0014341, OG0015680	Tfasc_v1.04514, Tfasc_v1.18182, Tfasc_v1.26168
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	0.02813	OG0006324, OG0000325	Tfasc_v1.05868, Tfasc_v1.15053
