Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0015671	oxygen transport	0.00056	OG0002707	Tfasc_v1.14645, Tfasc_v1.14646
BP	GO:0001666	response to hypoxia	0.00067	OG0002707, OG0009726	Tfasc_v1.14645, Tfasc_v1.14646, Tfasc_v1.16205
BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	0.00165	OG0018453, OG0014983	Tfasc_v1.05321, Tfasc_v1.05322
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	0.00323	OG0017726, OG0009137, OG0015334	Tfasc_v1.19835, Tfasc_v1.29726, Tfasc_v1.30498
BP	GO:0015790	UDP-xylose transmembrane transport	0.00325	OG0011700, OG0002252	Tfasc_v1.00358, Tfasc_v1.07645
BP	GO:0045046	protein import into peroxisome membrane	0.00325	OG0013399, OG0018063	Tfasc_v1.10183, Tfasc_v1.10184
BP	GO:0045892	negative regulation of transcription, DNA-templated	0.00329	OG0001080, OG0012490, OG0003042, OG0006215, OG0011220, OG0016067, OG0011944, OG0012757	Tfasc_v1.00425, Tfasc_v1.04985, Tfasc_v1.05646, Tfasc_v1.06160, Tfasc_v1.19517, Tfasc_v1.21019, Tfasc_v1.23198, Tfasc_v1.24162
BP	GO:0018344	protein geranylgeranylation	0.00533	OG0008126, OG0018617	Tfasc_v1.15279, Tfasc_v1.26281
BP	GO:1903401	L-lysine transmembrane transport	0.00787	OG0010787, OG0007910	Tfasc_v1.11899, Tfasc_v1.14866
BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.00787	OG0011482, OG0009174	Tfasc_v1.23111, Tfasc_v1.29815
BP	GO:0006090	pyruvate metabolic process	0.00947	OG0001279, OG0007228, OG0017380, OG0019269, OG0011812, OG0000993, OG0002210	Tfasc_v1.08954, Tfasc_v1.09052, Tfasc_v1.11308, Tfasc_v1.11309, Tfasc_v1.12492, Tfasc_v1.16250, Tfasc_v1.26542
BP	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	0.01084	OG0001279, OG0011812	Tfasc_v1.08954, Tfasc_v1.12492
BP	GO:0006108	malate metabolic process	0.01111	OG0017380, OG0019269, OG0000993	Tfasc_v1.11308, Tfasc_v1.11309, Tfasc_v1.16250
BP	GO:0007030	Golgi organization	0.01254	OG0006474, OG0006481, OG0018453, OG0014983, OG0001505	Tfasc_v1.01198, Tfasc_v1.01218, Tfasc_v1.05321, Tfasc_v1.05322, Tfasc_v1.24557
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.01423	OG0002488, OG0006128	Tfasc_v1.02159, Tfasc_v1.06406
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	0.01566	OG0001045, OG0006481, OG0007129, OG0001637	Tfasc_v1.00127, Tfasc_v1.01218, Tfasc_v1.08867, Tfasc_v1.11228
BP	GO:0006891	intra-Golgi vesicle-mediated transport	0.01803	OG0001045, OG0018453, OG0014983, OG0001637, OG0013023, OG0001505	Tfasc_v1.00127, Tfasc_v1.05321, Tfasc_v1.05322, Tfasc_v1.11228, Tfasc_v1.23656, Tfasc_v1.24557
BP	GO:0006623	protein targeting to vacuole	0.02142	OG0007129, OG0011482, OG0001505, OG0006836	Tfasc_v1.08867, Tfasc_v1.23111, Tfasc_v1.24557, Tfasc_v1.27794
BP	GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.02283	OG0019524, OG0019525, OG0012124	Tfasc_v1.19757, Tfasc_v1.19758, Tfasc_v1.19759
BP	GO:0035404	histone-serine phosphorylation	0.0236	OG0013487, OG0015005	Tfasc_v1.11646, Tfasc_v1.14771
BP	GO:0045786	negative regulation of cell cycle	0.02363	OG0013129, OG0012056, OG0012786	Tfasc_v1.07601, Tfasc_v1.21546, Tfasc_v1.21982
BP	GO:1900111	positive regulation of histone H3-K9 dimethylation	0.02367	OG0013487	Tfasc_v1.11646
BP	GO:0035066	positive regulation of histone acetylation	0.02367	OG0008453	Tfasc_v1.04310
BP	GO:0035269	protein O-linked mannosylation	0.02367	OG0017325	Tfasc_v1.06793
BP	GO:1990966	ATP generation from poly-ADP-D-ribose	0.02367	OG0014871	Tfasc_v1.17826
BP	GO:0010950	positive regulation of endopeptidase activity	0.02367	OG0010372	Tfasc_v1.07834
BP	GO:0071494	cellular response to UV-C	0.02367	OG0018783	Tfasc_v1.01858
BP	GO:0071454	cellular response to anoxia	0.02367	OG0006080	Tfasc_v1.06445
BP	GO:0046203	spermidine catabolic process	0.02367	OG0015728	Tfasc_v1.26917
BP	GO:0017186	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	0.02367	OG0012744	Tfasc_v1.20771
BP	GO:0060623	regulation of chromosome condensation	0.02367	OG0013365	Tfasc_v1.02531
BP	GO:0010446	response to alkaline pH	0.02367	OG0012285	Tfasc_v1.06629
BP	GO:1905775	negative regulation of DNA helicase activity	0.02367	OG0007575	Tfasc_v1.22157
BP	GO:0061866	negative regulation of histone H3-S10 phosphorylation	0.02367	OG0013487	Tfasc_v1.11646
BP	GO:0044794	positive regulation by host of viral process	0.02367	OG0004303	Tfasc_v1.00244
BP	GO:1990074	polyuridylation-dependent mRNA catabolic process	0.02367	OG0007099	Tfasc_v1.08810
BP	GO:1903730	regulation of phosphatidate phosphatase activity	0.02367	OG0011582	Tfasc_v1.22922
BP	GO:0080027	response to herbivore	0.02367	OG0009726	Tfasc_v1.16205
BP	GO:0033396	beta-alanine biosynthetic process via 3-ureidopropionate	0.02367	OG0012316	Tfasc_v1.06706
BP	GO:1903343	positive regulation of meiotic DNA double-strand break formation	0.02367	OG0013487	Tfasc_v1.11646
