Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.00039	OG0010445, OG0001301, OG0012682, OG0003733	Tfasc_v1.07682, Tfasc_v1.11762, Tfasc_v1.12609, Tfasc_v1.25297
BP	GO:0009094	L-phenylalanine biosynthetic process	0.00086	OG0004058, OG0015076	Tfasc_v1.07026, Tfasc_v1.07027, Tfasc_v1.22821
BP	GO:0006021	inositol biosynthetic process	0.00119	OG0001383	Tfasc_v1.20319, Tfasc_v1.23052
BP	GO:0016567	protein ubiquitination	0.00361	OG0012654, OG0018436, OG0006124, OG0000107, OG0002900, OG0010855, OG0010735, OG0001444, OG0012161, OG0008995, OG0000432, OG0007773, OG0012687, OG0003307, OG0003277, OG0010493	Tfasc_v1.01962, Tfasc_v1.05079, Tfasc_v1.06403, Tfasc_v1.09121, Tfasc_v1.09968, Tfasc_v1.11060, Tfasc_v1.12004, Tfasc_v1.14666, Tfasc_v1.15923, Tfasc_v1.16364, Tfasc_v1.17590, Tfasc_v1.17651, Tfasc_v1.20268, Tfasc_v1.20566, Tfasc_v1.22286, Tfasc_v1.22543, Tfasc_v1.24202, Tfasc_v1.28648
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.00438	OG0013235, OG0006124, OG0010445, OG0001301, OG0012682, OG0001444, OG0007773, OG0003733, OG0001167	Tfasc_v1.02032, Tfasc_v1.06403, Tfasc_v1.07682, Tfasc_v1.11762, Tfasc_v1.12609, Tfasc_v1.14666, Tfasc_v1.20268, Tfasc_v1.25297, Tfasc_v1.28913
BP	GO:0044375	regulation of peroxisome size	0.00571	OG0016678, OG0019605	Tfasc_v1.28060, Tfasc_v1.28447
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00659	OG0013235, OG0006124, OG0010445, OG0000107, OG0001301, OG0010735, OG0012682, OG0005869, OG0001444, OG0012161, OG0007773, OG0012687, OG0003277, OG0003733, OG0010240, OG0001167	Tfasc_v1.02032, Tfasc_v1.06403, Tfasc_v1.07682, Tfasc_v1.09121, Tfasc_v1.11762, Tfasc_v1.12004, Tfasc_v1.12609, Tfasc_v1.14164, Tfasc_v1.14666, Tfasc_v1.15923, Tfasc_v1.17651, Tfasc_v1.20268, Tfasc_v1.20566, Tfasc_v1.22543, Tfasc_v1.24202, Tfasc_v1.25297, Tfasc_v1.28881, Tfasc_v1.28913
BP	GO:0070534	protein K63-linked ubiquitination	0.01037	OG0010855, OG0000432	Tfasc_v1.11060, Tfasc_v1.17590
BP	GO:0061817	endoplasmic reticulum-plasma membrane tethering	0.01037	OG0002469	Tfasc_v1.28234, Tfasc_v1.28240
BP	GO:0043622	cortical microtubule organization	0.01316	OG0005728, OG0010164	Tfasc_v1.13866, Tfasc_v1.17567
BP	GO:0006102	isocitrate metabolic process	0.01624	OG0000507, OG0001397	Tfasc_v1.09620, Tfasc_v1.15089
BP	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	0.01624	OG0000640, OG0009155	Tfasc_v1.07404, Tfasc_v1.29765
BP	GO:0010091	trichome branching	0.01958	OG0010164, OG0013702	Tfasc_v1.17567, Tfasc_v1.26283
BP	GO:0090158	endoplasmic reticulum membrane organization	0.01958	OG0002469	Tfasc_v1.28234, Tfasc_v1.28240
BP	GO:1903352	L-ornithine transmembrane transport	0.02	OG0001041, OG0007954	Tfasc_v1.02177, Tfasc_v1.14941
BP	GO:0009970	cellular response to sulfate starvation	0.02007	OG0013652	Tfasc_v1.03296
BP	GO:1901969	positive regulation of polynucleotide 3'-phosphatase activity	0.02007	OG0016603	Tfasc_v1.14264
BP	GO:0071284	cellular response to lead ion	0.02007	OG0014351	Tfasc_v1.18139
BP	GO:1901972	positive regulation of DNA-5-methylcytosine glycosylase activity	0.02007	OG0016603	Tfasc_v1.14264
BP	GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation	0.02007	OG0005908	Tfasc_v1.14227
BP	GO:0060860	regulation of floral organ abscission	0.02007	OG0011070	Tfasc_v1.08084
BP	GO:1902626	assembly of large subunit precursor of preribosome	0.02007	OG0005091	Tfasc_v1.27080
BP	GO:0090058	metaxylem development	0.02007	OG0014773	Tfasc_v1.13002
BP	GO:0097548	seed abscission	0.02007	OG0011070	Tfasc_v1.08084
BP	GO:0089709	L-histidine transmembrane transport	0.02007	OG0007954	Tfasc_v1.14941
BP	GO:0015680	protein maturation by copper ion transfer	0.02007	OG0015211	Tfasc_v1.08354
BP	GO:0001881	receptor recycling	0.02007	OG0006306	Tfasc_v1.05914
BP	GO:0018105	peptidyl-serine phosphorylation	0.02562	OG0011289, OG0006357, OG0001040, OG0003800, OG0009119	Tfasc_v1.00712, Tfasc_v1.05744, Tfasc_v1.10921, Tfasc_v1.16171, Tfasc_v1.29674
BP	GO:0071712	ER-associated misfolded protein catabolic process	0.03115	OG0010735, OG0001167	Tfasc_v1.12004, Tfasc_v1.28913
BP	GO:1902476	chloride transmembrane transport	0.03115	OG0019519, OG0010031	Tfasc_v1.19706, Tfasc_v1.26684
BP	GO:1901642	nucleoside transmembrane transport	0.03961	OG0011007, OG0013604	Tfasc_v1.10782, Tfasc_v1.11302
BP	GO:0015720	allantoin transport	0.03974	OG0002911	Tfasc_v1.13864
BP	GO:2000009	negative regulation of protein localization to cell surface	0.03974	OG0014145	Tfasc_v1.28184
BP	GO:1905499	trichome papilla formation	0.03974	OG0013702	Tfasc_v1.26283
BP	GO:1901031	regulation of response to reactive oxygen species	0.03974	OG0015461	Tfasc_v1.26037
BP	GO:0000719	photoreactive repair	0.03974	OG0010661	Tfasc_v1.07152
BP	GO:0006844	acyl carnitine transport	0.03974	OG0007954	Tfasc_v1.14941
BP	GO:0050821	protein stabilization	0.04001	OG0010587, OG0009254	Tfasc_v1.28645, Tfasc_v1.29120
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.04068	OG0003734, OG0014747, OG0015759, OG0006973, OG0010509	Tfasc_v1.25305, Tfasc_v1.25399, Tfasc_v1.26967, Tfasc_v1.27381, Tfasc_v1.28707
BP	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	0.0497	OG0001053, OG0001398	Tfasc_v1.21106, Tfasc_v1.21650
MF	GO:0061631	ubiquitin conjugating enzyme activity	3.8e-06	OG0000107, OG0002900, OG0010855, OG0001444, OG0000432	Tfasc_v1.09121, Tfasc_v1.09968, Tfasc_v1.11060, Tfasc_v1.14666, Tfasc_v1.17590, Tfasc_v1.17651, Tfasc_v1.24202
MF	GO:0004106	chorismate mutase activity	0.00014	OG0008484, OG0004058	Tfasc_v1.04670, Tfasc_v1.07026, Tfasc_v1.07027
MF	GO:0004664	prephenate dehydratase activity	0.00022	OG0004058, OG0015076	Tfasc_v1.07026, Tfasc_v1.07027, Tfasc_v1.22821
MF	GO:0004512	inositol-3-phosphate synthase activity	0.00026	OG0001383	Tfasc_v1.20319, Tfasc_v1.23052
MF	GO:0004298	threonine-type endopeptidase activity	0.00026	OG0010445, OG0001301, OG0012682, OG0003733	Tfasc_v1.07682, Tfasc_v1.11762, Tfasc_v1.12609, Tfasc_v1.25297
MF	GO:0000064	L-ornithine transmembrane transporter activity	0.00153	OG0001041, OG0007954	Tfasc_v1.02177, Tfasc_v1.14941
MF	GO:0000340	RNA 7-methylguanosine cap binding	0.00253	OG0019523, OG0015453	Tfasc_v1.19733, Tfasc_v1.19734
MF	GO:0061630	ubiquitin protein ligase activity	0.00371	OG0006124, OG0010735, OG0012161, OG0008995, OG0007773, OG0003307, OG0003277	Tfasc_v1.06403, Tfasc_v1.12004, Tfasc_v1.15923, Tfasc_v1.16364, Tfasc_v1.20268, Tfasc_v1.22286, Tfasc_v1.22543
MF	GO:0047617	acyl-CoA hydrolase activity	0.00375	OG0004961, OG0014662	Tfasc_v1.12159, Tfasc_v1.15469
MF	GO:0047769	arogenate dehydratase activity	0.00519	OG0004058	Tfasc_v1.07026, Tfasc_v1.07027
MF	GO:0071949	FAD binding	0.01198	OG0010661, OG0005996, OG0008004, OG0004371	Tfasc_v1.07152, Tfasc_v1.14408, Tfasc_v1.15032, Tfasc_v1.23354
MF	GO:0044390	ubiquitin-like protein conjugating enzyme binding	0.01614	OG0010735, OG0007773	Tfasc_v1.12004, Tfasc_v1.20268
MF	GO:0008241	peptidyl-dipeptidase activity	0.01618	OG0002473	Tfasc_v1.20583
MF	GO:0004854	xanthine dehydrogenase activity	0.01618	OG0004371	Tfasc_v1.23354
MF	GO:0004855	xanthine oxidase activity	0.01618	OG0004371	Tfasc_v1.23354
MF	GO:1990534	thermospermine oxidase activity	0.01618	OG0003482	Tfasc_v1.09332
MF	GO:0008117	sphinganine-1-phosphate aldolase activity	0.01618	OG0013718	Tfasc_v1.18478
MF	GO:0050178	phenylpyruvate tautomerase activity	0.01618	OG0019378	Tfasc_v1.12373
MF	GO:0003904	deoxyribodipyrimidine photo-lyase activity	0.01618	OG0010661	Tfasc_v1.07152
MF	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity	0.01618	OG0005996	Tfasc_v1.14408
MF	GO:0019788	NEDD8 transferase activity	0.01618	OG0002900	Tfasc_v1.09968
MF	GO:0005290	L-histidine transmembrane transporter activity	0.01618	OG0007954	Tfasc_v1.14941
MF	GO:0016711	flavonoid 3'-monooxygenase activity	0.01618	OG0003336	Tfasc_v1.20052
