Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009658	chloroplast organization	8.8e-08	OG0006540, OG0006586, OG0001984, OG0012884, OG0010893, OG0005179, OG0010745, OG0002762, OG0005721, OG0009712, OG0017054, OG0012915, OG0013730, OG0007617, OG0007691, OG0007738, OG0015616, OG0013736, OG0014232, OG0009957, OG0010121, OG0009232, OG0004048	Tfasc_v1.01333, Tfasc_v1.01416, Tfasc_v1.06738, Tfasc_v1.09243, Tfasc_v1.10984, Tfasc_v1.11240, Tfasc_v1.11246, Tfasc_v1.11964, Tfasc_v1.13179, Tfasc_v1.13521, Tfasc_v1.13849, Tfasc_v1.16185, Tfasc_v1.17554, Tfasc_v1.18443, Tfasc_v1.18494, Tfasc_v1.19894, Tfasc_v1.20100, Tfasc_v1.20194, Tfasc_v1.22184, Tfasc_v1.22859, Tfasc_v1.25764, Tfasc_v1.26515, Tfasc_v1.26838, Tfasc_v1.29367, Tfasc_v1.29525
BP	GO:0042793	plastid transcription	1.3e-05	OG0006540, OG0008613, OG0007617, OG0015633, OG0010121, OG0004048	Tfasc_v1.01333, Tfasc_v1.04443, Tfasc_v1.19894, Tfasc_v1.26097, Tfasc_v1.26838, Tfasc_v1.29525
BP	GO:0032502	developmental process	2.7e-05	OG0006120, OG0006539, OG0006638, OG0002274, OG0013618, OG0008704, OG0012447, OG0013179, OG0003031, OG0001636, OG0001984, OG0012362, OG0012822, OG0001115, OG0010406, OG0011070, OG0005189, OG0007182, OG0007281, OG0012884, OG0008241, OG0005179, OG0015934, OG0013481, OG0010820, OG0010745, OG0010738, OG0010691, OG0019399, OG0015131, OG0005699, OG0005819, OG0006012, OG0016615, OG0006071, OG0007913, OG0007930, OG0014321, OG0005268, OG0001625, OG0009714, OG0009712, OG0008978, OG0009006, OG0001604, OG0005548, OG0014196, OG0015865, OG0015047, OG0014555, OG0014599, OG0007594, OG0016443, OG0012684, OG0016069, OG0004466, OG0012066, OG0007492, OG0007450, OG0007354, OG0013736, OG0011462, OG0002562, OG0015273, OG0008810, OG0004620, OG0009606, OG0016276, OG0003886, OG0006967, OG0000940, OG0006792, OG0014844, OG0016016, OG0009284	Tfasc_v1.00235, Tfasc_v1.01341, Tfasc_v1.01523, Tfasc_v1.01689, Tfasc_v1.03149, Tfasc_v1.04769, Tfasc_v1.05078, Tfasc_v1.05568, Tfasc_v1.05814, Tfasc_v1.06678, Tfasc_v1.06738, Tfasc_v1.06757, Tfasc_v1.06933, Tfasc_v1.07551, Tfasc_v1.07771, Tfasc_v1.08084, Tfasc_v1.08444, Tfasc_v1.08959, Tfasc_v1.09181, Tfasc_v1.09243, Tfasc_v1.09658, Tfasc_v1.09668, Tfasc_v1.11240, Tfasc_v1.11246, Tfasc_v1.11316, Tfasc_v1.11681, Tfasc_v1.11820, Tfasc_v1.11964, Tfasc_v1.11969, Tfasc_v1.12071, Tfasc_v1.12785, Tfasc_v1.13406, Tfasc_v1.13782, Tfasc_v1.13942, Tfasc_v1.14454, Tfasc_v1.14478, Tfasc_v1.14515, Tfasc_v1.14868, Tfasc_v1.14913, Tfasc_v1.15702, Tfasc_v1.15703, Tfasc_v1.16001, Tfasc_v1.16184, Tfasc_v1.16185, Tfasc_v1.16334, Tfasc_v1.16394, Tfasc_v1.16907, Tfasc_v1.16908, Tfasc_v1.16910, Tfasc_v1.17762, Tfasc_v1.17934, Tfasc_v1.17961, Tfasc_v1.18644, Tfasc_v1.18780, Tfasc_v1.19952, Tfasc_v1.20347, Tfasc_v1.20561, Tfasc_v1.21057, Tfasc_v1.21298, Tfasc_v1.21539, Tfasc_v1.22343, Tfasc_v1.22432, Tfasc_v1.22619, Tfasc_v1.22859, Tfasc_v1.23160, Tfasc_v1.23675, Tfasc_v1.23845, Tfasc_v1.24088, Tfasc_v1.24373, Tfasc_v1.24981, Tfasc_v1.26392, Tfasc_v1.26716, Tfasc_v1.27498, Tfasc_v1.27557, Tfasc_v1.27866, Tfasc_v1.29605, Tfasc_v1.29900, Tfasc_v1.29921
BP	GO:0010027	thylakoid membrane organization	5.4e-05	OG0006539, OG0011006, OG0005848, OG0015475, OG0013730, OG0009957, OG0010121, OG0005028, OG0010503	Tfasc_v1.01341, Tfasc_v1.10777, Tfasc_v1.14149, Tfasc_v1.15411, Tfasc_v1.18494, Tfasc_v1.26515, Tfasc_v1.26838, Tfasc_v1.28222, Tfasc_v1.28680
BP	GO:0016120	carotene biosynthetic process	9.8e-05	OG0014606, OG0002429, OG0005086	Tfasc_v1.04102, Tfasc_v1.14385, Tfasc_v1.21368, Tfasc_v1.25653, Tfasc_v1.28736
BP	GO:0042128	nitrate assimilation	9.9e-05	OG0000928, OG0003196	Tfasc_v1.08593, Tfasc_v1.08595, Tfasc_v1.08596, Tfasc_v1.08668
BP	GO:0006334	nucleosome assembly	0.00013	OG0000126, OG0012814, OG0001908, OG0002923, OG0005157, OG0001326, OG0004040	Tfasc_v1.04973, Tfasc_v1.06949, Tfasc_v1.08990, Tfasc_v1.14044, Tfasc_v1.15496, Tfasc_v1.15503, Tfasc_v1.27968, Tfasc_v1.28320, Tfasc_v1.28724
BP	GO:0005980	glycogen catabolic process	0.00014	OG0001290, OG0010694, OG0014805	Tfasc_v1.05762, Tfasc_v1.12084, Tfasc_v1.29518
BP	GO:0006809	nitric oxide biosynthetic process	0.00053	OG0000928	Tfasc_v1.08593, Tfasc_v1.08595, Tfasc_v1.08596
BP	GO:0015979	photosynthesis	0.00061	OG0011628, OG0001269, OG0005430, OG0006638, OG0015370, OG0000456, OG0008609, OG0004056, OG0011006, OG0017148, OG0013823, OG0013736, OG0011593, OG0011477, OG0008787, OG0008925, OG0002354, OG0005028, OG0010503, OG0013747, OG0009232, OG0009161	Tfasc_v1.00140, Tfasc_v1.00232, Tfasc_v1.00899, Tfasc_v1.00900, Tfasc_v1.01523, Tfasc_v1.02310, Tfasc_v1.02541, Tfasc_v1.04451, Tfasc_v1.07044, Tfasc_v1.07045, Tfasc_v1.10777, Tfasc_v1.10944, Tfasc_v1.11070, Tfasc_v1.22859, Tfasc_v1.22894, Tfasc_v1.23127, Tfasc_v1.23338, Tfasc_v1.24035, Tfasc_v1.24303, Tfasc_v1.26057, Tfasc_v1.26059, Tfasc_v1.28222, Tfasc_v1.28680, Tfasc_v1.29236, Tfasc_v1.29367, Tfasc_v1.29802
