Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0030968	endoplasmic reticulum unfolded protein response	0.00069	OG0000429, OG0000765	Tfasc_v1.03383, Tfasc_v1.28831, Tfasc_v1.29089
BP	GO:0046686	response to cadmium ion	0.00107	OG0002440, OG0005256, OG0000772, OG0010607	Tfasc_v1.06726, Tfasc_v1.18015, Tfasc_v1.26930, Tfasc_v1.28586
BP	GO:0030433	ubiquitin-dependent ERAD pathway	0.00262	OG0000429, OG0001091	Tfasc_v1.03383, Tfasc_v1.15921, Tfasc_v1.28831
BP	GO:0055091	phospholipid homeostasis	0.00674	OG0013533	Tfasc_v1.20949
BP	GO:0070328	triglyceride homeostasis	0.00674	OG0013533	Tfasc_v1.20949
BP	GO:0000032	cell wall mannoprotein biosynthetic process	0.00674	OG0012758	Tfasc_v1.16821
BP	GO:1903298	negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	0.00674	OG0012141	Tfasc_v1.15950
BP	GO:0055089	fatty acid homeostasis	0.00674	OG0013533	Tfasc_v1.20949
BP	GO:0080168	abscisic acid transport	0.00674	OG0007325	Tfasc_v1.22664
BP	GO:0099638	endosome to plasma membrane protein transport	0.00674	OG0010418	Tfasc_v1.07712
BP	GO:0036257	multivesicular body organization	0.01344	OG0010418	Tfasc_v1.07712
BP	GO:0015808	L-alanine transport	0.01344	OG0008230	Tfasc_v1.09682
BP	GO:1901031	regulation of response to reactive oxygen species	0.01344	OG0015461	Tfasc_v1.26037
BP	GO:0030187	melatonin biosynthetic process	0.02009	OG0014152	Tfasc_v1.28194
BP	GO:1903826	arginine transmembrane transport	0.02009	OG0008230	Tfasc_v1.09682
BP	GO:0009298	GDP-mannose biosynthetic process	0.02009	OG0012758	Tfasc_v1.16821
BP	GO:0015813	L-glutamate transmembrane transport	0.02009	OG0008230	Tfasc_v1.09682
BP	GO:0051555	flavonol biosynthetic process	0.02009	OG0014152	Tfasc_v1.28194
BP	GO:0097359	UDP-glucosylation	0.02009	OG0002253	Tfasc_v1.07607
BP	GO:0042026	protein refolding	0.02072	OG0000429	Tfasc_v1.03383, Tfasc_v1.28831
BP	GO:0051211	anisotropic cell growth	0.02669	OG0009457	Tfasc_v1.30301
BP	GO:0051085	chaperone cofactor-dependent protein refolding	0.02699	OG0000429	Tfasc_v1.03383, Tfasc_v1.28831
BP	GO:0007033	vacuole organization	0.02919	OG0011719, OG0010418, OG0002713	Tfasc_v1.00379, Tfasc_v1.07712, Tfasc_v1.13757
BP	GO:0007035	vacuolar acidification	0.03326	OG0008394	Tfasc_v1.09378
BP	GO:0051014	actin filament severing	0.03326	OG0015122	Tfasc_v1.27448
BP	GO:0070863	positive regulation of protein exit from endoplasmic reticulum	0.03978	OG0000317	Tfasc_v1.27630
BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.03978	OG0010418	Tfasc_v1.07712
BP	GO:0002221	pattern recognition receptor signaling pathway	0.03978	OG0009271	Tfasc_v1.29062
BP	GO:1903401	L-lysine transmembrane transport	0.03978	OG0008230	Tfasc_v1.09682
BP	GO:0006457	protein folding	0.04075	OG0000429, OG0010607, OG0009271, OG0000765	Tfasc_v1.03383, Tfasc_v1.28586, Tfasc_v1.28831, Tfasc_v1.29062, Tfasc_v1.29089
BP	GO:0015786	UDP-glucose transmembrane transport	0.04625	OG0003791	Tfasc_v1.14638
BP	GO:0006101	citrate metabolic process	0.04625	OG0000772	Tfasc_v1.26930
BP	GO:0072334	UDP-galactose transmembrane transport	0.04625	OG0003791	Tfasc_v1.14638
BP	GO:0006517	protein deglycosylation	0.04625	OG0004317	Tfasc_v1.00307
BP	GO:0000209	protein polyubiquitination	0.0496	OG0008574, OG0001493	Tfasc_v1.04509, Tfasc_v1.25171
MF	GO:0051082	unfolded protein binding	7.3e-05	OG0000429, OG0002253, OG0010607, OG0009271, OG0000765	Tfasc_v1.03383, Tfasc_v1.07607, Tfasc_v1.28586, Tfasc_v1.28831, Tfasc_v1.29062, Tfasc_v1.29089
MF	GO:0016887	ATP hydrolysis activity	0.00042	OG0000429, OG0002713, OG0004406, OG0007325, OG0004476, OG0010607	Tfasc_v1.03383, Tfasc_v1.13757, Tfasc_v1.21632, Tfasc_v1.22664, Tfasc_v1.27133, Tfasc_v1.28586, Tfasc_v1.28831
MF	GO:0005524	ATP binding	0.00255	OG0011638, OG0000429, OG0003243, OG0018015, OG0002900, OG0010742, OG0002713, OG0014967, OG0001501, OG0014668, OG0008162, OG0001091, OG0014352, OG0004406, OG0007434, OG0007325, OG0018223, OG0003585, OG0009538, OG0009535, OG0000772, OG0004476, OG0010607, OG0000523	Tfasc_v1.00168, Tfasc_v1.03383, Tfasc_v1.09076, Tfasc_v1.09444, Tfasc_v1.09968, Tfasc_v1.11965, Tfasc_v1.13757, Tfasc_v1.14667, Tfasc_v1.14736, Tfasc_v1.15444, Tfasc_v1.15524, Tfasc_v1.15921, Tfasc_v1.18129, Tfasc_v1.21632, Tfasc_v1.22471, Tfasc_v1.22664, Tfasc_v1.22692, Tfasc_v1.24205, Tfasc_v1.25129, Tfasc_v1.25154, Tfasc_v1.26930, Tfasc_v1.27133, Tfasc_v1.28586, Tfasc_v1.28831, Tfasc_v1.28930
MF	GO:0051787	misfolded protein binding	0.00472	OG0000429	Tfasc_v1.03383, Tfasc_v1.28831
MF	GO:0044183	protein folding chaperone	0.00588	OG0000429	Tfasc_v1.03383, Tfasc_v1.28831
MF	GO:0030744	luteolin O-methyltransferase activity	0.0061	OG0014152	Tfasc_v1.28194
