Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006203	dGTP catabolic process	0.0032	OG0004331	Tfasc_v1.15930
BP	GO:1905182	positive regulation of urease activity	0.0064	OG0009556	Tfasc_v1.25098
BP	GO:0048209	regulation of vesicle targeting, to, from or within Golgi	0.0096	OG0012857	Tfasc_v1.02395
BP	GO:0030574	collagen catabolic process	0.0096	OG0019070	Tfasc_v1.06690
BP	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.0128	OG0001107	Tfasc_v1.06581
BP	GO:0019346	transsulfuration	0.0128	OG0000326	Tfasc_v1.07819
BP	GO:0006747	FAD biosynthetic process	0.0128	OG0012999	Tfasc_v1.23777
BP	GO:0006878	cellular copper ion homeostasis	0.0192	OG0010021	Tfasc_v1.26644
BP	GO:0003333	amino acid transmembrane transport	0.0218	OG0001938, OG0012598	Tfasc_v1.01212, Tfasc_v1.01864
BP	GO:0015940	pantothenate biosynthetic process	0.0223	OG0018095	Tfasc_v1.10723
BP	GO:0006876	cellular cadmium ion homeostasis	0.0223	OG0013985	Tfasc_v1.12282
BP	GO:0006882	cellular zinc ion homeostasis	0.0255	OG0013985	Tfasc_v1.12282
BP	GO:0005975	carbohydrate metabolic process	0.0258	OG0008356, OG0013828, OG0001710, OG0018289	Tfasc_v1.09430, Tfasc_v1.11098, Tfasc_v1.28239, Tfasc_v1.28243, Tfasc_v1.28244, Tfasc_v1.29142
BP	GO:0005987	sucrose catabolic process	0.0286	OG0018289	Tfasc_v1.29142
