Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006886	intracellular protein transport	3.5e-09	OG0001949, OG0012668, OG0000741, OG0002488, OG0009829, OG0001167, OG0015790, OG0000999, OG0014916, OG0013548, OG0001902, OG0015567, OG0001637, OG0001565, OG0001665, OG0016858, OG0008265, OG0005250, OG0013209, OG0013830, OG0001264, OG0001691, OG0000773, OG0016586, OG0001257, OG0005994, OG0000763, OG0008135, OG0011404, OG0014458, OG0019514, OG0016812, OG0007435, OG0007407, OG0013023, OG0002118, OG0009931, OG0002216, OG0005382, OG0002699, OG0009245, OG0009174	Tfasc_v1.01425, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.02159, Tfasc_v1.03001, Tfasc_v1.03425, Tfasc_v1.04148, Tfasc_v1.04738, Tfasc_v1.05348, Tfasc_v1.06116, Tfasc_v1.06211, Tfasc_v1.06490, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07146, Tfasc_v1.08304, Tfasc_v1.09447, Tfasc_v1.09616, Tfasc_v1.10166, Tfasc_v1.10695, Tfasc_v1.11100, Tfasc_v1.11228, Tfasc_v1.12346, Tfasc_v1.12982, Tfasc_v1.13200, Tfasc_v1.14090, Tfasc_v1.14262, Tfasc_v1.14409, Tfasc_v1.14413, Tfasc_v1.15295, Tfasc_v1.17213, Tfasc_v1.17454, Tfasc_v1.19632, Tfasc_v1.20396, Tfasc_v1.22464, Tfasc_v1.22520, Tfasc_v1.23656, Tfasc_v1.24087, Tfasc_v1.25482, Tfasc_v1.26762, Tfasc_v1.27400, Tfasc_v1.27476, Tfasc_v1.28913, Tfasc_v1.29307, Tfasc_v1.29815
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	7.2e-06	OG0012668, OG0000760, OG0013548, OG0001637, OG0010983, OG0010800, OG0001691, OG0016586, OG0001257, OG0016812, OG0013023, OG0005382, OG0001885, OG0001051, OG0009245	Tfasc_v1.02018, Tfasc_v1.03367, Tfasc_v1.06116, Tfasc_v1.06683, Tfasc_v1.10831, Tfasc_v1.11228, Tfasc_v1.11870, Tfasc_v1.12982, Tfasc_v1.14090, Tfasc_v1.14262, Tfasc_v1.20396, Tfasc_v1.23656, Tfasc_v1.27400, Tfasc_v1.27720, Tfasc_v1.28599, Tfasc_v1.29307
BP	GO:0006891	intra-Golgi vesicle-mediated transport	7.4e-06	OG0012668, OG0000741, OG0001637, OG0001665, OG0001257, OG0003902, OG0013023, OG0001449	Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.08304, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.17491, Tfasc_v1.23656, Tfasc_v1.24123
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	2e-05	OG0000741, OG0000760, OG0001637, OG0010983, OG0001257, OG0004441, OG0001885	Tfasc_v1.02143, Tfasc_v1.03367, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.10831, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.15893, Tfasc_v1.27720
BP	GO:0015031	protein transport	0.001	OG0001949, OG0012668, OG0000741, OG0002488, OG0009829, OG0000760, OG0001167, OG0015790, OG0000999, OG0014916, OG0013548, OG0001902, OG0015567, OG0001637, OG0001565, OG0004546, OG0001665, OG0016858, OG0008265, OG0005250, OG0013209, OG0013830, OG0015152, OG0001264, OG0001691, OG0000773, OG0016586, OG0001257, OG0005994, OG0000763, OG0008135, OG0011404, OG0002029, OG0014458, OG0003902, OG0012930, OG0001722, OG0019514, OG0007759, OG0016812, OG0007435, OG0007407, OG0013023, OG0002118, OG0001449, OG0009931, OG0002216, OG0005382, OG0002699, OG0009245, OG0009174, OG0003695	Tfasc_v1.01425, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.02159, Tfasc_v1.03001, Tfasc_v1.03367, Tfasc_v1.03425, Tfasc_v1.04148, Tfasc_v1.04738, Tfasc_v1.05348, Tfasc_v1.06116, Tfasc_v1.06211, Tfasc_v1.06490, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07146, Tfasc_v1.08147, Tfasc_v1.08304, Tfasc_v1.09447, Tfasc_v1.09616, Tfasc_v1.10166, Tfasc_v1.10695, Tfasc_v1.11100, Tfasc_v1.11175, Tfasc_v1.11228, Tfasc_v1.12346, Tfasc_v1.12982, Tfasc_v1.13200, Tfasc_v1.14090, Tfasc_v1.14262, Tfasc_v1.14409, Tfasc_v1.14413, Tfasc_v1.15295, Tfasc_v1.17213, Tfasc_v1.17373, Tfasc_v1.17454, Tfasc_v1.17491, Tfasc_v1.18409, Tfasc_v1.19252, Tfasc_v1.19632, Tfasc_v1.20259, Tfasc_v1.20396, Tfasc_v1.22464, Tfasc_v1.22520, Tfasc_v1.23656, Tfasc_v1.24087, Tfasc_v1.24123, Tfasc_v1.25482, Tfasc_v1.26762, Tfasc_v1.27400, Tfasc_v1.27476, Tfasc_v1.28913, Tfasc_v1.29307, Tfasc_v1.29815, Tfasc_v1.29998, Tfasc_v1.30002
BP	GO:0007030	Golgi organization	0.0012	OG0006474, OG0013548, OG0001665, OG0003223, OG0003902, OG0016812	Tfasc_v1.01198, Tfasc_v1.06116, Tfasc_v1.08304, Tfasc_v1.08939, Tfasc_v1.17491, Tfasc_v1.20396
BP	GO:0071712	ER-associated misfolded protein catabolic process	0.0016	OG0001167, OG0002253, OG0010735	Tfasc_v1.03425, Tfasc_v1.07612, Tfasc_v1.12004, Tfasc_v1.28913
BP	GO:0006893	Golgi to plasma membrane transport	0.0021	OG0000995, OG0012930, OG0001449, OG0003695	Tfasc_v1.04582, Tfasc_v1.18409, Tfasc_v1.24123, Tfasc_v1.29998, Tfasc_v1.30002
BP	GO:0006898	receptor-mediated endocytosis	0.0039	OG0001902, OG0013830, OG0001264, OG0014617, OG0015710, OG0003130	Tfasc_v1.06211, Tfasc_v1.11100, Tfasc_v1.12346, Tfasc_v1.24810, Tfasc_v1.26891, Tfasc_v1.27985
BP	GO:0046512	sphingosine biosynthetic process	0.004	OG0017488, OG0001372, OG0011012	Tfasc_v1.06121, Tfasc_v1.09838, Tfasc_v1.10773
