Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006099	tricarboxylic acid cycle	7.8e-06	OG0004478, OG0010484, OG0001440, OG0019487, OG0008991, OG0010183, OG0014560, OG0002059	Tfasc_v1.04197, Tfasc_v1.07613, Tfasc_v1.11717, Tfasc_v1.15856, Tfasc_v1.16365, Tfasc_v1.17586, Tfasc_v1.18649, Tfasc_v1.24254
BP	GO:0042776	mitochondrial ATP synthesis coupled proton transport	1.5e-05	OG0016998, OG0001398, OG0008907, OG0000418	Tfasc_v1.16059, Tfasc_v1.21650, Tfasc_v1.24259, Tfasc_v1.24637
BP	GO:0001732	formation of cytoplasmic translation initiation complex	2.6e-05	OG0009037, OG0003364, OG0009204, OG0014799, OG0013439	Tfasc_v1.16483, Tfasc_v1.20298, Tfasc_v1.29428, Tfasc_v1.29501, Tfasc_v1.30579
BP	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	3.5e-05	OG0002741, OG0001053, OG0001013, OG0001398	Tfasc_v1.11705, Tfasc_v1.19219, Tfasc_v1.19270, Tfasc_v1.21106, Tfasc_v1.21650
BP	GO:0006414	translational elongation	9.7e-05	OG0000290, OG0008639, OG0000609, OG0007200, OG0014031, OG0011470, OG0002111, OG0017034, OG0016087	Tfasc_v1.00193, Tfasc_v1.04390, Tfasc_v1.04667, Tfasc_v1.08985, Tfasc_v1.17298, Tfasc_v1.18676, Tfasc_v1.23144, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.26550, Tfasc_v1.27463
BP	GO:0034551	mitochondrial respiratory chain complex III assembly	2e-04	OG0002741, OG0001053	Tfasc_v1.11705, Tfasc_v1.19219, Tfasc_v1.21106
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.00056	OG0011088, OG0012682, OG0005749, OG0001104	Tfasc_v1.08038, Tfasc_v1.12609, Tfasc_v1.14100, Tfasc_v1.29202
BP	GO:0009846	pollen germination	0.00086	OG0004459, OG0011325, OG0014799	Tfasc_v1.14387, Tfasc_v1.18248, Tfasc_v1.21366, Tfasc_v1.29501
BP	GO:0006231	dTMP biosynthetic process	0.00144	OG0005428	Tfasc_v1.17099, Tfasc_v1.17105
BP	GO:0009056	catabolic process	0.0019	OG0002379, OG0012660, OG0002423, OG0003533, OG0008694, OG0014110, OG0006227, OG0012285, OG0014903, OG0002522, OG0005347, OG0011088, OG0005111, OG0003718, OG0004337, OG0012682, OG0010335, OG0005749, OG0004459, OG0003422, OG0011732, OG0011342, OG0014577, OG0011229, OG0002661, OG0001553, OG0018772, OG0008954, OG0006998, OG0016710, OG0016307, OG0010599, OG0001104, OG0004809	Tfasc_v1.00151, Tfasc_v1.01974, Tfasc_v1.03974, Tfasc_v1.04356, Tfasc_v1.04760, Tfasc_v1.05253, Tfasc_v1.06150, Tfasc_v1.06629, Tfasc_v1.07479, Tfasc_v1.07498, Tfasc_v1.07499, Tfasc_v1.07876, Tfasc_v1.08038, Tfasc_v1.10092, Tfasc_v1.11458, Tfasc_v1.12357, Tfasc_v1.12609, Tfasc_v1.13253, Tfasc_v1.14100, Tfasc_v1.14387, Tfasc_v1.15189, Tfasc_v1.15977, Tfasc_v1.16020, Tfasc_v1.16885, Tfasc_v1.16929, Tfasc_v1.18282, Tfasc_v1.18697, Tfasc_v1.19550, Tfasc_v1.20946, Tfasc_v1.21366, Tfasc_v1.21461, Tfasc_v1.23919, Tfasc_v1.24346, Tfasc_v1.27226, Tfasc_v1.27529, Tfasc_v1.28129, Tfasc_v1.28526, Tfasc_v1.29202, Tfasc_v1.30653
BP	GO:0006412	translation	0.00238	OG0002379, OG0000290, OG0013750, OG0008639, OG0000609, OG0000553, OG0007200, OG0010995, OG0010971, OG0010929, OG0001575, OG0009037, OG0014031, OG0014190, OG0019527, OG0003364, OG0003378, OG0012033, OG0011470, OG0004376, OG0002111, OG0009465, OG0017034, OG0003877, OG0016087, OG0003671, OG0009204, OG0014799, OG0009451, OG0013439	Tfasc_v1.00151, Tfasc_v1.00193, Tfasc_v1.01775, Tfasc_v1.04390, Tfasc_v1.04667, Tfasc_v1.04893, Tfasc_v1.08985, Tfasc_v1.10793, Tfasc_v1.10835, Tfasc_v1.10917, Tfasc_v1.10960, Tfasc_v1.16483, Tfasc_v1.17298, Tfasc_v1.17733, Tfasc_v1.18676, Tfasc_v1.19788, Tfasc_v1.20298, Tfasc_v1.20411, Tfasc_v1.21596, Tfasc_v1.23144, Tfasc_v1.23296, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.25375, Tfasc_v1.26550, Tfasc_v1.26695, Tfasc_v1.27463, Tfasc_v1.29373, Tfasc_v1.29428, Tfasc_v1.29501, Tfasc_v1.30322, Tfasc_v1.30579
