Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009658	chloroplast organization	5e-10	OG0006447, OG0014014, OG0008661, OG0008634, OG0006386, OG0015558, OG0007052, OG0001993, OG0008279, OG0010893, OG0004066, OG0013697, OG0002762, OG0005261, OG0009712, OG0016405, OG0013730, OG0007708, OG0012265, OG0005326, OG0010121, OG0001980, OG0009246, OG0004048, OG0009296	Tfasc_v1.01129, Tfasc_v1.03095, Tfasc_v1.04337, Tfasc_v1.04400, Tfasc_v1.05663, Tfasc_v1.06521, Tfasc_v1.08667, Tfasc_v1.08677, Tfasc_v1.08688, Tfasc_v1.09606, Tfasc_v1.10984, Tfasc_v1.12076, Tfasc_v1.12978, Tfasc_v1.13179, Tfasc_v1.13320, Tfasc_v1.16185, Tfasc_v1.17388, Tfasc_v1.18494, Tfasc_v1.20138, Tfasc_v1.21233, Tfasc_v1.22845, Tfasc_v1.25677, Tfasc_v1.26838, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.29308, Tfasc_v1.29525, Tfasc_v1.29947
BP	GO:0009773	photosynthetic electron transport in photosystem I	1.9e-09	OG0015299, OG0007149, OG0013823, OG0005178, OG0007895, OG0004435, OG0009491	Tfasc_v1.00028, Tfasc_v1.08897, Tfasc_v1.11070, Tfasc_v1.11239, Tfasc_v1.11247, Tfasc_v1.20522, Tfasc_v1.24779, Tfasc_v1.25253
BP	GO:0010027	thylakoid membrane organization	8.1e-07	OG0006539, OG0008661, OG0013697, OG0005848, OG0015475, OG0013730, OG0010121, OG0001980, OG0006733	Tfasc_v1.01341, Tfasc_v1.04337, Tfasc_v1.12978, Tfasc_v1.14149, Tfasc_v1.15411, Tfasc_v1.18494, Tfasc_v1.26838, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.27978
BP	GO:0009853	photorespiration	1.2e-06	OG0006587, OG0009870, OG0001439, OG0015558, OG0004090, OG0016405, OG0005087	Tfasc_v1.01418, Tfasc_v1.03489, Tfasc_v1.04530, Tfasc_v1.06521, Tfasc_v1.16851, Tfasc_v1.16852, Tfasc_v1.17388, Tfasc_v1.24492, Tfasc_v1.24495
BP	GO:0000413	protein peptidyl-prolyl isomerization	1.2e-05	OG0013256, OG0017922, OG0006273, OG0007119, OG0007270, OG0004126, OG0008136, OG0004632, OG0004769, OG0009546, OG0014267, OG0003732	Tfasc_v1.02064, Tfasc_v1.03356, Tfasc_v1.05981, Tfasc_v1.08840, Tfasc_v1.09146, Tfasc_v1.10761, Tfasc_v1.15296, Tfasc_v1.22004, Tfasc_v1.23524, Tfasc_v1.25122, Tfasc_v1.25716, Tfasc_v1.26702
BP	GO:0015979	photosynthesis	6.7e-05	OG0015299, OG0011628, OG0016010, OG0006447, OG0003076, OG0008661, OG0008634, OG0006188, OG0003201, OG0007149, OG0008279, OG0010890, OG0013823, OG0005178, OG0010812, OG0019407, OG0015923, OG0013059, OG0002936, OG0009014, OG0004090, OG0015846, OG0014558, OG0016807, OG0007895, OG0015504, OG0000456, OG0011250, OG0004435, OG0009491, OG0015443, OG0002354, OG0009246, OG0003664, OG0009149, OG0009367	Tfasc_v1.00028, Tfasc_v1.00140, Tfasc_v1.00898, Tfasc_v1.01129, Tfasc_v1.01250, Tfasc_v1.04337, Tfasc_v1.04400, Tfasc_v1.06259, Tfasc_v1.08676, Tfasc_v1.08687, Tfasc_v1.08897, Tfasc_v1.09606, Tfasc_v1.10980, Tfasc_v1.11070, Tfasc_v1.11239, Tfasc_v1.11247, Tfasc_v1.11845, Tfasc_v1.12850, Tfasc_v1.12851, Tfasc_v1.13116, Tfasc_v1.14184, Tfasc_v1.16415, Tfasc_v1.16851, Tfasc_v1.16852, Tfasc_v1.18524, Tfasc_v1.18642, Tfasc_v1.20276, Tfasc_v1.20522, Tfasc_v1.22915, Tfasc_v1.23338, Tfasc_v1.24487, Tfasc_v1.24779, Tfasc_v1.25253, Tfasc_v1.25888, Tfasc_v1.26057, Tfasc_v1.29308, Tfasc_v1.29439, Tfasc_v1.29760, Tfasc_v1.30088
BP	GO:0030388	fructose 1,6-bisphosphate metabolic process	0.00013	OG0015299, OG0013937, OG0011732, OG0014341, OG0000766	Tfasc_v1.00028, Tfasc_v1.12157, Tfasc_v1.16929, Tfasc_v1.18182, Tfasc_v1.27004
BP	GO:1901259	chloroplast rRNA processing	0.00013	OG0007052, OG0010803, OG0014194, OG0007822, OG0005326	Tfasc_v1.08667, Tfasc_v1.11868, Tfasc_v1.17753, Tfasc_v1.20391, Tfasc_v1.25677
BP	GO:0015995	chlorophyll biosynthetic process	0.00037	OG0019407, OG0015923, OG0002936, OG0001600, OG0002220, OG0019024, OG0019027, OG0006847	Tfasc_v1.12850, Tfasc_v1.12851, Tfasc_v1.14184, Tfasc_v1.26178, Tfasc_v1.26827, Tfasc_v1.27397, Tfasc_v1.27443, Tfasc_v1.27780
BP	GO:0006518	peptide metabolic process	0.00049	OG0002622, OG0013334, OG0009870, OG0012461, OG0006295, OG0006126, OG0015491, OG0011116, OG0003227, OG0007227, OG0012894, OG0001575, OG0010812, OG0010806, OG0014509, OG0014518, OG0013697, OG0005848, OG0006004, OG0012186, OG0009676, OG0001604, OG0002644, OG0007717, OG0012004, OG0008824, OG0014088, OG0009609, OG0013706, OG0013705, OG0009995, OG0004834, OG0005328, OG0004011, OG0010286, OG0014410, OG0003636, OG0009162, OG0014682	Tfasc_v1.01152, Tfasc_v1.02411, Tfasc_v1.03489, Tfasc_v1.05062, Tfasc_v1.05934, Tfasc_v1.06405, Tfasc_v1.07884, Tfasc_v1.07985, Tfasc_v1.08952, Tfasc_v1.09059, Tfasc_v1.09249, Tfasc_v1.10960, Tfasc_v1.11845, Tfasc_v1.11850, Tfasc_v1.12874, Tfasc_v1.12925, Tfasc_v1.12978, Tfasc_v1.14149, Tfasc_v1.14431, Tfasc_v1.15873, Tfasc_v1.16126, Tfasc_v1.16908, Tfasc_v1.18211, Tfasc_v1.20162, Tfasc_v1.21634, Tfasc_v1.24106, Tfasc_v1.24857, Tfasc_v1.24991, Tfasc_v1.26260, Tfasc_v1.26269, Tfasc_v1.26595, Tfasc_v1.28152, Tfasc_v1.28155, Tfasc_v1.28265, Tfasc_v1.28756, Tfasc_v1.28759, Tfasc_v1.28963, Tfasc_v1.29239, Tfasc_v1.29633, Tfasc_v1.29792, Tfasc_v1.30276
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	0.00052	OG0008763, OG0015726, OG0014141	Tfasc_v1.23984, Tfasc_v1.26919, Tfasc_v1.28181
BP	GO:0006094	gluconeogenesis	0.00172	OG0015299, OG0001933, OG0013937, OG0014341, OG0012265	Tfasc_v1.00028, Tfasc_v1.01133, Tfasc_v1.12157, Tfasc_v1.18182, Tfasc_v1.21233
BP	GO:0042793	plastid transcription	0.00245	OG0014014, OG0015633, OG0010121, OG0004048	Tfasc_v1.03095, Tfasc_v1.26097, Tfasc_v1.26838, Tfasc_v1.29525
BP	GO:0010028	xanthophyll cycle	0.00263	OG0012057, OG0013427	Tfasc_v1.21543, Tfasc_v1.30597
BP	GO:0080093	regulation of photorespiration	0.00263	OG0001439, OG0016405	Tfasc_v1.04530, Tfasc_v1.17388
BP	GO:0080001	mucilage extrusion from seed coat	0.00263	OG0007267, OG0011950	Tfasc_v1.09150, Tfasc_v1.23184
BP	GO:0009737	response to abscisic acid	0.00372	OG0004033, OG0006538, OG0008625, OG0015558, OG0012386, OG0015211, OG0015596, OG0008126, OG0004981, OG0007675, OG0007490, OG0008745, OG0018137, OG0000772	Tfasc_v1.00011, Tfasc_v1.01344, Tfasc_v1.04427, Tfasc_v1.06521, Tfasc_v1.06808, Tfasc_v1.08354, Tfasc_v1.08710, Tfasc_v1.15279, Tfasc_v1.18816, Tfasc_v1.20067, Tfasc_v1.22341, Tfasc_v1.23945, Tfasc_v1.24625, Tfasc_v1.26930
BP	GO:0005986	sucrose biosynthetic process	0.00404	OG0015299, OG0013937, OG0014341	Tfasc_v1.00028, Tfasc_v1.12157, Tfasc_v1.18182
BP	GO:0010581	regulation of starch biosynthetic process	0.00404	OG0005694, OG0019024, OG0019027	Tfasc_v1.13760, Tfasc_v1.27397, Tfasc_v1.27443
BP	GO:0034599	cellular response to oxidative stress	0.00425	OG0016311, OG0013632, OG0014293, OG0002499, OG0017210, OG0019024, OG0019027, OG0005381, OG0006911, OG0002262, OG0012060, OG0009278	Tfasc_v1.02304, Tfasc_v1.03207, Tfasc_v1.17041, Tfasc_v1.18431, Tfasc_v1.23131, Tfasc_v1.27397, Tfasc_v1.27443, Tfasc_v1.27444, Tfasc_v1.27638, Tfasc_v1.28556, Tfasc_v1.28873, Tfasc_v1.29917
BP	GO:0048564	photosystem I assembly	0.00622	OG0006447, OG0008661, OG0013059	Tfasc_v1.01129, Tfasc_v1.04337, Tfasc_v1.13116
BP	GO:0090351	seedling development	0.00622	OG0006587, OG0003822, OG0007267, OG0011950, OG0008745, OG0000772	Tfasc_v1.01418, Tfasc_v1.03043, Tfasc_v1.09150, Tfasc_v1.23184, Tfasc_v1.23945, Tfasc_v1.26930
BP	GO:0010343	singlet oxygen-mediated programmed cell death	0.00763	OG0013632, OG0014293	Tfasc_v1.03207, Tfasc_v1.17041
BP	GO:0006223	uracil salvage	0.00763	OG0000826	Tfasc_v1.29548, Tfasc_v1.29555
BP	GO:0070208	protein heterotrimerization	0.00763	OG0012615, OG0006733	Tfasc_v1.01903, Tfasc_v1.27978
BP	GO:0009098	leucine biosynthetic process	0.00763	OG0013909, OG0015708	Tfasc_v1.12866, Tfasc_v1.26888
BP	GO:0071492	cellular response to UV-A	0.00763	OG0003016, OG0005734	Tfasc_v1.05902, Tfasc_v1.13909
BP	GO:0071486	cellular response to high light intensity	0.00763	OG0003016, OG0005734	Tfasc_v1.05902, Tfasc_v1.13909
BP	GO:0045038	protein import into chloroplast thylakoid membrane	0.00763	OG0012615, OG0006733	Tfasc_v1.01903, Tfasc_v1.27978
BP	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	0.00763	OG0006295, OG0012004	Tfasc_v1.05934, Tfasc_v1.21634
