Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006809	nitric oxide biosynthetic process	1.5e-05	OG0000928	Tfasc_v1.08593, Tfasc_v1.08595, Tfasc_v1.08596
BP	GO:0042128	nitrate assimilation	7.3e-05	OG0000928	Tfasc_v1.08593, Tfasc_v1.08595, Tfasc_v1.08596
BP	GO:0010207	photosystem II assembly	0.00041	OG0008660, OG0011006, OG0008878, OG0013747	Tfasc_v1.04336, Tfasc_v1.10777, Tfasc_v1.24218, Tfasc_v1.29236
BP	GO:0009090	homoserine biosynthetic process	0.00144	OG0014045, OG0015434	Tfasc_v1.17322, Tfasc_v1.25936
BP	GO:0009089	lysine biosynthetic process via diaminopimelate	0.00305	OG0004056, OG0014045, OG0015434	Tfasc_v1.07044, Tfasc_v1.17322, Tfasc_v1.25936
BP	GO:0009658	chloroplast organization	0.0033	OG0006586, OG0014620, OG0008660, OG0001984, OG0002762, OG0013736, OG0008878, OG0009232	Tfasc_v1.01416, Tfasc_v1.04249, Tfasc_v1.04336, Tfasc_v1.06738, Tfasc_v1.13521, Tfasc_v1.22859, Tfasc_v1.24218, Tfasc_v1.29367
BP	GO:0045037	protein import into chloroplast stroma	0.00409	OG0011006, OG0002669	Tfasc_v1.10777, Tfasc_v1.15731, Tfasc_v1.15735
BP	GO:0016120	carotene biosynthetic process	0.00487	OG0002429	Tfasc_v1.14385, Tfasc_v1.21368
BP	GO:0015979	photosynthesis	0.00594	OG0005430, OG0006638, OG0008660, OG0004056, OG0011006, OG0013736, OG0008878, OG0010503, OG0013747, OG0009232, OG0009161	Tfasc_v1.00899, Tfasc_v1.00900, Tfasc_v1.01523, Tfasc_v1.04336, Tfasc_v1.07044, Tfasc_v1.10777, Tfasc_v1.22859, Tfasc_v1.24218, Tfasc_v1.28680, Tfasc_v1.29236, Tfasc_v1.29367, Tfasc_v1.29802
BP	GO:0009294	DNA mediated transformation	0.00643	OG0019162, OG0019163	Tfasc_v1.19163, Tfasc_v1.19164
BP	GO:0009228	thiamine biosynthetic process	0.00643	OG0013576, OG0005943	Tfasc_v1.03604, Tfasc_v1.14297
BP	GO:0048564	photosystem I assembly	0.00643	OG0008660, OG0013736	Tfasc_v1.04336, Tfasc_v1.22859
BP	GO:0032958	inositol phosphate biosynthetic process	0.00818	OG0002565	Tfasc_v1.04834, Tfasc_v1.04836
BP	GO:0009088	threonine biosynthetic process	0.01012	OG0014045, OG0015434	Tfasc_v1.17322, Tfasc_v1.25936
BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	0.01012	OG0019162, OG0019163	Tfasc_v1.19163, Tfasc_v1.19164
BP	GO:0010206	photosystem II repair	0.01012	OG0010503, OG0009232	Tfasc_v1.28680, Tfasc_v1.29367
BP	GO:0030163	protein catabolic process	0.01406	OG0009817, OG0015538, OG0007417, OG0007338, OG0001976, OG0010605, OG0010503, OG0002153, OG0009232	Tfasc_v1.03058, Tfasc_v1.06542, Tfasc_v1.22499, Tfasc_v1.22641, Tfasc_v1.27649, Tfasc_v1.28557, Tfasc_v1.28680, Tfasc_v1.29139, Tfasc_v1.29367
BP	GO:0042026	protein refolding	0.01463	OG0002296, OG0002669	Tfasc_v1.10981, Tfasc_v1.15731, Tfasc_v1.15735
BP	GO:0070544	histone H3-K36 demethylation	0.01566	OG0015839	Tfasc_v1.18548
BP	GO:1900111	positive regulation of histone H3-K9 dimethylation	0.01566	OG0013487	Tfasc_v1.11646
BP	GO:1903426	regulation of reactive oxygen species biosynthetic process	0.01566	OG0011006	Tfasc_v1.10777
BP	GO:0048255	mRNA stabilization	0.01566	OG0015481	Tfasc_v1.07867
BP	GO:0042948	salicin transport	0.01566	OG0003372	Tfasc_v1.20354
BP	GO:0052837	thiazole biosynthetic process	0.01566	OG0013576	Tfasc_v1.03604
BP	GO:0010438	cellular response to sulfur starvation	0.01566	OG0014620	Tfasc_v1.04249
BP	GO:0010439	regulation of glucosinolate biosynthetic process	0.01566	OG0014620	Tfasc_v1.04249
BP	GO:0061866	negative regulation of histone H3-S10 phosphorylation	0.01566	OG0013487	Tfasc_v1.11646
BP	GO:1902458	positive regulation of stomatal opening	0.01566	OG0011006	Tfasc_v1.10777
BP	GO:0098721	uracil import across plasma membrane	0.01566	OG0008519	Tfasc_v1.04611
BP	GO:0098710	guanine import across plasma membrane	0.01566	OG0008519	Tfasc_v1.04611
BP	GO:0070328	triglyceride homeostasis	0.01566	OG0013533	Tfasc_v1.20949
BP	GO:0055091	phospholipid homeostasis	0.01566	OG0013533	Tfasc_v1.20949
BP	GO:0098702	adenine import across plasma membrane	0.01566	OG0008519	Tfasc_v1.04611
BP	GO:0035344	hypoxanthine transport	0.01566	OG0008519	Tfasc_v1.04611
BP	GO:0055089	fatty acid homeostasis	0.01566	OG0013533	Tfasc_v1.20949
BP	GO:1990264	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity	0.01566	OG0007331	Tfasc_v1.22659
BP	GO:1903343	positive regulation of meiotic DNA double-strand break formation	0.01566	OG0013487	Tfasc_v1.11646
BP	GO:1902184	negative regulation of shoot apical meristem development	0.01566	OG0003886	Tfasc_v1.26716
BP	GO:0006148	inosine catabolic process	0.01566	OG0007430	Tfasc_v1.22469
BP	GO:0089709	L-histidine transmembrane transport	0.01566	OG0007954	Tfasc_v1.14941
BP	GO:0005983	starch catabolic process	0.017	OG0001290, OG0017324	Tfasc_v1.05762, Tfasc_v1.06749
BP	GO:0006020	inositol metabolic process	0.017	OG0002565	Tfasc_v1.04834, Tfasc_v1.04836
BP	GO:0016554	cytidine to uridine editing	0.017	OG0007182, OG0009635	Tfasc_v1.08959, Tfasc_v1.24960
BP	GO:0010027	thylakoid membrane organization	0.01716	OG0008660, OG0011006, OG0010503	Tfasc_v1.04336, Tfasc_v1.10777, Tfasc_v1.28680
BP	GO:0006096	glycolytic process	0.01742	OG0002423, OG0008568, OG0003422, OG0001553	Tfasc_v1.03974, Tfasc_v1.04529, Tfasc_v1.15189, Tfasc_v1.16020, Tfasc_v1.21461
BP	GO:0010252	auxin homeostasis	0.01963	OG0008228, OG0015047	Tfasc_v1.09693, Tfasc_v1.17961
BP	GO:0006654	phosphatidic acid biosynthetic process	0.02242	OG0013618, OG0013533	Tfasc_v1.03149, Tfasc_v1.20949
BP	GO:0009733	response to auxin	0.02307	OG0008585, OG0008228, OG0004002, OG0001679	Tfasc_v1.04492, Tfasc_v1.09693, Tfasc_v1.28669, Tfasc_v1.30666, Tfasc_v1.30677
BP	GO:0006508	proteolysis	0.02339	OG0011704, OG0013357, OG0009817, OG0008660, OG0008482, OG0015538, OG0005943, OG0002669, OG0012779, OG0007422, OG0007417, OG0007338, OG0001976, OG0010605, OG0010503, OG0002153, OG0009232	Tfasc_v1.00359, Tfasc_v1.02512, Tfasc_v1.03058, Tfasc_v1.04336, Tfasc_v1.04668, Tfasc_v1.06542, Tfasc_v1.14297, Tfasc_v1.15731, Tfasc_v1.15735, Tfasc_v1.21967, Tfasc_v1.22480, Tfasc_v1.22499, Tfasc_v1.22641, Tfasc_v1.27649, Tfasc_v1.28557, Tfasc_v1.28680, Tfasc_v1.29139, Tfasc_v1.29367
BP	GO:0000373	Group II intron splicing	0.02846	OG0007182, OG0007854	Tfasc_v1.08959, Tfasc_v1.20440
BP	GO:0009793	embryo development ending in seed dormancy	0.02902	OG0013618, OG0007182, OG0007930, OG0007354, OG0004018, OG0009234	Tfasc_v1.03149, Tfasc_v1.08959, Tfasc_v1.14913, Tfasc_v1.22619, Tfasc_v1.28773, Tfasc_v1.29366
BP	GO:0006399	tRNA metabolic process	0.03088	OG0010965, OG0002762, OG0009030, OG0005308, OG0013703, OG0010615	Tfasc_v1.10856, Tfasc_v1.13521, Tfasc_v1.16457, Tfasc_v1.19787, Tfasc_v1.26277, Tfasc_v1.28622
BP	GO:0015768	maltose transport	0.03108	OG0003372	Tfasc_v1.20354
BP	GO:0015742	alpha-ketoglutarate transport	0.03108	OG0001877	Tfasc_v1.14206
BP	GO:0044211	CTP salvage	0.03108	OG0003422	Tfasc_v1.15189
BP	GO:0006844	acyl carnitine transport	0.03108	OG0007954	Tfasc_v1.14941
BP	GO:2000616	negative regulation of histone H3-K9 acetylation	0.03108	OG0013487	Tfasc_v1.11646
BP	GO:0044206	UMP salvage	0.03108	OG0003422	Tfasc_v1.15189
BP	GO:0071040	nuclear polyadenylation-dependent antisense transcript catabolic process	0.03108	OG0010965	Tfasc_v1.10856
BP	GO:0071048	nuclear retention of unspliced pre-mRNA at the site of transcription	0.03108	OG0010965	Tfasc_v1.10856
BP	GO:0071036	nuclear polyadenylation-dependent snoRNA catabolic process	0.03108	OG0010965	Tfasc_v1.10856
BP	GO:0071037	nuclear polyadenylation-dependent snRNA catabolic process	0.03108	OG0010965	Tfasc_v1.10856
BP	GO:0071039	nuclear polyadenylation-dependent CUT catabolic process	0.03108	OG0010965	Tfasc_v1.10856
BP	GO:0006428	isoleucyl-tRNA aminoacylation	0.03108	OG0013703	Tfasc_v1.26277
BP	GO:0009590	detection of gravity	0.03108	OG0003860	Tfasc_v1.07880
BP	GO:0010266	response to vitamin B1	0.03108	OG0005943	Tfasc_v1.14297
BP	GO:0043157	response to cation stress	0.03108	OG0008660	Tfasc_v1.04336
BP	GO:0045727	positive regulation of translation	0.03478	OG0000609, OG0003276, OG0008783	Tfasc_v1.04667, Tfasc_v1.22559, Tfasc_v1.24028
BP	GO:0016117	carotenoid biosynthetic process	0.03856	OG0002429	Tfasc_v1.14385, Tfasc_v1.21368
BP	GO:0036297	interstrand cross-link repair	0.03856	OG0019162, OG0019163	Tfasc_v1.19163, Tfasc_v1.19164
BP	GO:0010114	response to red light	0.04219	OG0002762, OG0008878	Tfasc_v1.13521, Tfasc_v1.24218
BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.04337	OG0012606, OG0001904, OG0011501	Tfasc_v1.01883, Tfasc_v1.06186, Tfasc_v1.23089
BP	GO:0019684	photosynthesis, light reaction	0.045	OG0008660, OG0004056, OG0011006, OG0013736, OG0008878, OG0010503, OG0013747, OG0009232	Tfasc_v1.04336, Tfasc_v1.07044, Tfasc_v1.10777, Tfasc_v1.22859, Tfasc_v1.24218, Tfasc_v1.28680, Tfasc_v1.29236, Tfasc_v1.29367
BP	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	0.04559	OG0000949, OG0012895, OG0018736	Tfasc_v1.00185, Tfasc_v1.09256, Tfasc_v1.23208
BP	GO:0043489	RNA stabilization	0.04605	OG0015481, OG0008783	Tfasc_v1.07867, Tfasc_v1.24028
BP	GO:0005980	glycogen catabolic process	0.04626	OG0001290	Tfasc_v1.05762
BP	GO:0050777	negative regulation of immune response	0.04626	OG0012799	Tfasc_v1.21919
BP	GO:0046622	positive regulation of organ growth	0.04626	OG0016959	Tfasc_v1.30208
BP	GO:0031426	polycistronic mRNA processing	0.04626	OG0014823	Tfasc_v1.29540
BP	GO:0006452	translational frameshifting	0.04626	OG0000609	Tfasc_v1.04667
BP	GO:0071044	histone mRNA catabolic process	0.04626	OG0010965	Tfasc_v1.10856
BP	GO:0010182	sugar mediated signaling pathway	0.04626	OG0011006	Tfasc_v1.10777
BP	GO:0006433	prolyl-tRNA aminoacylation	0.04626	OG0010615	Tfasc_v1.28622
BP	GO:0045038	protein import into chloroplast thylakoid membrane	0.04626	OG0011006	Tfasc_v1.10777
BP	GO:1903826	arginine transmembrane transport	0.04626	OG0007954	Tfasc_v1.14941
BP	GO:0010270	photosystem II oxygen evolving complex assembly	0.04626	OG0013747	Tfasc_v1.29236
BP	GO:0070478	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay	0.04626	OG0007182	Tfasc_v1.08959
