ID	adj_pval
GO:0006890	1.2e-06
GO:0006891	1.4e-05
GO:0032482	1.8e-05
GO:0006888	4e-05
GO:0006886	8.6e-05
GO:0006414	5e-04
GO:0031204	0.00065
GO:0006621	0.00065
GO:0005982	0.00066
GO:0009423	0.00093
GO:0009090	0.00102
GO:0001732	0.00112
GO:0016567	0.00141
GO:0007030	0.00169
GO:0072657	0.00179
GO:0006417	0.00198
GO:0030433	0.0026
GO:0006511	0.00394
GO:0009808	0.0044
GO:0006470	0.00542
GO:0009073	0.00542
GO:0005980	0.00571
GO:0002188	0.00571
GO:0048211	0.00571
GO:0035352	0.00571
GO:0006452	0.00571
GO:0006433	0.00571
GO:0006616	0.00631
GO:0009704	0.00631
GO:0006782	0.00631
GO:0006614	0.00655
GO:0043328	0.01126
GO:0006099	0.01413
GO:0000381	0.01486
GO:0016192	0.0154
GO:0015031	0.01687
GO:0018344	0.01977
GO:0016540	0.01978
GO:1902047	0.01978
GO:0000289	0.01978
GO:0031930	0.01978
GO:0045046	0.01978
GO:0043001	0.01978
GO:0045901	0.01978
GO:0045905	0.01978
GO:0019464	0.01978
GO:0010207	0.02069
GO:0120009	0.0207
GO:0043161	0.02318
GO:0010150	0.02412
GO:0006970	0.02653
GO:0006974	0.02714
GO:0035335	0.03089
GO:0042147	0.03121
GO:0033674	0.0319
GO:0031324	0.0319
GO:0035065	0.03191
GO:0006895	0.03196
GO:0006567	0.03196
GO:0006557	0.03196
GO:0000349	0.03196
GO:0106167	0.03196
GO:0010133	0.03196
GO:0043111	0.03196
GO:0000423	0.03196
GO:0016926	0.03196
GO:0006024	0.03196
GO:0034088	0.03196
GO:0042351	0.03196
GO:0016124	0.03196
GO:0006435	0.03196
GO:0006106	0.03196
GO:0008612	0.03196
GO:0048358	0.03196
GO:0046467	0.032
GO:0031667	0.032
GO:0035999	0.03246
GO:0048280	0.03246
GO:0006000	0.03246
GO:0046835	0.03684
GO:0050684	0.03857
GO:0043067	0.0387
GO:0001731	0.03882
GO:0009294	0.03882
GO:0008380	0.03882
GO:0006694	0.0389
GO:0006338	0.03966
GO:0007029	0.04282
GO:0046488	0.04285
GO:0010051	0.04286
GO:0046655	0.04288
GO:0019264	0.0429
GO:0006565	0.0429
GO:0010258	0.0429
GO:1904482	0.0429
GO:0009958	0.0429
GO:0006623	0.04725
GO:0042793	0.04763
GO:0009052	0.04763
GO:0016311	0.04983
GO:0003729	6.2e-07
GO:0003924	2.2e-06
GO:0003746	3.2e-06
GO:0005198	2.5e-05
GO:0005525	3.5e-05
GO:0005515	8e-05
GO:0061630	9.5e-05
GO:0043022	2e-04
GO:0043130	0.00022
GO:0061631	0.00039
GO:0051740	0.00069
GO:0038199	0.00069
GO:0003700	0.0011
GO:0004724	0.0012
GO:0003743	0.00149
GO:0004722	0.00228
GO:0051787	0.00291
GO:0008266	0.00302
GO:0016710	0.00302
GO:0004325	0.00427
GO:0004072	0.00428
GO:0016207	0.00428
GO:0004827	0.00428
GO:0051752	0.00428
GO:0051724	0.00428
GO:0030170	0.00472
GO:0003756	0.00668
GO:0046923	0.00789
GO:0004097	0.00789
GO:0030976	0.00796
GO:0046872	0.01037
GO:0051539	0.012
GO:0034511	0.01502
GO:0000254	0.01502
GO:0004742	0.01502
GO:0015203	0.01502
GO:1902387	0.01604
GO:1902388	0.01604
GO:0047769	0.01604
GO:0010333	0.0174
GO:0005347	0.01917
GO:0004725	0.02374
GO:0019888	0.02445
GO:0008144	0.02634
GO:0004329	0.02635
GO:0004333	0.02635
GO:0003849	0.02635
GO:0003834	0.02635
GO:0001227	0.02635
GO:0008184	0.02635
GO:0102567	0.02635
GO:0102568	0.02635
GO:0008115	0.02635
GO:0004663	0.02635
GO:0004412	0.02635
GO:0019150	0.02635
GO:0004109	0.02635
GO:0033818	0.02635
GO:0004021	0.02635
GO:0070181	0.02635
GO:0043139	0.02635
GO:0004775	0.02635
GO:0004776	0.02635
GO:0015288	0.02635
GO:0052923	0.02635
GO:0005080	0.02635
GO:0032422	0.02635
GO:0004591	0.02635
GO:0019200	0.02792
GO:0004664	0.028
GO:0003724	0.02871
GO:0016874	0.03055
GO:0003993	0.03211
GO:0004372	0.03303
GO:0004310	0.03303
GO:0003841	0.03303
GO:0070905	0.03303
GO:0017050	0.03303
GO:0052634	0.03303
GO:0047631	0.03303
GO:0034647	0.03303
GO:0047259	0.03303
GO:1990381	0.03303
GO:0003958	0.03303
GO:0003730	0.03303
GO:0051996	0.03303
GO:0050897	0.0422
GO:0004124	0.04404
GO:0004751	0.04404
GO:0008519	0.04404
GO:0005509	0.04766
GO:0005829	1.1e-08
GO:0009507	3.8e-07
GO:0005737	2.1e-05
GO:0000139	8.2e-05
GO:0030126	0.00047
GO:0009570	0.00211
GO:0016282	0.00447
GO:1990904	0.0047
GO:0005968	0.00635
GO:0005784	0.00635
GO:0017119	0.00677
GO:0033290	0.00752
GO:0008250	0.0079
GO:0030173	0.01119
GO:0005779	0.01335
GO:0005852	0.01408
GO:0000974	0.01411
GO:0009535	0.01592
GO:0005739	0.01663
GO:0005741	0.01775
GO:0005794	0.01974
GO:0071011	0.02081
GO:0017101	0.02188
GO:0005795	0.02551
GO:0005768	0.0292
GO:0045239	0.03421
GO:0097255	0.03431
GO:0005951	0.03431
GO:0019774	0.03431
GO:0000306	0.03431
GO:0035327	0.03431
GO:0046930	0.03431
GO:0005853	0.03431
GO:0012507	0.03719
GO:0031977	0.0438
GO:0005746	0.04712
GO:0034663	0.04719
GO:0043625	0.04719
GO:0000812	0.04719
