Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	1.2e-06	OG0001045, OG0006481, OG0000741, OG0000760, OG0001637, OG0019116, OG0015493, OG0016732, OG0007129, OG0001257, OG0001885, OG0004441, OG0010022, OG0010119, OG0002265	Tfasc_v1.00127, Tfasc_v1.01218, Tfasc_v1.02143, Tfasc_v1.03367, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.07896, Tfasc_v1.08824, Tfasc_v1.08867, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.14416, Tfasc_v1.15893, Tfasc_v1.16114, Tfasc_v1.20296, Tfasc_v1.21421, Tfasc_v1.26653, Tfasc_v1.26845, Tfasc_v1.27720, Tfasc_v1.28604
BP	GO:0006891	intra-Golgi vesicle-mediated transport	1.4e-05	OG0001045, OG0012668, OG0000741, OG0018453, OG0001637, OG0019116, OG0001665, OG0013482, OG0001257, OG0001449, OG0013023, OG0000812, OG0001435, OG0016892, OG0010119, OG0002265	Tfasc_v1.00127, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.05321, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.08304, Tfasc_v1.11228, Tfasc_v1.11677, Tfasc_v1.14262, Tfasc_v1.16114, Tfasc_v1.17668, Tfasc_v1.20296, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.23961, Tfasc_v1.23996, Tfasc_v1.24123, Tfasc_v1.26845, Tfasc_v1.28604
BP	GO:0032482	Rab protein signal transduction	1.8e-05	OG0018782, OG0000741, OG0003820, OG0008579, OG0001093, OG0010971, OG0013975, OG0000711, OG0005948, OG0014947, OG0009693, OG0014875, OG0001071, OG0001714, OG0015438	Tfasc_v1.01861, Tfasc_v1.02143, Tfasc_v1.03049, Tfasc_v1.04503, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.10835, Tfasc_v1.11279, Tfasc_v1.12276, Tfasc_v1.14108, Tfasc_v1.14312, Tfasc_v1.14618, Tfasc_v1.16144, Tfasc_v1.17861, Tfasc_v1.18340, Tfasc_v1.18572, Tfasc_v1.20296, Tfasc_v1.25905
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	4e-05	OG0006481, OG0012668, OG0000760, OG0000014, OG0013548, OG0001637, OG0001291, OG0016732, OG0007129, OG0001691, OG0001257, OG0001885, OG0019232, OG0004223, OG0012902, OG0016812, OG0004468, OG0012226, OG0017215, OG0011570, OG0013023, OG0000812, OG0001435, OG0016899, OG0010000, OG0010119, OG0005382, OG0000317, OG0006898, OG0019586, OG0002265, OG0009245	Tfasc_v1.01218, Tfasc_v1.02018, Tfasc_v1.03367, Tfasc_v1.03790, Tfasc_v1.06116, Tfasc_v1.06683, Tfasc_v1.08630, Tfasc_v1.08824, Tfasc_v1.08867, Tfasc_v1.11228, Tfasc_v1.12982, Tfasc_v1.14262, Tfasc_v1.14416, Tfasc_v1.14489, Tfasc_v1.16114, Tfasc_v1.18252, Tfasc_v1.18458, Tfasc_v1.20396, Tfasc_v1.21274, Tfasc_v1.21336, Tfasc_v1.21421, Tfasc_v1.22924, Tfasc_v1.22941, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.23961, Tfasc_v1.24164, Tfasc_v1.26612, Tfasc_v1.26845, Tfasc_v1.27400, Tfasc_v1.27630, Tfasc_v1.27691, Tfasc_v1.27720, Tfasc_v1.28217, Tfasc_v1.28604, Tfasc_v1.29307
BP	GO:0006886	intracellular protein transport	8.6e-05	OG0001045, OG0010754, OG0011656, OG0000950, OG0001949, OG0006600, OG0018782, OG0012615, OG0004582, OG0012668, OG0000741, OG0002488, OG0001653, OG0001752, OG0005074, OG0003820, OG0009818, OG0009899, OG0001167, OG0017958, OG0015790, OG0008652, OG0010789, OG0008579, OG0000999, OG0012492, OG0002524, OG0002755, OG0013548, OG0013539, OG0006128, OG0015544, OG0001093, OG0001637, OG0015193, OG0019116, OG0010429, OG0010418, OG0019124, OG0001665, OG0001291, OG0007129, OG0007200, OG0001889, OG0012883, OG0008439, OG0002068, OG0016858, OG0002091, OG0013399, OG0018063, OG0000018, OG0013209, OG0011006, OG0010971, OG0010868, OG0013975, OG0001264, OG0004347, OG0005104, OG0002159, OG0001691, OG0010345, OG0005797, OG0000711, OG0005852, OG0001257, OG0005951, OG0005948, OG0000763, OG0006038, OG0014947, OG0008098, OG0008135, OG0008148, OG0014732, OG0001461, OG0014361, OG0009693, OG0009055, OG0011404, OG0003423, OG0017572, OG0014458, OG0010129, OG0002077, OG0014873, OG0014875, OG0015047, OG0015043, OG0001071, OG0001714, OG0015808, OG0019506, OG0011200, OG0019514, OG0016812, OG0018543, OG0016075, OG0018546, OG0000198, OG0004470, OG0012235, OG0012226, OG0004417, OG0007435, OG0007354, OG0005261, OG0017215, OG0002924, OG0011570, OG0011482, OG0011860, OG0013023, OG0000812, OG0001435, OG0008803, OG0008872, OG0000769, OG0000623, OG0015438, OG0004898, OG0009957, OG0001518, OG0010000, OG0005382, OG0002699, OG0000317, OG0006836, OG0016694, OG0006726, OG0019586, OG0014862, OG0002265, OG0010564, OG0004140, OG0009245, OG0009422	Tfasc_v1.00127, Tfasc_v1.00192, Tfasc_v1.00241, Tfasc_v1.00288, Tfasc_v1.01425, Tfasc_v1.01446, Tfasc_v1.01861, Tfasc_v1.01903, Tfasc_v1.02004, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.02159, Tfasc_v1.02171, Tfasc_v1.02256, Tfasc_v1.02325, Tfasc_v1.03049, Tfasc_v1.03052, Tfasc_v1.03424, Tfasc_v1.03425, Tfasc_v1.03953, Tfasc_v1.04148, Tfasc_v1.04350, Tfasc_v1.04416, Tfasc_v1.04503, Tfasc_v1.04738, Tfasc_v1.04983, Tfasc_v1.05572, Tfasc_v1.05771, Tfasc_v1.06116, Tfasc_v1.06124, Tfasc_v1.06406, Tfasc_v1.06526, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.06683, Tfasc_v1.07365, Tfasc_v1.07614, Tfasc_v1.07701, Tfasc_v1.07712, Tfasc_v1.07853, Tfasc_v1.08304, Tfasc_v1.08630, Tfasc_v1.08867, Tfasc_v1.08985, Tfasc_v1.09182, Tfasc_v1.09242, Tfasc_v1.09287, Tfasc_v1.09312, Tfasc_v1.09447, Tfasc_v1.09448, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.10695, Tfasc_v1.10777, Tfasc_v1.10835, Tfasc_v1.11033, Tfasc_v1.11228, Tfasc_v1.11279, Tfasc_v1.11326, Tfasc_v1.12276, Tfasc_v1.12346, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.12878, Tfasc_v1.12913, Tfasc_v1.12982, Tfasc_v1.13288, Tfasc_v1.13976, Tfasc_v1.14108, Tfasc_v1.14148, Tfasc_v1.14262, Tfasc_v1.14308, Tfasc_v1.14312, Tfasc_v1.14413, Tfasc_v1.14476, Tfasc_v1.14618, Tfasc_v1.15198, Tfasc_v1.15295, Tfasc_v1.15606, Tfasc_v1.15641, Tfasc_v1.15677, Tfasc_v1.16010, Tfasc_v1.16114, Tfasc_v1.16144, Tfasc_v1.16527, Tfasc_v1.17213, Tfasc_v1.17337, Tfasc_v1.17371, Tfasc_v1.17454, Tfasc_v1.17478, Tfasc_v1.17608, Tfasc_v1.17825, Tfasc_v1.17861, Tfasc_v1.17961, Tfasc_v1.18006, Tfasc_v1.18340, Tfasc_v1.18523, Tfasc_v1.18572, Tfasc_v1.18610, Tfasc_v1.19476, Tfasc_v1.19500, Tfasc_v1.19632, Tfasc_v1.20296, Tfasc_v1.20396, Tfasc_v1.20969, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.21153, Tfasc_v1.21225, Tfasc_v1.21299, Tfasc_v1.21336, Tfasc_v1.21501, Tfasc_v1.22464, Tfasc_v1.22619, Tfasc_v1.22845, Tfasc_v1.22924, Tfasc_v1.22930, Tfasc_v1.22941, Tfasc_v1.23111, Tfasc_v1.23370, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.23961, Tfasc_v1.24080, Tfasc_v1.24201, Tfasc_v1.25115, Tfasc_v1.25212, Tfasc_v1.25905, Tfasc_v1.26256, Tfasc_v1.26515, Tfasc_v1.26552, Tfasc_v1.26612, Tfasc_v1.26836, Tfasc_v1.27400, Tfasc_v1.27476, Tfasc_v1.27630, Tfasc_v1.27794, Tfasc_v1.27867, Tfasc_v1.27992, Tfasc_v1.28217, Tfasc_v1.28319, Tfasc_v1.28604, Tfasc_v1.28823, Tfasc_v1.29215, Tfasc_v1.29307, Tfasc_v1.30245
BP	GO:0006414	translational elongation	5e-04	OG0006487, OG0013334, OG0009891, OG0009870, OG0000609, OG0011076, OG0011056, OG0007200, OG0001426, OG0001510, OG0013499, OG0011800, OG0014031, OG0016797, OG0011470, OG0008960, OG0002111, OG0012772, OG0009625, OG0003748, OG0017034, OG0001518, OG0010286	Tfasc_v1.01231, Tfasc_v1.02411, Tfasc_v1.03459, Tfasc_v1.03489, Tfasc_v1.04667, Tfasc_v1.08056, Tfasc_v1.08100, Tfasc_v1.08985, Tfasc_v1.09461, Tfasc_v1.10890, Tfasc_v1.11444, Tfasc_v1.12077, Tfasc_v1.12445, Tfasc_v1.17298, Tfasc_v1.20009, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.24611, Tfasc_v1.24948, Tfasc_v1.25148, Tfasc_v1.26550, Tfasc_v1.26552, Tfasc_v1.28963
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.00065	OG0002488, OG0006128, OG0002068, OG0011860, OG0000623	Tfasc_v1.02159, Tfasc_v1.06406, Tfasc_v1.09312, Tfasc_v1.11326, Tfasc_v1.23370, Tfasc_v1.25212
BP	GO:0006621	protein retention in ER lumen	0.00065	OG0000014, OG0004441, OG0004223, OG0012902, OG0016899, OG0010022	Tfasc_v1.03790, Tfasc_v1.15893, Tfasc_v1.18252, Tfasc_v1.18458, Tfasc_v1.24164, Tfasc_v1.26653
BP	GO:0005982	starch metabolic process	0.00066	OG0001290, OG0005779, OG0018186, OG0014977, OG0018187, OG0011563, OG0019027, OG0009283, OG0009287	Tfasc_v1.05762, Tfasc_v1.14032, Tfasc_v1.22086, Tfasc_v1.22089, Tfasc_v1.22090, Tfasc_v1.22969, Tfasc_v1.27443, Tfasc_v1.29928, Tfasc_v1.29929
BP	GO:0009423	chorismate biosynthetic process	0.00093	OG0000719, OG0015499, OG0004401, OG0012246	Tfasc_v1.05794, Tfasc_v1.07894, Tfasc_v1.20894, Tfasc_v1.21265, Tfasc_v1.23078
