Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0005982	starch metabolic process	3.2e-05	OG0001290, OG0005779, OG0018186, OG0014977, OG0018187, OG0011563, OG0009283	Tfasc_v1.05762, Tfasc_v1.14032, Tfasc_v1.22086, Tfasc_v1.22089, Tfasc_v1.22090, Tfasc_v1.22969, Tfasc_v1.29928
BP	GO:0005980	glycogen catabolic process	8.2e-05	OG0001290, OG0010694, OG0014805	Tfasc_v1.05762, Tfasc_v1.12084, Tfasc_v1.29518
BP	GO:0009704	de-etiolation	0.00022	OG0003093, OG0003240, OG0013736, OG0001085	Tfasc_v1.01371, Tfasc_v1.09046, Tfasc_v1.22859, Tfasc_v1.23252
BP	GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly	0.00077	OG0003532, OG0012949, OG0009626	Tfasc_v1.04352, Tfasc_v1.18364, Tfasc_v1.24937
BP	GO:0070413	trehalose metabolism in response to stress	0.00092	OG0004525, OG0018511, OG0002089, OG0008853	Tfasc_v1.05016, Tfasc_v1.06212, Tfasc_v1.09493, Tfasc_v1.24161
BP	GO:0000349	generation of catalytic spliceosome for first transesterification step	0.0019	OG0013143, OG0011077	Tfasc_v1.07576, Tfasc_v1.27895
BP	GO:0016124	xanthophyll catabolic process	0.0019	OG0015238, OG0019528	Tfasc_v1.19808, Tfasc_v1.19810
BP	GO:0034088	maintenance of mitotic sister chromatid cohesion	0.0019	OG0011411, OG0013457	Tfasc_v1.17239, Tfasc_v1.30538
BP	GO:0000413	protein peptidyl-prolyl isomerization	0.00195	OG0000449, OG0007093, OG0004126, OG0015974, OG0002557, OG0012262, OG0004769, OG0009546	Tfasc_v1.03785, Tfasc_v1.08781, Tfasc_v1.10761, Tfasc_v1.11603, Tfasc_v1.17421, Tfasc_v1.21254, Tfasc_v1.23524, Tfasc_v1.25122
BP	GO:0016120	carotene biosynthetic process	0.00253	OG0002429, OG0013437	Tfasc_v1.14385, Tfasc_v1.28736, Tfasc_v1.30576
BP	GO:0017196	N-terminal peptidyl-methionine acetylation	0.00253	OG0004633, OG0017774, OG0018744	Tfasc_v1.22014, Tfasc_v1.23385, Tfasc_v1.23386
BP	GO:0015689	molybdate ion transport	0.00253	OG0018940, OG0018941, OG0004419	Tfasc_v1.08232, Tfasc_v1.08233, Tfasc_v1.21495
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.00272	OG0015872, OG0017549, OG0017550, OG0009781, OG0014051, OG0009976, OG0014810	Tfasc_v1.02587, Tfasc_v1.05224, Tfasc_v1.05225, Tfasc_v1.16308, Tfasc_v1.17350, Tfasc_v1.26559, Tfasc_v1.29505
