ID	adj_pval
GO:0006517	0.00015
GO:0055089	0.00273
GO:0044794	0.00273
GO:0070328	0.00273
GO:0006166	0.00273
GO:0016045	0.00273
GO:0006516	0.00273
GO:0055091	0.00273
GO:0006468	0.00467
GO:0010188	0.00546
GO:0010359	0.00546
GO:0006865	0.00778
GO:0006167	0.00818
GO:0052544	0.00818
GO:0003333	0.01605
GO:0006574	0.01629
GO:0015977	0.01898
GO:0006898	0.02372
GO:0043162	0.02434
GO:0048268	0.02968
GO:1901642	0.02968
GO:0010193	0.03498
GO:0071712	0.03762
GO:0009691	0.04025
GO:0006654	0.04025
GO:0042742	0.04181
GO:0006085	0.04288
GO:0046470	0.0455
GO:0009395	0.04811
GO:0072583	0.04811
GO:0004672	1e-05
GO:0004001	0.0025
GO:0033925	0.0025
GO:0033853	0.005
GO:0033854	0.005
GO:0000224	0.005
GO:0003878	0.005
GO:0008964	0.0076
GO:0003871	0.0076
GO:0015171	0.0117
GO:0003841	0.0126
GO:0017112	0.0126
GO:0003860	0.0126
GO:0004623	0.0176
GO:0004576	0.0176
GO:0004069	0.0176
GO:0005545	0.0225
GO:0032050	0.025
GO:0005546	0.0275
GO:0005337	0.0275
GO:0032440	0.0348
GO:0034066	0.0031
GO:0016021	0.0105
GO:0005829	0.0134
GO:0000813	0.0153
