Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0016124	xanthophyll catabolic process	0.00014	OG0015238, OG0019528	Tfasc_v1.19808, Tfasc_v1.19810
BP	GO:1903259	exon-exon junction complex disassembly	0.00014	OG0015416, OG0001756	Tfasc_v1.23852, Tfasc_v1.23853
BP	GO:0048211	Golgi vesicle docking	4e-04	OG0001449, OG0010000	Tfasc_v1.17668, Tfasc_v1.26612
BP	GO:1901371	regulation of leaf morphogenesis	4e-04	OG0003031, OG0014858	Tfasc_v1.05814, Tfasc_v1.14813
BP	GO:0016121	carotene catabolic process	0.00274	OG0015238, OG0019528	Tfasc_v1.19808, Tfasc_v1.19810
BP	GO:0015786	UDP-glucose transmembrane transport	0.00274	OG0003791, OG0002350	Tfasc_v1.14638, Tfasc_v1.18286
BP	GO:0017196	N-terminal peptidyl-methionine acetylation	0.00274	OG0004633, OG0017774	Tfasc_v1.22014, Tfasc_v1.23385
BP	GO:0072334	UDP-galactose transmembrane transport	0.00274	OG0003791, OG0002350	Tfasc_v1.14638, Tfasc_v1.18286
BP	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	0.00573	OG0000640, OG0009155	Tfasc_v1.07404, Tfasc_v1.29765
BP	GO:0071472	cellular response to salt stress	0.00695	OG0001313, OG0008279	Tfasc_v1.01449, Tfasc_v1.09606
BP	GO:0010218	response to far red light	0.00828	OG0003031, OG0008279	Tfasc_v1.05814, Tfasc_v1.09606
BP	GO:0019374	galactolipid metabolic process	0.01161	OG0006397, OG0001012	Tfasc_v1.05635, Tfasc_v1.29973
BP	GO:0035066	positive regulation of histone acetylation	0.01167	OG0008453	Tfasc_v1.04310
BP	GO:1901355	response to rapamycin	0.01167	OG0006653	Tfasc_v1.01544
BP	GO:1901969	positive regulation of polynucleotide 3'-phosphatase activity	0.01167	OG0016603	Tfasc_v1.14264
BP	GO:1903070	negative regulation of ER-associated ubiquitin-dependent protein catabolic process	0.01167	OG0014577	Tfasc_v1.18697
BP	GO:1901972	positive regulation of DNA-5-methylcytosine glycosylase activity	0.01167	OG0016603	Tfasc_v1.14264
BP	GO:0016242	negative regulation of macroautophagy	0.01167	OG0006653	Tfasc_v1.01544
BP	GO:1901529	positive regulation of anion channel activity	0.01167	OG0003031	Tfasc_v1.05814
BP	GO:0007283	spermatogenesis	0.01167	OG0002341	Tfasc_v1.00793
BP	GO:1901535	regulation of DNA demethylation	0.01167	OG0006164	Tfasc_v1.06311
BP	GO:0042543	protein N-linked glycosylation via arginine	0.01167	OG0009159	Tfasc_v1.29791
BP	GO:0006968	cellular defense response	0.01167	OG0016052	Tfasc_v1.13158
BP	GO:0009745	sucrose mediated signaling	0.01167	OG0006653	Tfasc_v1.01544
BP	GO:0044794	positive regulation by host of viral process	0.01167	OG0004303	Tfasc_v1.00244
BP	GO:0010157	response to chlorate	0.01167	OG0006185	Tfasc_v1.06266
BP	GO:0071000	response to magnetism	0.01167	OG0003031	Tfasc_v1.05814
BP	GO:0040019	positive regulation of embryonic development	0.01167	OG0006653	Tfasc_v1.01544
BP	GO:1902448	positive regulation of shade avoidance	0.01167	OG0003031	Tfasc_v1.05814
BP	GO:0045056	transcytosis	0.01167	OG0010000	Tfasc_v1.26612
BP	GO:0010617	circadian regulation of calcium ion oscillation	0.01167	OG0003031	Tfasc_v1.05814
BP	GO:2000234	positive regulation of rRNA processing	0.01167	OG0006653	Tfasc_v1.01544
BP	GO:0006166	purine ribonucleoside salvage	0.01167	OG0003987	Tfasc_v1.07641
BP	GO:0071280	cellular response to copper ion	0.01167	OG0001313	Tfasc_v1.01449
BP	GO:1903857	negative regulation of cytokinin dehydrogenase activity	0.01167	OG0014577	Tfasc_v1.18697
BP	GO:1902661	positive regulation of glucose mediated signaling pathway	0.01167	OG0006653	Tfasc_v1.01544
