Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	2e-06	OG0010216, OG0005700, OG0010011, OG0002220	Tfasc_v1.17658, Tfasc_v1.22094, Tfasc_v1.26617, Tfasc_v1.26827
BP	GO:0010027	thylakoid membrane organization	9.2e-05	OG0006539, OG0008661, OG0013697, OG0005848, OG0010503	Tfasc_v1.01341, Tfasc_v1.04337, Tfasc_v1.12978, Tfasc_v1.14149, Tfasc_v1.28680
BP	GO:0009658	chloroplast organization	0.00026	OG0008661, OG0015558, OG0010429, OG0008390, OG0013697, OG0019234, OG0012265, OG0005261, OG0003568	Tfasc_v1.04337, Tfasc_v1.06521, Tfasc_v1.07701, Tfasc_v1.09364, Tfasc_v1.12978, Tfasc_v1.14533, Tfasc_v1.21233, Tfasc_v1.22845, Tfasc_v1.24017
BP	GO:0010343	singlet oxygen-mediated programmed cell death	0.00052	OG0013632, OG0014293	Tfasc_v1.03207, Tfasc_v1.17041
BP	GO:0009853	photorespiration	0.00059	OG0009870, OG0001439, OG0015558, OG0005087	Tfasc_v1.03489, Tfasc_v1.04530, Tfasc_v1.06521, Tfasc_v1.24495
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.00192	OG0016075, OG0018546, OG0004140	Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.29215
BP	GO:0032544	plastid translation	0.00255	OG0002594, OG0013697	Tfasc_v1.12842, Tfasc_v1.12978
BP	GO:0099402	plant organ development	0.00574	OG0006638, OG0015558, OG0010414, OG0011086, OG0014278, OG0012265, OG0014653, OG0007503, OG0011925	Tfasc_v1.01523, Tfasc_v1.06521, Tfasc_v1.07723, Tfasc_v1.08049, Tfasc_v1.15630, Tfasc_v1.21233, Tfasc_v1.21903, Tfasc_v1.22338, Tfasc_v1.23223
BP	GO:1901259	chloroplast rRNA processing	0.00894	OG0014194, OG0007822	Tfasc_v1.17753, Tfasc_v1.20391
BP	GO:0034051	negative regulation of plant-type hypersensitive response	0.0133	OG0006539	Tfasc_v1.01341
BP	GO:0097339	glycolate transmembrane transport	0.0133	OG0015558	Tfasc_v1.06521
BP	GO:1901975	glycerate transmembrane transport	0.0133	OG0015558	Tfasc_v1.06521
BP	GO:0051512	positive regulation of unidimensional cell growth	0.0133	OG0006316	Tfasc_v1.05894
BP	GO:2001009	regulation of plant-type cell wall cellulose biosynthetic process	0.0133	OG0010414	Tfasc_v1.07723
BP	GO:0009257	10-formyltetrahydrofolate biosynthetic process	0.0133	OG0007019	Tfasc_v1.08542
BP	GO:0031998	regulation of fatty acid beta-oxidation	0.0133	OG0001439	Tfasc_v1.04530
BP	GO:0032922	circadian regulation of gene expression	0.0133	OG0010414	Tfasc_v1.07723
BP	GO:0006642	triglyceride mobilization	0.0133	OG0012265	Tfasc_v1.21233
BP	GO:0042821	pyridoxal biosynthetic process	0.0133	OG0010378	Tfasc_v1.07818
BP	GO:1990110	callus formation	0.0133	OG0011086	Tfasc_v1.08049
BP	GO:1902066	regulation of cell wall pectin metabolic process	0.0133	OG0010414	Tfasc_v1.07723
BP	GO:1902478	negative regulation of defense response to bacterium, incompatible interaction	0.0133	OG0006539	Tfasc_v1.01341
BP	GO:1903424	fluoride transmembrane transport	0.0133	OG0004613	Tfasc_v1.06597
BP	GO:0052837	thiazole biosynthetic process	0.0133	OG0013576	Tfasc_v1.03604
BP	GO:0009793	embryo development ending in seed dormancy	0.01421	OG0006126, OG0015208, OG0010806, OG0006012, OG0005261, OG0004251	Tfasc_v1.06405, Tfasc_v1.08426, Tfasc_v1.11850, Tfasc_v1.14454, Tfasc_v1.22845, Tfasc_v1.30406
BP	GO:0045454	cell redox homeostasis	0.01932	OG0008537, OG0010983, OG0013851, OG0013459, OG0019027	Tfasc_v1.04589, Tfasc_v1.10831, Tfasc_v1.11166, Tfasc_v1.24569, Tfasc_v1.27443
BP	GO:0046939	nucleotide phosphorylation	0.02634	OG0008290, OG0012265, OG0000766	Tfasc_v1.09559, Tfasc_v1.21233, Tfasc_v1.25977
BP	GO:0006438	valyl-tRNA aminoacylation	0.02642	OG0010806	Tfasc_v1.11850
BP	GO:0032491	detection of molecule of fungal origin	0.02642	OG0001406	Tfasc_v1.21991
BP	GO:0032499	detection of peptidoglycan	0.02642	OG0001406	Tfasc_v1.21991
BP	GO:0080093	regulation of photorespiration	0.02642	OG0001439	Tfasc_v1.04530
BP	GO:0032469	endoplasmic reticulum calcium ion homeostasis	0.02642	OG0014973	Tfasc_v1.19659
BP	GO:0015808	L-alanine transport	0.02642	OG0008230	Tfasc_v1.09682
BP	GO:0080153	negative regulation of reductive pentose-phosphate cycle	0.02642	OG0006669	Tfasc_v1.01580
BP	GO:0071323	cellular response to chitin	0.02642	OG0001406	Tfasc_v1.21991
BP	GO:0010078	maintenance of root meristem identity	0.02642	OG0011086	Tfasc_v1.08049
BP	GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	0.02642	OG0012265	Tfasc_v1.21233
BP	GO:0035600	tRNA methylthiolation	0.02642	OG0005772	Tfasc_v1.14047
BP	GO:0002752	cell surface pattern recognition receptor signaling pathway	0.02642	OG0001406	Tfasc_v1.21991
BP	GO:0010155	regulation of proton transport	0.02642	OG0008327	Tfasc_v1.09484
BP	GO:0043157	response to cation stress	0.02642	OG0008661	Tfasc_v1.04337
BP	GO:0010124	phenylacetate catabolic process	0.02642	OG0003930	Tfasc_v1.28925
BP	GO:0070476	rRNA (guanine-N7)-methylation	0.02642	OG0011086	Tfasc_v1.08049
