Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009094	L-phenylalanine biosynthetic process	0.00045	OG0004058, OG0015076	Tfasc_v1.07026, Tfasc_v1.07027, Tfasc_v1.22821
BP	GO:0045717	negative regulation of fatty acid biosynthetic process	0.00077	OG0011502, OG0003176	Tfasc_v1.23088, Tfasc_v1.27519
BP	GO:0005978	glycogen biosynthetic process	0.00081	OG0014321, OG0005268, OG0015595	Tfasc_v1.15702, Tfasc_v1.15703, Tfasc_v1.15704
BP	GO:0071712	ER-associated misfolded protein catabolic process	0.00132	OG0001167, OG0010735	Tfasc_v1.03425, Tfasc_v1.12004, Tfasc_v1.28913
BP	GO:0050821	protein stabilization	0.00198	OG0013282, OG0009899, OG0009025	Tfasc_v1.02113, Tfasc_v1.03424, Tfasc_v1.16443
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00242	OG0011627, OG0012625, OG0001167, OG0006364, OG0001897, OG0010445, OG0003223, OG0000107, OG0016859, OG0001301, OG0010735, OG0001091, OG0017186, OG0009625, OG0010114, OG0015717	Tfasc_v1.00152, Tfasc_v1.01917, Tfasc_v1.03425, Tfasc_v1.05731, Tfasc_v1.06261, Tfasc_v1.07682, Tfasc_v1.08939, Tfasc_v1.09121, Tfasc_v1.09411, Tfasc_v1.11762, Tfasc_v1.12004, Tfasc_v1.15921, Tfasc_v1.17651, Tfasc_v1.18227, Tfasc_v1.24948, Tfasc_v1.26831, Tfasc_v1.26908, Tfasc_v1.28913
BP	GO:0006457	protein folding	0.00245	OG0009899, OG0000493, OG0013171, OG0006185, OG0007144, OG0002296, OG0005721, OG0009703, OG0014047, OG0002557	Tfasc_v1.03424, Tfasc_v1.04386, Tfasc_v1.05562, Tfasc_v1.06266, Tfasc_v1.08899, Tfasc_v1.10981, Tfasc_v1.13849, Tfasc_v1.16168, Tfasc_v1.17327, Tfasc_v1.17421
BP	GO:0051228	mitotic spindle disassembly	0.0025	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0097352	autophagosome maturation	0.00371	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0006284	base-excision repair	0.00575	OG0007172, OG0001592, OG0003728	Tfasc_v1.08928, Tfasc_v1.18874, Tfasc_v1.25371
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.00752	OG0011627, OG0012625, OG0001167, OG0010445, OG0003223, OG0001301, OG0001091, OG0010114, OG0015717	Tfasc_v1.00152, Tfasc_v1.01917, Tfasc_v1.03425, Tfasc_v1.07682, Tfasc_v1.08939, Tfasc_v1.11762, Tfasc_v1.15921, Tfasc_v1.26831, Tfasc_v1.26908, Tfasc_v1.28913
BP	GO:0030970	retrograde protein transport, ER to cytosol	0.00863	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0000045	autophagosome assembly	0.01106	OG0003223, OG0009073, OG0008893	Tfasc_v1.08939, Tfasc_v1.13598, Tfasc_v1.24243
BP	GO:0070940	dephosphorylation of RNA polymerase II C-terminal domain	0.01533	OG0007301, OG0005434	Tfasc_v1.22715, Tfasc_v1.30692
BP	GO:0000712	resolution of meiotic recombination intermediates	0.01533	OG0019181, OG0013228	Tfasc_v1.13489, Tfasc_v1.13490
BP	GO:0061408	positive regulation of transcription from RNA polymerase II promoter in response to heat stress	0.01533	OG0010836, OG0011587	Tfasc_v1.11745, Tfasc_v1.22923
BP	GO:0070544	histone H3-K36 demethylation	0.01611	OG0015839	Tfasc_v1.18548
BP	GO:0090058	metaxylem development	0.01611	OG0014773	Tfasc_v1.13002
BP	GO:1901355	response to rapamycin	0.01611	OG0006653	Tfasc_v1.01544
BP	GO:1904975	response to bleomycin	0.01611	OG0019194	Tfasc_v1.13766
BP	GO:0006742	NADP catabolic process	0.01611	OG0005934	Tfasc_v1.14274
BP	GO:0016242	negative regulation of macroautophagy	0.01611	OG0006653	Tfasc_v1.01544
