Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009662	etioplast organization	0.0066	OG0006540	Tfasc_v1.01333
BP	GO:2001009	regulation of plant-type cell wall cellulose biosynthetic process	0.0066	OG0010414	Tfasc_v1.07723
BP	GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0.0066	OG0008051	Tfasc_v1.15129
BP	GO:0032922	circadian regulation of gene expression	0.0066	OG0010414	Tfasc_v1.07723
BP	GO:1902066	regulation of cell wall pectin metabolic process	0.0066	OG0010414	Tfasc_v1.07723
BP	GO:0080187	floral organ senescence	0.0066	OG0018647	Tfasc_v1.26989
BP	GO:1902553	positive regulation of catalase activity	0.0066	OG0015183	Tfasc_v1.00409
BP	GO:0018142	protein-DNA covalent cross-linking	0.0066	OG0014728	Tfasc_v1.22081
BP	GO:0044211	CTP salvage	0.0133	OG0008071	Tfasc_v1.15150
BP	GO:0044206	UMP salvage	0.0133	OG0008071	Tfasc_v1.15150
BP	GO:0016124	xanthophyll catabolic process	0.0133	OG0019528	Tfasc_v1.19810
BP	GO:1901672	positive regulation of systemic acquired resistance	0.0198	OG0010414	Tfasc_v1.07723
BP	GO:1901703	protein localization involved in auxin polar transport	0.0198	OG0014831	Tfasc_v1.29582
BP	GO:2000072	regulation of defense response to fungus, incompatible interaction	0.0198	OG0009025	Tfasc_v1.16443
BP	GO:0043970	histone H3-K9 acetylation	0.0198	OG0007238	Tfasc_v1.09085
BP	GO:0071244	cellular response to carbon dioxide	0.0198	OG0005273	Tfasc_v1.13386
BP	GO:0006729	tetrahydrobiopterin biosynthetic process	0.0198	OG0008051	Tfasc_v1.15129
BP	GO:0032482	Rab protein signal transduction	0.025	OG0000981, OG0014875	Tfasc_v1.09374, Tfasc_v1.17861
BP	GO:0000186	activation of MAPKK activity	0.0263	OG0005273	Tfasc_v1.13386
BP	GO:0010104	regulation of ethylene-activated signaling pathway	0.0263	OG0010414	Tfasc_v1.07723
BP	GO:0001174	transcriptional start site selection at RNA polymerase II promoter	0.0263	OG0002396	Tfasc_v1.23335
BP	GO:2000278	regulation of DNA biosynthetic process	0.0263	OG0015063	Tfasc_v1.22851
BP	GO:0046835	carbohydrate phosphorylation	0.0303	OG0006540, OG0000580	Tfasc_v1.01333, Tfasc_v1.09221
BP	GO:0032784	regulation of DNA-templated transcription, elongation	0.0325	OG0008723, OG0008157	Tfasc_v1.04804, Tfasc_v1.15567
BP	GO:2000022	regulation of jasmonic acid mediated signaling pathway	0.0328	OG0010414	Tfasc_v1.07723
BP	GO:2000033	regulation of seed dormancy process	0.0328	OG0008241	Tfasc_v1.09668
BP	GO:0006431	methionyl-tRNA aminoacylation	0.0328	OG0011925	Tfasc_v1.23223
BP	GO:0010952	positive regulation of peptidase activity	0.0328	OG0006152	Tfasc_v1.06356
BP	GO:0006457	protein folding	0.0337	OG0000482, OG0014047, OG0012262, OG0005031	Tfasc_v1.14999, Tfasc_v1.17327, Tfasc_v1.21254, Tfasc_v1.28236
BP	GO:0016567	protein ubiquitination	0.0382	OG0015183, OG0016012, OG0014706, OG0000651, OG0003236, OG0000482	Tfasc_v1.00409, Tfasc_v1.00902, Tfasc_v1.02660, Tfasc_v1.04960, Tfasc_v1.09036, Tfasc_v1.14999
BP	GO:1903508	positive regulation of nucleic acid-templated transcription	0.0395	OG0008157, OG0014790	Tfasc_v1.15567, Tfasc_v1.18798
BP	GO:0046777	protein autophosphorylation	0.0412	OG0001137, OG0005273, OG0002212	Tfasc_v1.11079, Tfasc_v1.13386, Tfasc_v1.26683
BP	GO:0010187	negative regulation of seed germination	0.0456	OG0008241	Tfasc_v1.09668
BP	GO:0015689	molybdate ion transport	0.0456	OG0004419	Tfasc_v1.21495
BP	GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	0.0456	OG0008241	Tfasc_v1.09668
BP	GO:0016121	carotene catabolic process	0.0456	OG0019528	Tfasc_v1.19810
BP	GO:0046654	tetrahydrofolate biosynthetic process	0.0456	OG0008051	Tfasc_v1.15129
BP	GO:0050832	defense response to fungus	0.0476	OG0012382, OG0001137, OG0009025	Tfasc_v1.06809, Tfasc_v1.11079, Tfasc_v1.16443
MF	GO:0003934	GTP cyclohydrolase I activity	0.0063	OG0008051	Tfasc_v1.15129
MF	GO:0008911	lactaldehyde dehydrogenase activity	0.0063	OG0012438	Tfasc_v1.05101
MF	GO:0050513	glycoprotein 2-beta-D-xylosyltransferase activity	0.0063	OG0006128	Tfasc_v1.06406
MF	GO:0043765	T/G mismatch-specific endonuclease activity	0.0063	OG0018647	Tfasc_v1.26989
MF	GO:0008886	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity	0.0063	OG0012438	Tfasc_v1.05101
