Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0031426	polycistronic mRNA processing	2.6e-05	OG0019352, OG0013742	Tfasc_v1.17912, Tfasc_v1.17913
BP	GO:0010239	chloroplast mRNA processing	3e-04	OG0019352, OG0013742	Tfasc_v1.17912, Tfasc_v1.17913
BP	GO:0045694	regulation of embryo sac egg cell differentiation	0.003	OG0008882	Tfasc_v1.24233
BP	GO:0001881	receptor recycling	0.003	OG0006306	Tfasc_v1.05914
BP	GO:0098974	postsynaptic actin cytoskeleton organization	0.003	OG0010771	Tfasc_v1.11913
BP	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	0.0059	OG0009434	Tfasc_v1.30274
BP	GO:0000738	DNA catabolic process, exonucleolytic	0.0059	OG0008005	Tfasc_v1.15027
BP	GO:0007623	circadian rhythm	0.0081	OG0011512, OG0009216	Tfasc_v1.23066, Tfasc_v1.29416
BP	GO:0032049	cardiolipin biosynthetic process	0.0088	OG0003054	Tfasc_v1.01078
BP	GO:0016139	glycoside catabolic process	0.0088	OG0016307	Tfasc_v1.28129
BP	GO:0072321	chaperone-mediated protein transport	0.0118	OG0001884	Tfasc_v1.14418
BP	GO:0071786	endoplasmic reticulum tubular network organization	0.0118	OG0019118	Tfasc_v1.07661
BP	GO:0006521	regulation of cellular amino acid metabolic process	0.0176	OG0009434	Tfasc_v1.30274
BP	GO:0010227	floral organ abscission	0.0205	OG0010771	Tfasc_v1.11913
BP	GO:0009785	blue light signaling pathway	0.0205	OG0002720	Tfasc_v1.22809
BP	GO:0009635	response to herbicide	0.0205	OG0009434	Tfasc_v1.30274
BP	GO:0006627	protein processing involved in protein targeting to mitochondrion	0.0263	OG0008413	Tfasc_v1.09334
BP	GO:0034314	Arp2/3 complex-mediated actin nucleation	0.0292	OG0001368	Tfasc_v1.22332
BP	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0292	OG0008005	Tfasc_v1.15027
BP	GO:0048507	meristem development	0.0308	OG0019352, OG0013742	Tfasc_v1.17912, Tfasc_v1.17913
BP	GO:0046855	inositol phosphate dephosphorylation	0.032	OG0008046	Tfasc_v1.15109
BP	GO:0000105	histidine biosynthetic process	0.0349	OG0015703	Tfasc_v1.26878
BP	GO:1902476	chloride transmembrane transport	0.0406	OG0000919	Tfasc_v1.18563
MF	GO:0048027	mRNA 5'-UTR binding	1.8e-05	OG0019352, OG0013742	Tfasc_v1.17912, Tfasc_v1.17913
MF	GO:0004424	imidazoleglycerol-phosphate dehydratase activity	0.0025	OG0015703	Tfasc_v1.26878
MF	GO:0098973	structural constituent of postsynaptic actin cytoskeleton	0.0025	OG0010771	Tfasc_v1.11913
MF	GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity	0.0025	OG0004202	Tfasc_v1.00100
MF	GO:0008808	cardiolipin synthase activity	0.0049	OG0003054	Tfasc_v1.01078
MF	GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	0.0049	OG0009434	Tfasc_v1.30274
MF	GO:0035064	methylated histone binding	0.0074	OG0004276	Tfasc_v1.22886
MF	GO:0009011	starch synthase activity	0.0074	OG0008356	Tfasc_v1.09430
