Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0042542	response to hydrogen peroxide	3e-04	OG0011408, OG0016261	Tfasc_v1.17224, Tfasc_v1.20612, Tfasc_v1.20616
BP	GO:0009725	response to hormone	0.0021	OG0003540, OG0011073, OG0018072, OG0000669, OG0009757, OG0011408, OG0001494	Tfasc_v1.04754, Tfasc_v1.08062, Tfasc_v1.09029, Tfasc_v1.09030, Tfasc_v1.16254, Tfasc_v1.16602, Tfasc_v1.17224, Tfasc_v1.23603, Tfasc_v1.26062
BP	GO:0010224	response to UV-B	0.0042	OG0010936, OG0015921	Tfasc_v1.10901, Tfasc_v1.29258
BP	GO:0006420	arginyl-tRNA aminoacylation	0.0058	OG0015893	Tfasc_v1.25961
BP	GO:0046856	phosphatidylinositol dephosphorylation	0.009	OG0011827, OG0006787	Tfasc_v1.12521, Tfasc_v1.27876
BP	GO:0009056	catabolic process	0.0097	OG0011282, OG0008711, OG0001922, OG0015921, OG0003677, OG0000728	Tfasc_v1.00742, Tfasc_v1.04784, Tfasc_v1.05686, Tfasc_v1.05688, Tfasc_v1.29258, Tfasc_v1.29337, Tfasc_v1.29656
BP	GO:0080021	response to benzoic acid	0.0115	OG0006951	Tfasc_v1.27531
BP	GO:0045857	negative regulation of molecular function, epigenetic	0.0115	OG0011073	Tfasc_v1.08062
BP	GO:1900425	negative regulation of defense response to bacterium	0.0115	OG0018644	Tfasc_v1.26899
BP	GO:0009751	response to salicylic acid	0.0137	OG0011408, OG0006951	Tfasc_v1.17224, Tfasc_v1.27531
BP	GO:0051259	protein complex oligomerization	0.0163	OG0016261	Tfasc_v1.20612, Tfasc_v1.20616
BP	GO:0044038	cell wall macromolecule biosynthetic process	0.0171	OG0005019, OG0006903	Tfasc_v1.09851, Tfasc_v1.27678
BP	GO:0009650	UV protection	0.0172	OG0010936	Tfasc_v1.10901
BP	GO:0000256	allantoin catabolic process	0.0172	OG0008711	Tfasc_v1.04784
BP	GO:0010136	ureide catabolic process	0.0172	OG0008711	Tfasc_v1.04784
BP	GO:0006145	purine nucleobase catabolic process	0.0172	OG0008711	Tfasc_v1.04784
BP	GO:0006457	protein folding	0.0213	OG0006133, OG0013057, OG0016261	Tfasc_v1.06392, Tfasc_v1.13117, Tfasc_v1.20612, Tfasc_v1.20616
BP	GO:1900055	regulation of leaf senescence	0.0229	OG0011073	Tfasc_v1.08062
BP	GO:0034625	fatty acid elongation, monounsaturated fatty acid	0.0229	OG0005362	Tfasc_v1.23871
BP	GO:0034626	fatty acid elongation, polyunsaturated fatty acid	0.0229	OG0005362	Tfasc_v1.23871
BP	GO:0016104	triterpenoid biosynthetic process	0.0229	OG0000524	Tfasc_v1.07914
BP	GO:0019367	fatty acid elongation, saturated fatty acid	0.0229	OG0005362	Tfasc_v1.23871
BP	GO:0000967	rRNA 5'-end processing	0.0229	OG0012317	Tfasc_v1.06702
BP	GO:0000244	spliceosomal tri-snRNP complex assembly	0.0229	OG0014532	Tfasc_v1.16872
BP	GO:1901001	negative regulation of response to salt stress	0.0229	OG0018644	Tfasc_v1.26899
BP	GO:0034394	protein localization to cell surface	0.0229	OG0002535	Tfasc_v1.02141
