Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0071712	ER-associated misfolded protein catabolic process	8e-04	OG0000018, OG0002661	Tfasc_v1.20945, Tfasc_v1.20946
BP	GO:1903730	regulation of phosphatidate phosphatase activity	0.003	OG0011582	Tfasc_v1.22922
BP	GO:1902626	assembly of large subunit precursor of preribosome	0.003	OG0005091	Tfasc_v1.27080
BP	GO:2000469	negative regulation of peroxidase activity	0.003	OG0017313	Tfasc_v1.06665
BP	GO:0051290	protein heterotetramerization	0.006	OG0000526	Tfasc_v1.01960
BP	GO:0008612	peptidyl-lysine modification to peptidyl-hypusine	0.006	OG0003381	Tfasc_v1.20427
BP	GO:0060776	simple leaf morphogenesis	0.006	OG0014051	Tfasc_v1.17350
BP	GO:0015708	silicic acid import across plasma membrane	0.006	OG0014566	Tfasc_v1.18652
BP	GO:0015938	coenzyme A catabolic process	0.006	OG0016914	Tfasc_v1.16336
BP	GO:0030433	ubiquitin-dependent ERAD pathway	0.0068	OG0000018, OG0002661	Tfasc_v1.20945, Tfasc_v1.20946
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.0078	OG0014051, OG0009976	Tfasc_v1.17350, Tfasc_v1.26559
BP	GO:0051289	protein homotetramerization	0.0091	OG0000526	Tfasc_v1.01960
BP	GO:0015840	urea transport	0.0121	OG0014566	Tfasc_v1.18652
BP	GO:0042256	mature ribosome assembly	0.0121	OG0005091	Tfasc_v1.27080
BP	GO:0045739	positive regulation of DNA repair	0.0151	OG0005915	Tfasc_v1.14240
BP	GO:0009800	cinnamic acid biosynthetic process	0.0151	OG0013167	Tfasc_v1.05549
BP	GO:0030307	positive regulation of cell growth	0.0151	OG0017313	Tfasc_v1.06665
BP	GO:0016024	CDP-diacylglycerol biosynthetic process	0.021	OG0014892	Tfasc_v1.19826
BP	GO:0006559	L-phenylalanine catabolic process	0.024	OG0013167	Tfasc_v1.05549
BP	GO:0009686	gibberellin biosynthetic process	0.0269	OG0009658	Tfasc_v1.16097
BP	GO:0010200	response to chitin	0.0269	OG0006207	Tfasc_v1.06175
BP	GO:0000054	ribosomal subunit export from nucleus	0.0299	OG0005091	Tfasc_v1.27080
BP	GO:0002758	innate immune response-activating signal transduction	0.0328	OG0002601	Tfasc_v1.00552
BP	GO:0035999	tetrahydrofolate interconversion	0.0328	OG0005147	Tfasc_v1.04212
BP	GO:0010305	leaf vascular tissue pattern formation	0.0387	OG0014051	Tfasc_v1.17350
BP	GO:0000122	negative regulation of transcription by RNA polymerase II	0.0416	OG0017313	Tfasc_v1.06665
BP	GO:0010252	auxin homeostasis	0.0416	OG0017313	Tfasc_v1.06665
BP	GO:0000741	karyogamy	0.0416	OG0005840	Tfasc_v1.14117
BP	GO:0006265	DNA topological change	0.0416	OG0003381	Tfasc_v1.20427
