Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.00013	OG0005177, OG0009037, OG0002434, OG0009204	Tfasc_v1.06959, Tfasc_v1.16483, Tfasc_v1.24560, Tfasc_v1.29428
BP	GO:0006433	prolyl-tRNA aminoacylation	0.00076	OG0000876, OG0010615	Tfasc_v1.12705, Tfasc_v1.28622
BP	GO:0050790	regulation of catalytic activity	0.00186	OG0010754, OG0004070, OG0014539, OG0014883, OG0002434, OG0006747, OG0010599, OG0009358	Tfasc_v1.00192, Tfasc_v1.12066, Tfasc_v1.13460, Tfasc_v1.17882, Tfasc_v1.24560, Tfasc_v1.27941, Tfasc_v1.28526, Tfasc_v1.30034
BP	GO:0016255	attachment of GPI anchor to protein	0.00247	OG0002535, OG0013859	Tfasc_v1.02141, Tfasc_v1.22120
BP	GO:0051252	regulation of RNA metabolic process	0.00272	OG0011613, OG0003818, OG0008710, OG0018471, OG0006410, OG0006099, OG0008391, OG0000602, OG0001080, OG0005956, OG0015018, OG0009058, OG0014300, OG0014346, OG0007397, OG0001735, OG0009486, OG0015335, OG0017048, OG0010124, OG0015363, OG0018311, OG0002510	Tfasc_v1.00117, Tfasc_v1.03055, Tfasc_v1.04787, Tfasc_v1.05606, Tfasc_v1.05618, Tfasc_v1.06410, Tfasc_v1.09375, Tfasc_v1.12099, Tfasc_v1.12500, Tfasc_v1.14330, Tfasc_v1.14734, Tfasc_v1.16561, Tfasc_v1.17030, Tfasc_v1.18166, Tfasc_v1.22547, Tfasc_v1.23590, Tfasc_v1.25264, Tfasc_v1.25689, Tfasc_v1.26857, Tfasc_v1.26859, Tfasc_v1.28269, Tfasc_v1.29340, Tfasc_v1.30517
BP	GO:0033353	S-adenosylmethionine cycle	0.00367	OG0001683	Tfasc_v1.21769, Tfasc_v1.30560
BP	GO:0030150	protein import into mitochondrial matrix	0.00377	OG0010754, OG0014539, OG0008148	Tfasc_v1.00192, Tfasc_v1.13460, Tfasc_v1.15606
BP	GO:0006412	translation	0.00407	OG0002379, OG0013750, OG0000609, OG0005177, OG0008423, OG0010971, OG0001510, OG0001575, OG0000876, OG0005971, OG0009037, OG0005308, OG0019527, OG0003378, OG0011470, OG0002434, OG0002111, OG0009486, OG0001518, OG0003877, OG0010615, OG0009204	Tfasc_v1.00151, Tfasc_v1.01775, Tfasc_v1.04667, Tfasc_v1.06959, Tfasc_v1.09301, Tfasc_v1.10835, Tfasc_v1.10890, Tfasc_v1.10960, Tfasc_v1.12705, Tfasc_v1.14355, Tfasc_v1.16483, Tfasc_v1.19787, Tfasc_v1.19788, Tfasc_v1.20411, Tfasc_v1.23144, Tfasc_v1.24560, Tfasc_v1.24578, Tfasc_v1.25264, Tfasc_v1.26552, Tfasc_v1.26695, Tfasc_v1.28622, Tfasc_v1.29428
BP	GO:0006432	phenylalanyl-tRNA aminoacylation	0.00508	OG0005308, OG0019527	Tfasc_v1.19787, Tfasc_v1.19788
BP	GO:0009294	DNA mediated transformation	0.0067	OG0011073, OG0008391	Tfasc_v1.08062, Tfasc_v1.09375
BP	GO:0006656	phosphatidylcholine biosynthetic process	0.00853	OG0005301	Tfasc_v1.18869, Tfasc_v1.18871
BP	GO:0048825	cotyledon development	0.00853	OG0009287, OG0002510	Tfasc_v1.29929, Tfasc_v1.30517
BP	GO:0035999	tetrahydrofolate interconversion	0.01276	OG0005147, OG0014757	Tfasc_v1.04212, Tfasc_v1.21774
BP	GO:0002758	innate immune response-activating signal transduction	0.01276	OG0016587, OG0012902	Tfasc_v1.14076, Tfasc_v1.18458
BP	GO:0000278	mitotic cell cycle	0.01316	OG0013174, OG0000213, OG0004070, OG0015617, OG0014891, OG0000327	Tfasc_v1.05563, Tfasc_v1.08865, Tfasc_v1.12066, Tfasc_v1.13492, Tfasc_v1.19832, Tfasc_v1.25056
BP	GO:0000105	histidine biosynthetic process	0.01515	OG0012383, OG0013138	Tfasc_v1.06820, Tfasc_v1.07582
BP	GO:0045333	cellular respiration	0.01575	OG0013298, OG0003818, OG0010183, OG0014560, OG0001053, OG0005172	Tfasc_v1.02153, Tfasc_v1.03055, Tfasc_v1.17586, Tfasc_v1.18649, Tfasc_v1.19219, Tfasc_v1.30467
BP	GO:0071266	'de novo' L-methionine biosynthetic process	0.01601	OG0004742	Tfasc_v1.17930
BP	GO:0006127	glycerophosphate shuttle	0.01601	OG0003818	Tfasc_v1.03055
BP	GO:0006522	alanine metabolic process	0.01601	OG0010183	Tfasc_v1.17586
BP	GO:0030473	nuclear migration along microtubule	0.01601	OG0015617	Tfasc_v1.13492
BP	GO:0006103	2-oxoglutarate metabolic process	0.01601	OG0010183	Tfasc_v1.17586
BP	GO:0018008	N-terminal peptidyl-glycine N-myristoylation	0.01601	OG0008748	Tfasc_v1.23965
BP	GO:0080119	ER body organization	0.01601	OG0013548	Tfasc_v1.06116
BP	GO:0090063	positive regulation of microtubule nucleation	0.01601	OG0013174	Tfasc_v1.05563
BP	GO:0048034	heme O biosynthetic process	0.01601	OG0013298	Tfasc_v1.02153
BP	GO:0019500	cyanide catabolic process	0.01601	OG0001508	Tfasc_v1.02941
BP	GO:0006362	transcription elongation from RNA polymerase I promoter	0.01601	OG0005752	Tfasc_v1.14098
BP	GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	0.01601	OG0008391	Tfasc_v1.09375
BP	GO:1902459	positive regulation of stem cell population maintenance	0.01601	OG0008391	Tfasc_v1.09375
BP	GO:0006489	dolichyl diphosphate biosynthetic process	0.01601	OG0006992	Tfasc_v1.27263
BP	GO:0019343	cysteine biosynthetic process via cystathionine	0.01601	OG0004742	Tfasc_v1.17930
BP	GO:0006730	one-carbon metabolic process	0.01742	OG0005147, OG0001683, OG0014757	Tfasc_v1.04212, Tfasc_v1.21769, Tfasc_v1.21774, Tfasc_v1.30560
BP	GO:0071712	ER-associated misfolded protein catabolic process	0.02045	OG0000018, OG0002661	Tfasc_v1.20945, Tfasc_v1.20946
BP	GO:0000741	karyogamy	0.02045	OG0001537, OG0005840	Tfasc_v1.09832, Tfasc_v1.14117
