Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0015671	oxygen transport	0.00026	OG0002707	Tfasc_v1.14645, Tfasc_v1.14646
BP	GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.00072	OG0019524, OG0019525, OG0012124, OG0007374	Tfasc_v1.19757, Tfasc_v1.19758, Tfasc_v1.19759, Tfasc_v1.22587
BP	GO:0006623	protein targeting to vacuole	0.00073	OG0012642, OG0007129, OG0011482, OG0001505, OG0006836	Tfasc_v1.01937, Tfasc_v1.08867, Tfasc_v1.23111, Tfasc_v1.24557, Tfasc_v1.27794
BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	0.00076	OG0018453, OG0014983	Tfasc_v1.05321, Tfasc_v1.05322
BP	GO:1903602	thermospermine catabolic process	0.00076	OG0012206, OG0015728	Tfasc_v1.21380, Tfasc_v1.26917
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	0.00149	OG0017726, OG0009137, OG0015334	Tfasc_v1.19835, Tfasc_v1.29726, Tfasc_v1.30498
BP	GO:0046208	spermine catabolic process	0.0015	OG0012206, OG0015728	Tfasc_v1.21380, Tfasc_v1.26917
BP	GO:0007030	Golgi organization	0.0043	OG0006474, OG0018453, OG0014983, OG0001505	Tfasc_v1.01198, Tfasc_v1.05321, Tfasc_v1.05322, Tfasc_v1.24557
BP	GO:0051453	regulation of intracellular pH	0.00498	OG0000193, OG0003256	Tfasc_v1.08203, Tfasc_v1.09144, Tfasc_v1.25293
BP	GO:0001666	response to hypoxia	0.0067	OG0002707	Tfasc_v1.14645, Tfasc_v1.14646
BP	GO:0015860	purine nucleoside transmembrane transport	0.00853	OG0001918, OG0012754	Tfasc_v1.05747, Tfasc_v1.06591
BP	GO:0120029	proton export across plasma membrane	0.01055	OG0000193	Tfasc_v1.08203, Tfasc_v1.25293
BP	GO:0007346	regulation of mitotic cell cycle	0.01058	OG0006105, OG0013261, OG0010950, OG0012786, OG0007311, OG0003704	Tfasc_v1.00207, Tfasc_v1.02059, Tfasc_v1.10876, Tfasc_v1.21982, Tfasc_v1.22679, Tfasc_v1.30112
