Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006457	protein folding	0.00035	OG0013171, OG0006185, OG0011148, OG0007144, OG0002296, OG0005721, OG0005247, OG0009703, OG0014047, OG0002557, OG0004265, OG0002505	Tfasc_v1.05562, Tfasc_v1.06266, Tfasc_v1.07924, Tfasc_v1.08899, Tfasc_v1.10981, Tfasc_v1.13849, Tfasc_v1.14688, Tfasc_v1.16168, Tfasc_v1.17327, Tfasc_v1.17421, Tfasc_v1.23032, Tfasc_v1.23783
BP	GO:0005978	glycogen biosynthetic process	7e-04	OG0014321, OG0005268, OG0015595	Tfasc_v1.15702, Tfasc_v1.15703, Tfasc_v1.15704
BP	GO:0032781	positive regulation of ATPase activity	0.00227	OG0013171, OG0011148	Tfasc_v1.05562, Tfasc_v1.07924
BP	GO:0009408	response to heat	0.00395	OG0006185, OG0010836, OG0005721, OG0005247, OG0009703, OG0011587, OG0010120	Tfasc_v1.06266, Tfasc_v1.11745, Tfasc_v1.13849, Tfasc_v1.14688, Tfasc_v1.16168, Tfasc_v1.22923, Tfasc_v1.26841
BP	GO:0009704	de-etiolation	0.00615	OG0006185, OG0003240	Tfasc_v1.06266, Tfasc_v1.09046
BP	GO:0009791	post-embryonic development	0.00881	OG0006653, OG0006185, OG0007182, OG0003240, OG0019008, OG0019194, OG0005922, OG0014321, OG0005268, OG0015595, OG0009657, OG0009067, OG0016069, OG0002408, OG0007354, OG0011919, OG0010120	Tfasc_v1.01544, Tfasc_v1.06266, Tfasc_v1.08959, Tfasc_v1.09046, Tfasc_v1.09253, Tfasc_v1.13766, Tfasc_v1.14251, Tfasc_v1.15702, Tfasc_v1.15703, Tfasc_v1.15704, Tfasc_v1.16092, Tfasc_v1.16595, Tfasc_v1.21057, Tfasc_v1.21694, Tfasc_v1.22619, Tfasc_v1.23239, Tfasc_v1.26841
BP	GO:0009651	response to salt stress	0.01138	OG0001313, OG0006185, OG0008396, OG0009073, OG0005247, OG0009703, OG0005434	Tfasc_v1.01449, Tfasc_v1.06266, Tfasc_v1.09376, Tfasc_v1.13598, Tfasc_v1.14688, Tfasc_v1.16168, Tfasc_v1.30692
BP	GO:0090333	regulation of stomatal closure	0.01173	OG0012634, OG0003240	Tfasc_v1.01921, Tfasc_v1.09046
BP	GO:0032502	developmental process	0.01212	OG0002341, OG0006653, OG0006185, OG0007095, OG0007144, OG0007182, OG0003240, OG0019008, OG0014115, OG0009073, OG0019194, OG0005922, OG0014321, OG0005268, OG0015595, OG0009657, OG0008972, OG0009067, OG0007702, OG0001648, OG0016069, OG0002408, OG0018592, OG0007354, OG0011919, OG0010120, OG0003632	Tfasc_v1.00793, Tfasc_v1.01544, Tfasc_v1.06266, Tfasc_v1.08804, Tfasc_v1.08899, Tfasc_v1.08959, Tfasc_v1.09046, Tfasc_v1.09253, Tfasc_v1.09833, Tfasc_v1.13598, Tfasc_v1.13766, Tfasc_v1.14251, Tfasc_v1.15702, Tfasc_v1.15703, Tfasc_v1.15704, Tfasc_v1.16092, Tfasc_v1.16321, Tfasc_v1.16595, Tfasc_v1.20127, Tfasc_v1.20577, Tfasc_v1.20578, Tfasc_v1.21057, Tfasc_v1.21694, Tfasc_v1.21709, Tfasc_v1.22619, Tfasc_v1.23239, Tfasc_v1.26841, Tfasc_v1.29630
BP	GO:0045053	protein retention in Golgi apparatus	0.01393	OG0015979, OG0005112	Tfasc_v1.06620, Tfasc_v1.20972
