Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009094	L-phenylalanine biosynthetic process	0.00036	OG0004058, OG0015076	Tfasc_v1.07026, Tfasc_v1.07027, Tfasc_v1.22821
BP	GO:0006021	inositol biosynthetic process	0.00066	OG0001383	Tfasc_v1.20319, Tfasc_v1.23052
BP	GO:0071712	ER-associated misfolded protein catabolic process	0.00106	OG0001167, OG0010735	Tfasc_v1.03425, Tfasc_v1.12004, Tfasc_v1.28913
BP	GO:0051228	mitotic spindle disassembly	0.00215	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0097352	autophagosome maturation	0.0032	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0061817	endoplasmic reticulum-plasma membrane tethering	0.00586	OG0002469	Tfasc_v1.28234, Tfasc_v1.28240
BP	GO:0070534	protein K63-linked ubiquitination	0.00586	OG0010855, OG0000432	Tfasc_v1.11060, Tfasc_v1.17590
BP	GO:0030970	retrograde protein transport, ER to cytosol	0.00746	OG0001167	Tfasc_v1.03425, Tfasc_v1.28913
BP	GO:0000413	protein peptidyl-prolyl isomerization	0.00799	OG0013657, OG0003843, OG0003037, OG0018639	Tfasc_v1.03283, Tfasc_v1.03472, Tfasc_v1.05735, Tfasc_v1.26866
BP	GO:0016567	protein ubiquitination	0.00806	OG0012654, OG0018436, OG0000107, OG0002900, OG0010855, OG0010735, OG0001444, OG0000432, OG0007773, OG0012687, OG0003277, OG0010493, OG0003647	Tfasc_v1.01962, Tfasc_v1.05079, Tfasc_v1.09121, Tfasc_v1.09968, Tfasc_v1.11060, Tfasc_v1.12004, Tfasc_v1.14666, Tfasc_v1.17590, Tfasc_v1.17651, Tfasc_v1.20268, Tfasc_v1.20566, Tfasc_v1.22543, Tfasc_v1.28648, Tfasc_v1.29746
BP	GO:0006102	isocitrate metabolic process	0.00923	OG0000507, OG0001397	Tfasc_v1.09620, Tfasc_v1.15089
BP	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	0.00923	OG0001091, OG0009155	Tfasc_v1.15921, Tfasc_v1.29765
BP	GO:0048280	vesicle fusion with Golgi apparatus	0.01117	OG0002755, OG0010000	Tfasc_v1.18523, Tfasc_v1.26612
BP	GO:0090158	endoplasmic reticulum membrane organization	0.01117	OG0002469	Tfasc_v1.28234, Tfasc_v1.28240
BP	GO:0071472	cellular response to salt stress	0.01117	OG0010714, OG0005728	Tfasc_v1.12028, Tfasc_v1.13866
BP	GO:0071284	cellular response to lead ion	0.01494	OG0014351	Tfasc_v1.18139
BP	GO:0010031	circumnutation	0.01494	OG0010977	Tfasc_v1.10838
BP	GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation	0.01494	OG0005908	Tfasc_v1.14227
BP	GO:0045056	transcytosis	0.01494	OG0010000	Tfasc_v1.26612
BP	GO:0090058	metaxylem development	0.01494	OG0014773	Tfasc_v1.13002
BP	GO:0030433	ubiquitin-dependent ERAD pathway	0.02308	OG0001167, OG0001091	Tfasc_v1.03425, Tfasc_v1.15921, Tfasc_v1.28913
BP	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	0.02903	OG0001053, OG0001398	Tfasc_v1.21106, Tfasc_v1.21650
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.02903	OG0010445, OG0001301	Tfasc_v1.07682, Tfasc_v1.11762
BP	GO:2000009	negative regulation of protein localization to cell surface	0.02965	OG0014145	Tfasc_v1.28184
BP	GO:0015783	GDP-fucose transmembrane transport	0.02965	OG0004385	Tfasc_v1.23193
BP	GO:0045597	positive regulation of cell differentiation	0.02965	OG0012490	Tfasc_v1.04985
BP	GO:1905499	trichome papilla formation	0.02965	OG0013702	Tfasc_v1.26283
BP	GO:0015708	silicic acid import across plasma membrane	0.02965	OG0014566	Tfasc_v1.18652
BP	GO:0035987	endodermal cell differentiation	0.02965	OG0012490	Tfasc_v1.04985
BP	GO:1901031	regulation of response to reactive oxygen species	0.02965	OG0015461	Tfasc_v1.26037
BP	GO:0010124	phenylacetate catabolic process	0.02965	OG0003930	Tfasc_v1.28925
BP	GO:0010229	inflorescence development	0.03213	OG0005908, OG0001106	Tfasc_v1.14227, Tfasc_v1.20587
BP	GO:0006301	postreplication repair	0.03213	OG0010855, OG0000432	Tfasc_v1.11060, Tfasc_v1.17590
BP	GO:0006744	ubiquinone biosynthetic process	0.03213	OG0016182, OG0001497	Tfasc_v1.14824, Tfasc_v1.24990
BP	GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	0.03535	OG0000599, OG0014145	Tfasc_v1.13537, Tfasc_v1.28184
BP	GO:0006633	fatty acid biosynthetic process	0.04299	OG0001319, OG0007133, OG0011522, OG0004193, OG0013702, OG0009197	Tfasc_v1.01600, Tfasc_v1.08878, Tfasc_v1.23051, Tfasc_v1.23534, Tfasc_v1.26283, Tfasc_v1.29847
BP	GO:0042989	sequestering of actin monomers	0.04415	OG0005908	Tfasc_v1.14227
BP	GO:0008285	negative regulation of cell population proliferation	0.04415	OG0012490	Tfasc_v1.04985
BP	GO:0006168	adenine salvage	0.04415	OG0000591	Tfasc_v1.01314
BP	GO:2000067	regulation of root morphogenesis	0.04415	OG0012490	Tfasc_v1.04985
BP	GO:0032447	protein urmylation	0.04415	OG0013784	Tfasc_v1.01709
BP	GO:0048211	Golgi vesicle docking	0.04415	OG0010000	Tfasc_v1.26612
BP	GO:0045168	cell-cell signaling involved in cell fate commitment	0.04415	OG0014920	Tfasc_v1.11487
BP	GO:0034389	lipid droplet organization	0.04415	OG0001336	Tfasc_v1.29227
BP	GO:1990575	mitochondrial L-ornithine transmembrane transport	0.04415	OG0001041	Tfasc_v1.02177
BP	GO:1900027	regulation of ruffle assembly	0.04415	OG0003390	Tfasc_v1.14829
BP	GO:1903602	thermospermine catabolic process	0.04415	OG0003482	Tfasc_v1.09332
