Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0015995	chlorophyll biosynthetic process	0.00082	OG0001600, OG0002220, OG0006847	Tfasc_v1.26178, Tfasc_v1.26827, Tfasc_v1.27780
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00128	OG0002220, OG0009449	Tfasc_v1.26827, Tfasc_v1.30324
BP	GO:0010252	auxin homeostasis	0.00405	OG0002433, OG0015047	Tfasc_v1.17391, Tfasc_v1.17961
BP	GO:0006308	DNA catabolic process	0.0053	OG0018698, OG0013101	Tfasc_v1.16829, Tfasc_v1.16830
BP	GO:0000413	protein peptidyl-prolyl isomerization	0.00579	OG0004126, OG0015974, OG0003732	Tfasc_v1.10761, Tfasc_v1.11603, Tfasc_v1.26702
BP	GO:0033614	chloroplast proton-transporting ATP synthase complex assembly	0.00689	OG0014124	Tfasc_v1.09864
BP	GO:0071816	tail-anchored membrane protein insertion into ER membrane	0.00689	OG0012217	Tfasc_v1.21345
BP	GO:0032780	negative regulation of ATPase activity	0.00689	OG0009315	Tfasc_v1.29958
BP	GO:0071421	manganese ion transmembrane transport	0.00824	OG0009014, OG0012011	Tfasc_v1.16415, Tfasc_v1.21626
BP	GO:0046856	phosphatidylinositol dephosphorylation	0.01272	OG0010333, OG0016121	Tfasc_v1.13250, Tfasc_v1.22910
BP	GO:0002939	tRNA N1-guanine methylation	0.01374	OG0013554	Tfasc_v1.06100
BP	GO:1990052	ER to chloroplast lipid transport	0.01374	OG0003844	Tfasc_v1.03475
BP	GO:0044208	'de novo' AMP biosynthetic process	0.01374	OG0015066	Tfasc_v1.22839
BP	GO:0015768	maltose transport	0.01374	OG0014405	Tfasc_v1.02313
BP	GO:0006896	Golgi to vacuole transport	0.01475	OG0015047, OG0001435	Tfasc_v1.17961, Tfasc_v1.23961
BP	GO:0010182	sugar mediated signaling pathway	0.02054	OG0007490	Tfasc_v1.22341
BP	GO:0010343	singlet oxygen-mediated programmed cell death	0.02054	OG0014293	Tfasc_v1.17041
BP	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	0.02054	OG0006295	Tfasc_v1.05934
BP	GO:0010270	photosystem II oxygen evolving complex assembly	0.02054	OG0009014	Tfasc_v1.16415
BP	GO:1903830	magnesium ion transmembrane transport	0.02285	OG0015471, OG0009014	Tfasc_v1.15401, Tfasc_v1.16415
BP	GO:0010027	thylakoid membrane organization	0.02413	OG0017230, OG0005848	Tfasc_v1.00170, Tfasc_v1.14149
BP	GO:0032790	ribosome disassembly	0.02729	OG0012461	Tfasc_v1.05062
BP	GO:0010588	cotyledon vascular tissue pattern formation	0.034	OG0009777	Tfasc_v1.16286
BP	GO:0009958	positive gravitropism	0.034	OG0015047	Tfasc_v1.17961
BP	GO:0006382	adenosine to inosine editing	0.034	OG0012073	Tfasc_v1.21520
BP	GO:0016311	dephosphorylation	0.03453	OG0010748, OG0010333, OG0015066, OG0016121, OG0003931	Tfasc_v1.11961, Tfasc_v1.13250, Tfasc_v1.22839, Tfasc_v1.22910, Tfasc_v1.28940
BP	GO:0009411	response to UV	0.03687	OG0000482	Tfasc_v1.09425, Tfasc_v1.14124
BP	GO:0006623	protein targeting to vacuole	0.03842	OG0015047, OG0001435	Tfasc_v1.17961, Tfasc_v1.23961
BP	GO:0000023	maltose metabolic process	0.04066	OG0014405	Tfasc_v1.02313
BP	GO:0006457	protein folding	0.04438	OG0000489, OG0000482, OG0003732	Tfasc_v1.06386, Tfasc_v1.09425, Tfasc_v1.14124, Tfasc_v1.26702
BP	GO:0006749	glutathione metabolic process	0.0465	OG0017553, OG0011580	Tfasc_v1.00441, Tfasc_v1.22940
BP	GO:1900865	chloroplast RNA modification	0.04728	OG0009777	Tfasc_v1.16286
MF	GO:0051082	unfolded protein binding	0.00047	OG0001518, OG0000489, OG0000482, OG0003732	Tfasc_v1.01795, Tfasc_v1.06386, Tfasc_v1.09425, Tfasc_v1.14124, Tfasc_v1.26702
MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	0.00346	OG0004126, OG0015974, OG0003732	Tfasc_v1.10761, Tfasc_v1.11603, Tfasc_v1.26702
MF	GO:0004019	adenylosuccinate synthase activity	0.00561	OG0015066	Tfasc_v1.22839
MF	GO:0042131	thiamine phosphate phosphatase activity	0.00561	OG0003931	Tfasc_v1.28940
MF	GO:0000248	C-5 sterol desaturase activity	0.00561	OG0012416	Tfasc_v1.16794
MF	GO:0008974	phosphoribulokinase activity	0.00561	OG0015390	Tfasc_v1.02249
MF	GO:0003939	L-iditol 2-dehydrogenase activity	0.00561	OG0012279	Tfasc_v1.28464
MF	GO:0004438	phosphatidylinositol-3-phosphatase activity	0.00561	OG0010333	Tfasc_v1.13250
