Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0031408	oxylipin biosynthetic process	0.0012	OG0002321, OG0000806, OG0002636	Tfasc_v1.19374, Tfasc_v1.23382, Tfasc_v1.25809
BP	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	0.0012	OG0009726, OG0010308	Tfasc_v1.16205, Tfasc_v1.29014
BP	GO:0016540	protein autoprocessing	0.0023	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
BP	GO:0009808	lignin metabolic process	0.0038	OG0004547, OG0010115, OG0001701, OG0009151	Tfasc_v1.04866, Tfasc_v1.26846, Tfasc_v1.29530, Tfasc_v1.29754
BP	GO:0009423	chorismate biosynthetic process	0.0057	OG0012246, OG0000719	Tfasc_v1.21265, Tfasc_v1.23078
BP	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	0.0078	OG0014294, OG0011160, OG0010308	Tfasc_v1.17045, Tfasc_v1.19390, Tfasc_v1.29014
BP	GO:0008202	steroid metabolic process	0.0101	OG0019261, OG0002321, OG0004378	Tfasc_v1.11173, Tfasc_v1.19374, Tfasc_v1.19375, Tfasc_v1.19379, Tfasc_v1.23246, Tfasc_v1.23247
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.0103	OG0002488, OG0000623	Tfasc_v1.02159, Tfasc_v1.25212
BP	GO:0006004	fucose metabolic process	0.0122	OG0006217, OG0002983, OG0007005, OG0007282	Tfasc_v1.06167, Tfasc_v1.06273, Tfasc_v1.08438, Tfasc_v1.09183
BP	GO:0034440	lipid oxidation	0.0129	OG0019112, OG0012747, OG0000806, OG0002636	Tfasc_v1.07512, Tfasc_v1.20796, Tfasc_v1.23382, Tfasc_v1.25809
BP	GO:0002229	defense response to oomycetes	0.0179	OG0012191, OG0005574	Tfasc_v1.01786, Tfasc_v1.27618, Tfasc_v1.27619
BP	GO:1902979	mitotic DNA replication termination	0.02	OG0013663	Tfasc_v1.07995
BP	GO:0080027	response to herbivore	0.02	OG0009726	Tfasc_v1.16205
BP	GO:1990074	polyuridylation-dependent mRNA catabolic process	0.02	OG0007099	Tfasc_v1.08810
BP	GO:0071454	cellular response to anoxia	0.02	OG0006080	Tfasc_v1.06445
BP	GO:0019277	UDP-N-acetylgalactosamine biosynthetic process	0.02	OG0004916	Tfasc_v1.24399
BP	GO:0010950	positive regulation of endopeptidase activity	0.02	OG0010372	Tfasc_v1.07834
BP	GO:0097222	mitochondrial mRNA polyadenylation	0.02	OG0012607	Tfasc_v1.01882
BP	GO:0051484	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process	0.02	OG0014294	Tfasc_v1.17045
BP	GO:0071171	site-specific DNA replication termination at RTS1 barrier	0.02	OG0013663	Tfasc_v1.07995
BP	GO:0009073	aromatic amino acid family biosynthetic process	0.0297	OG0009788, OG0007849, OG0012246, OG0000719	Tfasc_v1.16314, Tfasc_v1.20454, Tfasc_v1.21265, Tfasc_v1.23078
BP	GO:0034219	carbohydrate transmembrane transport	0.0307	OG0000127, OG0003608, OG0011375, OG0001380	Tfasc_v1.10776, Tfasc_v1.16383, Tfasc_v1.18336, Tfasc_v1.23324
BP	GO:0009611	response to wounding	0.0323	OG0009726, OG0004378	Tfasc_v1.16205, Tfasc_v1.23246, Tfasc_v1.23247
BP	GO:0009691	cytokinin biosynthetic process	0.0352	OG0015486, OG0006028	Tfasc_v1.07866, Tfasc_v1.14460
BP	GO:0016125	sterol metabolic process	0.037	OG0019261, OG0002321	Tfasc_v1.11173, Tfasc_v1.19374, Tfasc_v1.19375, Tfasc_v1.19379
BP	GO:0032482	Rab protein signal transduction	0.0373	OG0003820, OG0001093, OG0000711	Tfasc_v1.03049, Tfasc_v1.06650, Tfasc_v1.14108
BP	GO:0005975	carbohydrate metabolic process	0.0394	OG0018359, OG0006312, OG0006217, OG0002983, OG0006080, OG0005009, OG0012323, OG0011062, OG0001747, OG0007005, OG0007116, OG0007198, OG0007282, OG0005912, OG0005927, OG0008127, OG0009755, OG0011406, OG0011037, OG0011364, OG0001251, OG0018567, OG0001362, OG0011466, OG0002210, OG0003184, OG0000498	Tfasc_v1.00395, Tfasc_v1.05909, Tfasc_v1.06167, Tfasc_v1.06273, Tfasc_v1.06445, Tfasc_v1.06562, Tfasc_v1.06707, Tfasc_v1.08089, Tfasc_v1.08329, Tfasc_v1.08438, Tfasc_v1.08832, Tfasc_v1.08989, Tfasc_v1.09183, Tfasc_v1.14231, Tfasc_v1.14280, Tfasc_v1.15290, Tfasc_v1.16264, Tfasc_v1.17218, Tfasc_v1.18060, Tfasc_v1.18325, Tfasc_v1.20458, Tfasc_v1.21315, Tfasc_v1.22459, Tfasc_v1.23138, Tfasc_v1.26542, Tfasc_v1.27318, Tfasc_v1.30053
BP	GO:0009972	cytidine deamination	0.0396	OG0018010	Tfasc_v1.09348
BP	GO:0018343	protein farnesylation	0.0396	OG0008126	Tfasc_v1.15279
BP	GO:0106167	extracellular ATP signaling	0.0396	OG0009726	Tfasc_v1.16205
BP	GO:0046710	GDP metabolic process	0.0396	OG0015240	Tfasc_v1.19676
BP	GO:0080153	negative regulation of reductive pentose-phosphate cycle	0.0396	OG0006080	Tfasc_v1.06445
BP	GO:0044805	late nucleophagy	0.0396	OG0008893	Tfasc_v1.24243
BP	GO:0010124	phenylacetate catabolic process	0.0396	OG0019112	Tfasc_v1.07512
BP	GO:0019310	inositol catabolic process	0.0396	OG0005912	Tfasc_v1.14231
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.0401	OG0011654, OG0004573, OG0010381, OG0002969, OG0005574	Tfasc_v1.00196, Tfasc_v1.01872, Tfasc_v1.07810, Tfasc_v1.14521, Tfasc_v1.27618
BP	GO:0006378	mRNA polyadenylation	0.049	OG0012607, OG0007301, OG0003163	Tfasc_v1.01882, Tfasc_v1.22715, Tfasc_v1.27674
MF	GO:0010333	terpene synthase activity	5.7e-07	OG0000803, OG0016099, OG0019205, OG0000311	Tfasc_v1.03802, Tfasc_v1.03807, Tfasc_v1.03810, Tfasc_v1.14009, Tfasc_v1.14013, Tfasc_v1.14017, Tfasc_v1.14019
MF	GO:0051213	dioxygenase activity	8.6e-07	OG0004305, OG0012191, OG0002425, OG0000584, OG0012309, OG0004334, OG0005878, OG0001263, OG0012058, OG0000806, OG0002636, OG0006784	Tfasc_v1.00249, Tfasc_v1.00252, Tfasc_v1.01786, Tfasc_v1.01791, Tfasc_v1.05787, Tfasc_v1.06689, Tfasc_v1.12332, Tfasc_v1.14169, Tfasc_v1.14367, Tfasc_v1.21544, Tfasc_v1.23382, Tfasc_v1.25809, Tfasc_v1.27880, Tfasc_v1.29673
