Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0010236	plastoquinone biosynthetic process	5.5e-05	OG0016807, OG0007286, OG0001497	Tfasc_v1.20276, Tfasc_v1.22735, Tfasc_v1.26913
BP	GO:0042128	nitrate assimilation	5.5e-05	OG0000928, OG0003196	Tfasc_v1.08593, Tfasc_v1.08596, Tfasc_v1.08668
BP	GO:0018298	protein-chromophore linkage	0.00016	OG0012282, OG0013716, OG0009536, OG0014219	Tfasc_v1.08209, Tfasc_v1.18475, Tfasc_v1.25151, Tfasc_v1.25753
BP	GO:0006734	NADH metabolic process	0.00032	OG0001548, OG0012052, OG0007452	Tfasc_v1.03126, Tfasc_v1.21563, Tfasc_v1.22422
BP	GO:0018026	peptidyl-lysine monomethylation	0.00043	OG0006273, OG0014695, OG0010121	Tfasc_v1.05981, Tfasc_v1.22385, Tfasc_v1.26838
BP	GO:0010218	response to far red light	0.00057	OG0019426, OG0002186, OG0012025	Tfasc_v1.14591, Tfasc_v1.16050, Tfasc_v1.21597
BP	GO:0000413	protein peptidyl-prolyl isomerization	0.00092	OG0006273, OG0007119, OG0008136, OG0004769, OG0002557	Tfasc_v1.05981, Tfasc_v1.08840, Tfasc_v1.15296, Tfasc_v1.23524, Tfasc_v1.30550
BP	GO:0010099	regulation of photomorphogenesis	0.00092	OG0019426, OG0002186, OG0008942	Tfasc_v1.14591, Tfasc_v1.16050, Tfasc_v1.24331
BP	GO:0006809	nitric oxide biosynthetic process	0.00119	OG0000928	Tfasc_v1.08593, Tfasc_v1.08596
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	0.00119	OG0015726, OG0014141	Tfasc_v1.26919, Tfasc_v1.28181
BP	GO:0090391	granum assembly	0.00119	OG0008472, OG0010969	Tfasc_v1.04694, Tfasc_v1.10837
BP	GO:0010027	thylakoid membrane organization	0.00148	OG0008472, OG0013697, OG0010121, OG0005028	Tfasc_v1.04694, Tfasc_v1.12978, Tfasc_v1.26838, Tfasc_v1.28222
BP	GO:0009658	chloroplast organization	0.00158	OG0006586, OG0008472, OG0012884, OG0010969, OG0013697, OG0002762, OG0009712, OG0017054, OG0010121, OG0009246	Tfasc_v1.01416, Tfasc_v1.04694, Tfasc_v1.09243, Tfasc_v1.10837, Tfasc_v1.12978, Tfasc_v1.13521, Tfasc_v1.16185, Tfasc_v1.17554, Tfasc_v1.26838, Tfasc_v1.29308
BP	GO:0006107	oxaloacetate metabolic process	0.00292	OG0001548, OG0012052	Tfasc_v1.03126, Tfasc_v1.21563
BP	GO:0010114	response to red light	0.00313	OG0002762, OG0019426, OG0002186	Tfasc_v1.13521, Tfasc_v1.14591, Tfasc_v1.16050
BP	GO:2000142	regulation of DNA-templated transcription, initiation	0.00462	OG0002762, OG0006022, OG0012693	Tfasc_v1.13521, Tfasc_v1.14452, Tfasc_v1.20572
BP	GO:0009228	thiamine biosynthetic process	0.00534	OG0013576, OG0005943	Tfasc_v1.03604, Tfasc_v1.14297
BP	GO:0009789	positive regulation of abscisic acid-activated signaling pathway	0.00534	OG0000063, OG0016683	Tfasc_v1.28005, Tfasc_v1.28006
BP	GO:0071482	cellular response to light stimulus	0.00771	OG0002762, OG0006022, OG0019426, OG0002186, OG0012693	Tfasc_v1.13521, Tfasc_v1.14452, Tfasc_v1.14591, Tfasc_v1.16050, Tfasc_v1.20572
BP	GO:0009773	photosynthetic electron transport in photosystem I	0.00843	OG0007149, OG0013823	Tfasc_v1.08897, Tfasc_v1.11070
BP	GO:0071586	CAAX-box protein processing	0.0102	OG0013357, OG0006288	Tfasc_v1.02512, Tfasc_v1.05950
BP	GO:0009637	response to blue light	0.01231	OG0012282, OG0017054, OG0012025	Tfasc_v1.08209, Tfasc_v1.17554, Tfasc_v1.21597
BP	GO:0005983	starch catabolic process	0.0142	OG0017324, OG0011529	Tfasc_v1.06749, Tfasc_v1.23043
BP	GO:0043448	alkane catabolic process	0.01425	OG0006573	Tfasc_v1.01385
BP	GO:0001714	endodermal cell fate specification	0.01425	OG0001935	Tfasc_v1.01143
BP	GO:0061015	snRNA import into nucleus	0.01425	OG0004903	Tfasc_v1.18473
BP	GO:0080065	4-alpha-methyl-delta7-sterol oxidation	0.01425	OG0001880	Tfasc_v1.12213
BP	GO:0032194	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	0.01425	OG0016807	Tfasc_v1.20276
BP	GO:0052837	thiazole biosynthetic process	0.01425	OG0013576	Tfasc_v1.03604
BP	GO:0071461	cellular response to redox state	0.01425	OG0012693	Tfasc_v1.20572
BP	GO:0006780	uroporphyrinogen III biosynthetic process	0.01425	OG0005751	Tfasc_v1.14093
BP	GO:0015882	L-ascorbic acid transmembrane transport	0.01425	OG0012057	Tfasc_v1.21543
BP	GO:1904183	negative regulation of pyruvate dehydrogenase activity	0.01425	OG0014440	Tfasc_v1.27066
BP	GO:0010017	red or far-red light signaling pathway	0.01642	OG0019426, OG0002186	Tfasc_v1.14591, Tfasc_v1.16050
BP	GO:1901002	positive regulation of response to salt stress	0.01642	OG0004678	Tfasc_v1.19302, Tfasc_v1.19305
BP	GO:0009642	response to light intensity	0.01813	OG0010824, OG0009712, OG0008787, OG0005028, OG0009246, OG0009161	Tfasc_v1.11819, Tfasc_v1.16185, Tfasc_v1.24035, Tfasc_v1.28222, Tfasc_v1.29308, Tfasc_v1.29802
BP	GO:0006415	translational termination	0.01859	OG0006586, OG0008486, OG0013697	Tfasc_v1.01416, Tfasc_v1.04669, Tfasc_v1.12978
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	0.01877	OG0013716, OG0014219	Tfasc_v1.18475, Tfasc_v1.25753
BP	GO:0006833	water transport	0.02386	OG0009813, OG0000779	Tfasc_v1.03061, Tfasc_v1.07651
