Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0042550	photosystem I stabilization	3.8e-05	OG0005526, OG0006188	Tfasc_v1.06257, Tfasc_v1.06259
BP	GO:0006021	inositol biosynthetic process	0.00011	OG0001383	Tfasc_v1.20319, Tfasc_v1.23052
BP	GO:0009234	menaquinone biosynthetic process	0.00023	OG0005526, OG0006188	Tfasc_v1.06257, Tfasc_v1.06259
BP	GO:0009063	cellular amino acid catabolic process	0.00075	OG0005526, OG0006188, OG0000435, OG0011152	Tfasc_v1.06257, Tfasc_v1.06259, Tfasc_v1.07643, Tfasc_v1.19373
BP	GO:0042372	phylloquinone biosynthetic process	0.00133	OG0005526, OG0006188	Tfasc_v1.06257, Tfasc_v1.06259
BP	GO:0071472	cellular response to salt stress	0.00202	OG0005728, OG0012060	Tfasc_v1.13866, Tfasc_v1.28873
BP	GO:0015979	photosynthesis	0.00299	OG0001269, OG0005526, OG0006188, OG0010360, OG0002936, OG0009367	Tfasc_v1.00232, Tfasc_v1.06257, Tfasc_v1.06259, Tfasc_v1.07864, Tfasc_v1.14184, Tfasc_v1.30088
BP	GO:0071369	cellular response to ethylene stimulus	0.00614	OG0016052, OG0015808	Tfasc_v1.13158, Tfasc_v1.18610
BP	GO:0006968	cellular defense response	0.00621	OG0016052	Tfasc_v1.13158
BP	GO:0009684	indoleacetic acid biosynthetic process	0.00621	OG0015144	Tfasc_v1.02866
BP	GO:0019877	diaminopimelate biosynthetic process	0.00621	OG0002724	Tfasc_v1.26205
BP	GO:2000039	regulation of trichome morphogenesis	0.00621	OG0012822	Tfasc_v1.06933
BP	GO:0010482	regulation of epidermal cell division	0.00621	OG0012822	Tfasc_v1.06933
BP	GO:0031129	inductive cell-cell signaling	0.00621	OG0012822	Tfasc_v1.06933
BP	GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation	0.00621	OG0005908	Tfasc_v1.14227
BP	GO:0045037	protein import into chloroplast stroma	0.0074	OG0010429, OG0005261	Tfasc_v1.07701, Tfasc_v1.22845
BP	GO:0071493	cellular response to UV-B	0.01238	OG0012060	Tfasc_v1.28873
BP	GO:0048530	fruit morphogenesis	0.01238	OG0012822	Tfasc_v1.06933
BP	GO:0071457	cellular response to ozone	0.01238	OG0012060	Tfasc_v1.28873
