Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0032544	plastid translation	2.9e-05	OG0012759, OG0015232, OG0002594	Tfasc_v1.04039, Tfasc_v1.07348, Tfasc_v1.12842
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	7.9e-05	OG0003970, OG0010216, OG0005700	Tfasc_v1.07740, Tfasc_v1.17658, Tfasc_v1.22094
BP	GO:0006662	glycerol ether metabolic process	0.00049	OG0003545, OG0003955, OG0010570	Tfasc_v1.11685, Tfasc_v1.13265, Tfasc_v1.28829
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.00125	OG0016075, OG0018546, OG0004140	Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.29215
BP	GO:0018106	peptidyl-histidine phosphorylation	0.00146	OG0019377, OG0005727, OG0005967	Tfasc_v1.12242, Tfasc_v1.13857, Tfasc_v1.14336
BP	GO:0045727	positive regulation of translation	0.00221	OG0011056, OG0002594, OG0007691	Tfasc_v1.08100, Tfasc_v1.12842, Tfasc_v1.20100
BP	GO:0031425	chloroplast RNA processing	0.00345	OG0013883, OG0007691, OG0005326	Tfasc_v1.03916, Tfasc_v1.20100, Tfasc_v1.25675
BP	GO:0010206	photosystem II repair	0.00552	OG0006284, OG0008435	Tfasc_v1.05958, Tfasc_v1.09267
BP	GO:0009658	chloroplast organization	0.0059	OG0012759, OG0010429, OG0008390, OG0010969, OG0019234, OG0007691, OG0005326, OG0014232	Tfasc_v1.04039, Tfasc_v1.07701, Tfasc_v1.09364, Tfasc_v1.10837, Tfasc_v1.14533, Tfasc_v1.20100, Tfasc_v1.25675, Tfasc_v1.25764
BP	GO:0042793	plastid transcription	0.00798	OG0001145, OG0016812	Tfasc_v1.11563, Tfasc_v1.20396
BP	GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	0.01145	OG0015232	Tfasc_v1.07348
BP	GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	0.01145	OG0015232	Tfasc_v1.07348
BP	GO:0006103	2-oxoglutarate metabolic process	0.01145	OG0010183	Tfasc_v1.17586
BP	GO:0006522	alanine metabolic process	0.01145	OG0010183	Tfasc_v1.17586
BP	GO:0098755	maintenance of seed dormancy by absisic acid	0.01145	OG0007536	Tfasc_v1.22253
BP	GO:1901562	response to paraquat	0.01145	OG0009606	Tfasc_v1.24981
BP	GO:0033389	putrescine biosynthetic process from arginine, using agmatinase	0.01145	OG0013674	Tfasc_v1.03319
BP	GO:0046322	negative regulation of fatty acid oxidation	0.01145	OG0009606	Tfasc_v1.24981
BP	GO:2000541	positive regulation of protein geranylgeranylation	0.01145	OG0012883	Tfasc_v1.09242
BP	GO:0009644	response to high light intensity	0.01748	OG0006476, OG0006284, OG0009606	Tfasc_v1.01208, Tfasc_v1.05958, Tfasc_v1.24981
BP	GO:0043067	regulation of programmed cell death	0.01768	OG0008578, OG0015259	Tfasc_v1.04511, Tfasc_v1.13345
BP	GO:0009902	chloroplast relocation	0.01961	OG0008390, OG0014232	Tfasc_v1.09364, Tfasc_v1.25764
BP	GO:0000045	autophagosome assembly	0.0214	OG0007501, OG0009931, OG0006965	Tfasc_v1.22327, Tfasc_v1.25482, Tfasc_v1.27504
BP	GO:0031023	microtubule organizing center organization	0.02277	OG0009031	Tfasc_v1.26867
BP	GO:0006531	aspartate metabolic process	0.02277	OG0010183	Tfasc_v1.17586
BP	GO:0000050	urea cycle	0.02277	OG0013674	Tfasc_v1.03319
BP	GO:0006428	isoleucyl-tRNA aminoacylation	0.02277	OG0014787	Tfasc_v1.18802
BP	GO:0009767	photosynthetic electron transport chain	0.02785	OG0006284, OG0004853, OG0003870	Tfasc_v1.05958, Tfasc_v1.06065, Tfasc_v1.26637
BP	GO:0000302	response to reactive oxygen species	0.02839	OG0013883, OG0007190, OG0016324, OG0016323	Tfasc_v1.03916, Tfasc_v1.08974, Tfasc_v1.30077, Tfasc_v1.30083
BP	GO:0019323	pentose catabolic process	0.03397	OG0007824	Tfasc_v1.20393
BP	GO:0070208	protein heterotrimerization	0.03397	OG0004140	Tfasc_v1.29215
BP	GO:0010508	positive regulation of autophagy	0.03397	OG0006965	Tfasc_v1.27504
BP	GO:0006231	dTMP biosynthetic process	0.03397	OG0005428	Tfasc_v1.17105
BP	GO:0006430	lysyl-tRNA aminoacylation	0.03397	OG0002518	Tfasc_v1.30485
BP	GO:0015995	chlorophyll biosynthetic process	0.03794	OG0007146, OG0005700	Tfasc_v1.08892, Tfasc_v1.22094
BP	GO:0010150	leaf senescence	0.04324	OG0000842, OG0006965	Tfasc_v1.00619, Tfasc_v1.27504
BP	GO:0045454	cell redox homeostasis	0.04426	OG0003545, OG0003955, OG0011580, OG0010570	Tfasc_v1.11685, Tfasc_v1.13265, Tfasc_v1.22940, Tfasc_v1.28829
BP	GO:0010117	photoprotection	0.04503	OG0009606	Tfasc_v1.24981
BP	GO:0000187	activation of MAPK activity	0.04503	OG0003470	Tfasc_v1.09455
BP	GO:0010205	photoinhibition	0.04503	OG0006284	Tfasc_v1.05958
BP	GO:0046506	sulfolipid biosynthetic process	0.04503	OG0009120	Tfasc_v1.29686
BP	GO:0070125	mitochondrial translational elongation	0.04503	OG0013197	Tfasc_v1.25746
BP	GO:0006423	cysteinyl-tRNA aminoacylation	0.04503	OG0015259	Tfasc_v1.13345
BP	GO:0090391	granum assembly	0.04503	OG0010969	Tfasc_v1.10837
BP	GO:0003333	amino acid transmembrane transport	0.04787	OG0004527, OG0007454	Tfasc_v1.05008, Tfasc_v1.05012, Tfasc_v1.22405
MF	GO:0005047	signal recognition particle binding	0.00059	OG0016075, OG0018546	Tfasc_v1.21040, Tfasc_v1.21043
MF	GO:0004673	protein histidine kinase activity	0.00267	OG0019377, OG0005727, OG0005967	Tfasc_v1.12242, Tfasc_v1.13857, Tfasc_v1.14336
MF	GO:0043022	ribosome binding	0.00687	OG0017890, OG0011056, OG0009428	Tfasc_v1.01650, Tfasc_v1.08100, Tfasc_v1.30265
MF	GO:0005525	GTP binding	0.009	OG0013883, OG0011056, OG0004826, OG0016075, OG0018546, OG0014232, OG0004140	Tfasc_v1.03916, Tfasc_v1.08100, Tfasc_v1.11678, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.25764, Tfasc_v1.29215
MF	GO:0003746	translation elongation factor activity	0.00901	OG0013883, OG0011056, OG0013197	Tfasc_v1.03916, Tfasc_v1.08100, Tfasc_v1.25746
MF	GO:0003924	GTPase activity	0.00922	OG0013883, OG0011056, OG0016075, OG0018546, OG0014232, OG0004140	Tfasc_v1.03916, Tfasc_v1.08100, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.25764, Tfasc_v1.29215
