Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0031930	mitochondria-nucleus signaling pathway	0.00017	OG0018349, OG0004712	Tfasc_v1.00181, Tfasc_v1.13089
BP	GO:0033962	P-body assembly	0.00042	OG0005531, OG0016710	Tfasc_v1.21518, Tfasc_v1.27529
BP	GO:1903830	magnesium ion transmembrane transport	8e-04	OG0008062, OG0000808	Tfasc_v1.15132, Tfasc_v1.18349, Tfasc_v1.18350
BP	GO:0042542	response to hydrogen peroxide	0.00675	OG0001060	Tfasc_v1.15768, Tfasc_v1.15769
BP	GO:0062055	photosynthetic state transition	0.01076	OG0002354	Tfasc_v1.26059
BP	GO:0000024	maltose biosynthetic process	0.01076	OG0001339	Tfasc_v1.27353
BP	GO:0000003	reproduction	0.01081	OG0014115, OG0013481, OG0002283, OG0016892	Tfasc_v1.09833, Tfasc_v1.11681, Tfasc_v1.12031, Tfasc_v1.23996
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.01422	OG0011654, OG0007909, OG0006973	Tfasc_v1.00196, Tfasc_v1.14853, Tfasc_v1.27381
BP	GO:0051259	protein complex oligomerization	0.0144	OG0001060	Tfasc_v1.15768, Tfasc_v1.15769
BP	GO:0052544	defense response by callose deposition in cell wall	0.0161	OG0014115	Tfasc_v1.09833
BP	GO:0030155	regulation of cell adhesion	0.0161	OG0004793	Tfasc_v1.02544
BP	GO:0034063	stress granule assembly	0.0161	OG0005531	Tfasc_v1.21518
BP	GO:0030187	melatonin biosynthetic process	0.0161	OG0002354	Tfasc_v1.26059
BP	GO:0019433	triglyceride catabolic process	0.0214	OG0002929	Tfasc_v1.13981
BP	GO:0009099	valine biosynthetic process	0.0214	OG0001421	Tfasc_v1.09629
BP	GO:0035067	negative regulation of histone acetylation	0.02668	OG0013481	Tfasc_v1.11681
BP	GO:0010019	chloroplast-nucleus signaling pathway	0.02668	OG0004712	Tfasc_v1.13089
BP	GO:0006075	(1->3)-beta-D-glucan biosynthetic process	0.02668	OG0014115	Tfasc_v1.09833
BP	GO:0006013	mannose metabolic process	0.02668	OG0006218	Tfasc_v1.06161
BP	GO:0006657	CDP-choline pathway	0.02668	OG0010117	Tfasc_v1.26850
BP	GO:0048579	negative regulation of long-day photoperiodism, flowering	0.02668	OG0002283	Tfasc_v1.12031
BP	GO:0098719	sodium ion import across plasma membrane	0.03194	OG0003256	Tfasc_v1.09144
BP	GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	0.03194	OG0004098	Tfasc_v1.11023
BP	GO:0032012	regulation of ARF protein signal transduction	0.03194	OG0016053	Tfasc_v1.13593
BP	GO:0009266	response to temperature stimulus	0.03617	OG0002283, OG0001060, OG0001339	Tfasc_v1.12031, Tfasc_v1.15768, Tfasc_v1.15769, Tfasc_v1.27353
BP	GO:2000028	regulation of photoperiodism, flowering	0.0367	OG0013481, OG0002283	Tfasc_v1.11681, Tfasc_v1.12031
BP	GO:0032259	methylation	0.03675	OG0015304, OG0019115, OG0013481, OG0010781, OG0002283, OG0007425	Tfasc_v1.00051, Tfasc_v1.07585, Tfasc_v1.11681, Tfasc_v1.11906, Tfasc_v1.12031, Tfasc_v1.22474
BP	GO:0006491	N-glycan processing	0.03716	OG0006218	Tfasc_v1.06161
BP	GO:0006517	protein deglycosylation	0.03716	OG0006218	Tfasc_v1.06161
BP	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	0.03716	OG0001279	Tfasc_v1.08954
