Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0051016	barbed-end actin filament capping	3.2e-05	OG0007810, OG0016443	Tfasc_v1.20340, Tfasc_v1.20344, Tfasc_v1.20347
BP	GO:0000395	mRNA 5'-splice site recognition	0.00029	OG0001115	Tfasc_v1.07551, Tfasc_v1.07572
BP	GO:0000103	sulfate assimilation	0.00262	OG0013652, OG0000975	Tfasc_v1.03296, Tfasc_v1.19884
BP	GO:0016310	phosphorylation	0.00409	OG0013317, OG0006508, OG0003109, OG0012527, OG0002779, OG0003987, OG0007137, OG0006040, OG0006046, OG0014668, OG0008162, OG0000975, OG0014770, OG0001406, OG0007434, OG0018223, OG0011898, OG0010101, OG0000826, OG0009381	Tfasc_v1.00845, Tfasc_v1.01272, Tfasc_v1.01491, Tfasc_v1.04881, Tfasc_v1.07158, Tfasc_v1.07641, Tfasc_v1.08858, Tfasc_v1.14471, Tfasc_v1.14480, Tfasc_v1.15444, Tfasc_v1.15524, Tfasc_v1.19884, Tfasc_v1.21890, Tfasc_v1.21991, Tfasc_v1.22471, Tfasc_v1.22692, Tfasc_v1.23292, Tfasc_v1.26814, Tfasc_v1.29567, Tfasc_v1.30131
BP	GO:0006102	isocitrate metabolic process	0.00416	OG0000507, OG0001397	Tfasc_v1.09620, Tfasc_v1.15089
BP	GO:0034314	Arp2/3 complex-mediated actin nucleation	0.00416	OG0009805, OG0004489	Tfasc_v1.03073, Tfasc_v1.06660
BP	GO:0048510	regulation of timing of transition from vegetative to reproductive phase	0.00707	OG0001115	Tfasc_v1.07551, Tfasc_v1.07572
BP	GO:0009817	defense response to fungus, incompatible interaction	0.00819	OG0008070, OG0001406	Tfasc_v1.15153, Tfasc_v1.21991
BP	GO:0009970	cellular response to sulfate starvation	0.0099	OG0013652	Tfasc_v1.03296
BP	GO:1901969	positive regulation of polynucleotide 3'-phosphatase activity	0.0099	OG0016603	Tfasc_v1.14264
BP	GO:0006166	purine ribonucleoside salvage	0.0099	OG0003987	Tfasc_v1.07641
BP	GO:1901972	positive regulation of DNA-5-methylcytosine glycosylase activity	0.0099	OG0016603	Tfasc_v1.14264
BP	GO:0090160	Golgi to lysosome transport	0.0099	OG0006023	Tfasc_v1.14444
BP	GO:0099638	endosome to plasma membrane protein transport	0.0099	OG0010418	Tfasc_v1.07712
BP	GO:0042543	protein N-linked glycosylation via arginine	0.0099	OG0009159	Tfasc_v1.29791
BP	GO:0006099	tricarboxylic acid cycle	0.0112	OG0000507, OG0001504, OG0001397	Tfasc_v1.09620, Tfasc_v1.09872, Tfasc_v1.15089
BP	GO:1902600	proton transmembrane transport	0.01317	OG0010370, OG0013938, OG0019211, OG0000449, OG0000413, OG0001380, OG0009535	Tfasc_v1.07850, Tfasc_v1.12165, Tfasc_v1.14165, Tfasc_v1.14600, Tfasc_v1.20185, Tfasc_v1.23325, Tfasc_v1.25154
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.01342	OG0012682, OG0008070	Tfasc_v1.12609, Tfasc_v1.15153
BP	GO:0015031	protein transport	0.01737	OG0015544, OG0010418, OG0006023, OG0000449, OG0000912, OG0002029, OG0014458, OG0002077, OG0015216, OG0018140, OG0003741, OG0015713	Tfasc_v1.06526, Tfasc_v1.07712, Tfasc_v1.14444, Tfasc_v1.14600, Tfasc_v1.17210, Tfasc_v1.17373, Tfasc_v1.17454, Tfasc_v1.17608, Tfasc_v1.18904, Tfasc_v1.24654, Tfasc_v1.25266, Tfasc_v1.26890
BP	GO:0045292	mRNA cis splicing, via spliceosome	0.0192	OG0015414, OG0001115, OG0001686	Tfasc_v1.04256, Tfasc_v1.07551, Tfasc_v1.07572, Tfasc_v1.17831
BP	GO:0009264	deoxyribonucleotide catabolic process	0.01957	OG0001414, OG0015194	Tfasc_v1.01277, Tfasc_v1.08279
BP	GO:0032491	detection of molecule of fungal origin	0.0197	OG0001406	Tfasc_v1.21991
BP	GO:0032499	detection of peptidoglycan	0.0197	OG0001406	Tfasc_v1.21991
BP	GO:0046081	dUTP catabolic process	0.0197	OG0001414	Tfasc_v1.01277
BP	GO:0071323	cellular response to chitin	0.0197	OG0001406	Tfasc_v1.21991
BP	GO:0010495	long-distance posttranscriptional gene silencing	0.0197	OG0015810	Tfasc_v1.18595
BP	GO:0006226	dUMP biosynthetic process	0.0197	OG0001414	Tfasc_v1.01277
BP	GO:0036257	multivesicular body organization	0.0197	OG0010418	Tfasc_v1.07712
BP	GO:0017121	plasma membrane phospholipid scrambling	0.0197	OG0012980	Tfasc_v1.23807
BP	GO:0002752	cell surface pattern recognition receptor signaling pathway	0.0197	OG0001406	Tfasc_v1.21991
BP	GO:0070814	hydrogen sulfide biosynthetic process	0.0197	OG0000975	Tfasc_v1.19884
BP	GO:0032780	negative regulation of ATPase activity	0.0197	OG0009315	Tfasc_v1.29958
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.02732	OG0001152, OG0008574, OG0012682, OG0013100, OG0001444, OG0008070, OG0010114	Tfasc_v1.00881, Tfasc_v1.04509, Tfasc_v1.12609, Tfasc_v1.13033, Tfasc_v1.14666, Tfasc_v1.15153, Tfasc_v1.26831
BP	GO:0000902	cell morphogenesis	0.02811	OG0007810, OG0016443, OG0014245	Tfasc_v1.20340, Tfasc_v1.20344, Tfasc_v1.20347, Tfasc_v1.25806
BP	GO:0070550	rDNA condensation	0.02941	OG0000084	Tfasc_v1.07156
BP	GO:0097359	UDP-glucosylation	0.02941	OG0002253	Tfasc_v1.07612
BP	GO:0006167	AMP biosynthetic process	0.02941	OG0003987	Tfasc_v1.07641
BP	GO:0009229	thiamine diphosphate biosynthetic process	0.02941	OG0003109	Tfasc_v1.01491
BP	GO:0006223	uracil salvage	0.02941	OG0000826	Tfasc_v1.29567
BP	GO:0071733	transcriptional activation by promoter-enhancer looping	0.02941	OG0000084	Tfasc_v1.07156
BP	GO:1990414	replication-born double-strand break repair via sister chromatid exchange	0.02941	OG0000084	Tfasc_v1.07156
BP	GO:0006390	mitochondrial transcription	0.02941	OG0018246	Tfasc_v1.25246
BP	GO:1901371	regulation of leaf morphogenesis	0.02941	OG0014858	Tfasc_v1.14813
BP	GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	0.02941	OG0004455	Tfasc_v1.21115
BP	GO:0071169	establishment of protein localization to chromatin	0.02941	OG0000084	Tfasc_v1.07156
BP	GO:1905406	positive regulation of mitotic cohesin loading	0.02941	OG0000084	Tfasc_v1.07156
BP	GO:0071219	cellular response to molecule of bacterial origin	0.03902	OG0001406	Tfasc_v1.21991
BP	GO:0032963	collagen metabolic process	0.03902	OG0014634	Tfasc_v1.23586
BP	GO:0046168	glycerol-3-phosphate catabolic process	0.03902	OG0005985	Tfasc_v1.14399
BP	GO:1900364	negative regulation of mRNA polyadenylation	0.03902	OG0012532	Tfasc_v1.04860
BP	GO:0035494	SNARE complex disassembly	0.03902	OG0003741	Tfasc_v1.25266
BP	GO:0009611	response to wounding	0.04681	OG0014770, OG0007434	Tfasc_v1.21890, Tfasc_v1.22471
BP	GO:0006552	leucine catabolic process	0.04854	OG0003539	Tfasc_v1.04741
BP	GO:0006228	UTP biosynthetic process	0.04854	OG0006046	Tfasc_v1.14480
BP	GO:0016574	histone ubiquitination	0.04854	OG0001444	Tfasc_v1.14666
