Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	7.5e-13	OG0010445, OG0011088, OG0001301, OG0001104, OG0005749, OG0008132, OG0003733	Tfasc_v1.07682, Tfasc_v1.08038, Tfasc_v1.11762, Tfasc_v1.13012, Tfasc_v1.13017, Tfasc_v1.14100, Tfasc_v1.15289, Tfasc_v1.25297
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	3.1e-08	OG0015607, OG0001167, OG0010445, OG0011088, OG0001301, OG0010734, OG0001104, OG0005749, OG0008132, OG0003733, OG0013701, OG0010025	Tfasc_v1.02653, Tfasc_v1.03425, Tfasc_v1.07682, Tfasc_v1.08038, Tfasc_v1.11762, Tfasc_v1.12002, Tfasc_v1.13012, Tfasc_v1.13017, Tfasc_v1.14100, Tfasc_v1.15289, Tfasc_v1.25297, Tfasc_v1.26280, Tfasc_v1.26655
BP	GO:0009086	methionine biosynthetic process	5.1e-05	OG0001751	Tfasc_v1.13365, Tfasc_v1.13368, Tfasc_v1.13369, Tfasc_v1.13370
BP	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.00041	OG0006456, OG0009685	Tfasc_v1.01160, Tfasc_v1.16136
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00094	OG0015607, OG0001167, OG0010445, OG0011088, OG0000482, OG0001301, OG0010734, OG0001104, OG0005749, OG0008132, OG0012161, OG0000107, OG0000491, OG0000769, OG0003733, OG0013701, OG0010025, OG0010599	Tfasc_v1.02653, Tfasc_v1.03425, Tfasc_v1.07682, Tfasc_v1.08038, Tfasc_v1.09425, Tfasc_v1.11762, Tfasc_v1.12002, Tfasc_v1.13012, Tfasc_v1.13017, Tfasc_v1.14100, Tfasc_v1.15289, Tfasc_v1.15923, Tfasc_v1.17651, Tfasc_v1.23072, Tfasc_v1.25115, Tfasc_v1.25297, Tfasc_v1.26280, Tfasc_v1.26655, Tfasc_v1.28526
BP	GO:0010025	wax biosynthetic process	0.00239	OG0007395, OG0010025	Tfasc_v1.22551, Tfasc_v1.26655
BP	GO:0007283	spermatogenesis	0.00835	OG0002341	Tfasc_v1.00793
BP	GO:1900490	positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity	0.00835	OG0010025	Tfasc_v1.26655
BP	GO:0006007	glucose catabolic process	0.00835	OG0003656	Tfasc_v1.29777
BP	GO:0010992	ubiquitin recycling	0.00835	OG0010734	Tfasc_v1.12002
