Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	3.7e-07	OG0006481, OG0012668, OG0013548, OG0001637, OG0001291, OG0001435, OG0010800, OG0001257, OG0004223, OG0012226, OG0000760, OG0011570, OG0013023, OG0016064, OG0010119, OG0005382, OG0001885, OG0009245	Tfasc_v1.01218, Tfasc_v1.02018, Tfasc_v1.06116, Tfasc_v1.06683, Tfasc_v1.08630, Tfasc_v1.09310, Tfasc_v1.11228, Tfasc_v1.11870, Tfasc_v1.14262, Tfasc_v1.18252, Tfasc_v1.21336, Tfasc_v1.21421, Tfasc_v1.22941, Tfasc_v1.23656, Tfasc_v1.23961, Tfasc_v1.25636, Tfasc_v1.26845, Tfasc_v1.27400, Tfasc_v1.27720, Tfasc_v1.29307
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	4e-06	OG0006481, OG0001637, OG0019116, OG0015493, OG0001257, OG0004441, OG0000741, OG0000760, OG0010119, OG0001885	Tfasc_v1.01218, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.07896, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.15893, Tfasc_v1.20296, Tfasc_v1.21421, Tfasc_v1.26845, Tfasc_v1.27720
BP	GO:0006891	intra-Golgi vesicle-mediated transport	6.5e-06	OG0012668, OG0001637, OG0019116, OG0001435, OG0001257, OG0000741, OG0013023, OG0016892, OG0008828, OG0010119	Tfasc_v1.02018, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.09310, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.20296, Tfasc_v1.23656, Tfasc_v1.23961, Tfasc_v1.23996, Tfasc_v1.24112, Tfasc_v1.26845
BP	GO:0045046	protein import into peroxisome membrane	0.00049	OG0013399, OG0018063, OG0000018	Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193
BP	GO:0033962	P-body assembly	0.00229	OG0005531, OG0010768	Tfasc_v1.07756, Tfasc_v1.11923, Tfasc_v1.21518
BP	GO:0090110	COPII-coated vesicle cargo loading	0.00229	OG0011570, OG0005382, OG0009245	Tfasc_v1.22941, Tfasc_v1.27400, Tfasc_v1.29307
BP	GO:0006024	glycosaminoglycan biosynthetic process	0.00255	OG0000976	Tfasc_v1.04684, Tfasc_v1.23212
BP	GO:0006788	heme oxidation	0.00255	OG0017736, OG0015334	Tfasc_v1.14575, Tfasc_v1.30498
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.00595	OG0006128, OG0002488, OG0000623	Tfasc_v1.06406, Tfasc_v1.11326, Tfasc_v1.25212
BP	GO:0006886	intracellular protein transport	0.00659	OG0001949, OG0006600, OG0012615, OG0012668, OG0001653, OG0001167, OG0013548, OG0006128, OG0001637, OG0019116, OG0001291, OG0001435, OG0016858, OG0013399, OG0018063, OG0000018, OG0013209, OG0002488, OG0001264, OG0010345, OG0001257, OG0014947, OG0008135, OG0014361, OG0009055, OG0011404, OG0015047, OG0000741, OG0012226, OG0007354, OG0018718, OG0011570, OG0013023, OG0002118, OG0008858, OG0000769, OG0009526, OG0000623, OG0016064, OG0005382, OG0006836, OG0006726, OG0009245	Tfasc_v1.01425, Tfasc_v1.01446, Tfasc_v1.01903, Tfasc_v1.02018, Tfasc_v1.02171, Tfasc_v1.03425, Tfasc_v1.06116, Tfasc_v1.06406, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.08630, Tfasc_v1.09310, Tfasc_v1.09447, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.10695, Tfasc_v1.11228, Tfasc_v1.11326, Tfasc_v1.12346, Tfasc_v1.13288, Tfasc_v1.14262, Tfasc_v1.14618, Tfasc_v1.15295, Tfasc_v1.16010, Tfasc_v1.16527, Tfasc_v1.17213, Tfasc_v1.17961, Tfasc_v1.20296, Tfasc_v1.21336, Tfasc_v1.22619, Tfasc_v1.22883, Tfasc_v1.22941, Tfasc_v1.23656, Tfasc_v1.23961, Tfasc_v1.24087, Tfasc_v1.24171, Tfasc_v1.25115, Tfasc_v1.25150, Tfasc_v1.25212, Tfasc_v1.25636, Tfasc_v1.27400, Tfasc_v1.27794, Tfasc_v1.27992, Tfasc_v1.29307
BP	GO:0010821	regulation of mitochondrion organization	0.00738	OG0006543, OG0007280, OG0001886	Tfasc_v1.01332, Tfasc_v1.09177, Tfasc_v1.14455
BP	GO:0034063	stress granule assembly	0.00739	OG0005531	Tfasc_v1.07756, Tfasc_v1.21518
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00819	OG0015607, OG0000429, OG0001167, OG0000651, OG0017549, OG0000491, OG0012838, OG0010372, OG0003233, OG0000482, OG0001376, OG0016398, OG0011748, OG0015136, OG0005724, OG0005749, OG0005929, OG0005960, OG0007913, OG0001091, OG0012126, OG0000408, OG0017186, OG0011558, OG0009625, OG0000769, OG0010064, OG0010114, OG0006836, OG0010599, OG0003674	Tfasc_v1.02653, Tfasc_v1.03383, Tfasc_v1.03425, Tfasc_v1.04960, Tfasc_v1.05224, Tfasc_v1.05825, Tfasc_v1.06890, Tfasc_v1.07834, Tfasc_v1.08997, Tfasc_v1.09425, Tfasc_v1.11052, Tfasc_v1.11283, Tfasc_v1.12327, Tfasc_v1.13453, Tfasc_v1.13848, Tfasc_v1.14100, Tfasc_v1.14278, Tfasc_v1.14337, Tfasc_v1.14868, Tfasc_v1.15921, Tfasc_v1.16006, Tfasc_v1.17279, Tfasc_v1.18227, Tfasc_v1.22973, Tfasc_v1.24948, Tfasc_v1.25115, Tfasc_v1.26743, Tfasc_v1.26831, Tfasc_v1.27794, Tfasc_v1.28526, Tfasc_v1.29351
BP	GO:0006487	protein N-linked glycosylation	0.0102	OG0002630, OG0017653, OG0017977, OG0006218, OG0006128, OG0016398, OG0009721, OG0006992, OG0001473	Tfasc_v1.01753, Tfasc_v1.01755, Tfasc_v1.04313, Tfasc_v1.06161, Tfasc_v1.06406, Tfasc_v1.11283, Tfasc_v1.16197, Tfasc_v1.27263, Tfasc_v1.29832
BP	GO:0048364	root development	0.01033	OG0009917, OG0003212, OG0001607, OG0014991, OG0007913, OG0015047, OG0004418, OG0007529, OG0012992, OG0009625	Tfasc_v1.03396, Tfasc_v1.08803, Tfasc_v1.12398, Tfasc_v1.14803, Tfasc_v1.14868, Tfasc_v1.17961, Tfasc_v1.21487, Tfasc_v1.22264, Tfasc_v1.23785, Tfasc_v1.24948
BP	GO:0006896	Golgi to vacuole transport	0.01039	OG0001435, OG0015047, OG0000769, OG0006836	Tfasc_v1.09310, Tfasc_v1.17961, Tfasc_v1.23961, Tfasc_v1.25115, Tfasc_v1.27794
