Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009408	response to heat	0.0014	OG0006185, OG0005721, OG0009703, OG0011587, OG0010120	Tfasc_v1.06266, Tfasc_v1.13849, Tfasc_v1.16168, Tfasc_v1.22923, Tfasc_v1.26841
BP	GO:0009651	response to salt stress	0.0018	OG0001313, OG0006185, OG0008396, OG0009073, OG0009703, OG0005434	Tfasc_v1.01449, Tfasc_v1.06266, Tfasc_v1.09376, Tfasc_v1.13598, Tfasc_v1.16168, Tfasc_v1.30692
BP	GO:0005978	glycogen biosynthetic process	0.0032	OG0005268, OG0015595	Tfasc_v1.15703, Tfasc_v1.15704
BP	GO:0000712	resolution of meiotic recombination intermediates	0.0032	OG0019181, OG0013228	Tfasc_v1.13489, Tfasc_v1.13490
BP	GO:0000373	Group II intron splicing	0.0064	OG0007182, OG0019298	Tfasc_v1.08959, Tfasc_v1.11912
BP	GO:0016242	negative regulation of macroautophagy	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:0040019	positive regulation of embryonic development	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:2000685	positive regulation of cellular response to X-ray	0.0071	OG0019194	Tfasc_v1.13766
BP	GO:0071280	cellular response to copper ion	0.0071	OG0001313	Tfasc_v1.01449
BP	GO:0007283	spermatogenesis	0.0071	OG0002341	Tfasc_v1.00793
BP	GO:1904975	response to bleomycin	0.0071	OG0019194	Tfasc_v1.13766
BP	GO:0006540	glutamate decarboxylation to succinate	0.0071	OG0010120	Tfasc_v1.26841
BP	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.0071	OG0000408	Tfasc_v1.17279
BP	GO:0009450	gamma-aminobutyric acid catabolic process	0.0071	OG0010120	Tfasc_v1.26841
BP	GO:0009745	sucrose mediated signaling	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:1902661	positive regulation of glucose mediated signaling pathway	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:1901355	response to rapamycin	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:0070544	histone H3-K36 demethylation	0.0071	OG0015839	Tfasc_v1.18548
BP	GO:0010157	response to chlorate	0.0071	OG0006185	Tfasc_v1.06266
BP	GO:2000234	positive regulation of rRNA processing	0.0071	OG0006653	Tfasc_v1.01544
BP	GO:0006457	protein folding	0.0086	OG0013171, OG0006185, OG0007144, OG0005721, OG0009703, OG0002557	Tfasc_v1.05562, Tfasc_v1.06266, Tfasc_v1.08899, Tfasc_v1.13849, Tfasc_v1.16168, Tfasc_v1.17421
BP	GO:0006401	RNA catabolic process	0.011	OG0012845, OG0007182, OG0019181, OG0013228, OG0009217	Tfasc_v1.06880, Tfasc_v1.08959, Tfasc_v1.13489, Tfasc_v1.13490, Tfasc_v1.29391
BP	GO:0016441	posttranscriptional gene silencing	0.014	OG0001313, OG0007182, OG0005434	Tfasc_v1.01449, Tfasc_v1.08959, Tfasc_v1.30692
BP	GO:0072598	protein localization to chloroplast	0.0141	OG0006185, OG0009957	Tfasc_v1.06266, Tfasc_v1.26515
BP	GO:0010116	positive regulation of abscisic acid biosynthetic process	0.0142	OG0006653	Tfasc_v1.01544
BP	GO:0010133	proline catabolic process to glutamate	0.0142	OG0008396	Tfasc_v1.09376
BP	GO:0038202	TORC1 signaling	0.0142	OG0006653	Tfasc_v1.01544
BP	GO:0010929	positive regulation of auxin mediated signaling pathway	0.0142	OG0006653	Tfasc_v1.01544
BP	GO:0071493	cellular response to UV-B	0.0142	OG0001313	Tfasc_v1.01449
BP	GO:0003352	regulation of cilium movement	0.0142	OG0011627	Tfasc_v1.00152
BP	GO:0071457	cellular response to ozone	0.0142	OG0001313	Tfasc_v1.01449
BP	GO:0017121	plasma membrane phospholipid scrambling	0.0142	OG0012980	Tfasc_v1.23807
BP	GO:0050687	negative regulation of defense response to virus	0.0142	OG0006653	Tfasc_v1.01544
BP	GO:0000349	generation of catalytic spliceosome for first transesterification step	0.0142	OG0013143	Tfasc_v1.07576
BP	GO:0015801	aromatic amino acid transport	0.0142	OG0015844	Tfasc_v1.18515
BP	GO:0009793	embryo development ending in seed dormancy	0.0168	OG0006653, OG0007182, OG0002408, OG0007354, OG0010120	Tfasc_v1.01544, Tfasc_v1.08959, Tfasc_v1.21694, Tfasc_v1.22619, Tfasc_v1.26841
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.0204	OG0002341, OG0009217	Tfasc_v1.00793, Tfasc_v1.29391
BP	GO:0010138	pyrimidine ribonucleotide salvage	0.0212	OG0007510	Tfasc_v1.22311
BP	GO:0010225	response to UV-C	0.0212	OG0019194	Tfasc_v1.13766
BP	GO:0070478	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay	0.0212	OG0007182	Tfasc_v1.08959
BP	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	0.0212	OG0009073	Tfasc_v1.13598
BP	GO:1900459	positive regulation of brassinosteroid mediated signaling pathway	0.0212	OG0006653	Tfasc_v1.01544
BP	GO:0043970	histone H3-K9 acetylation	0.0212	OG0007238	Tfasc_v1.09085
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.0217	OG0011627, OG0017340, OG0006364, OG0016859, OG0000408, OG0000316	Tfasc_v1.00152, Tfasc_v1.04969, Tfasc_v1.05731, Tfasc_v1.09411, Tfasc_v1.17279, Tfasc_v1.29382
BP	GO:0051028	mRNA transport	0.0279	OG0006600, OG0009217	Tfasc_v1.01446, Tfasc_v1.29391
BP	GO:0009234	menaquinone biosynthetic process	0.0282	OG0016253	Tfasc_v1.05770
BP	GO:0070262	peptidyl-serine dephosphorylation	0.0282	OG0000750	Tfasc_v1.16225
BP	GO:0015804	neutral amino acid transport	0.0282	OG0015844	Tfasc_v1.18515
BP	GO:0006273	lagging strand elongation	0.0351	OG0019194	Tfasc_v1.13766
BP	GO:0009303	rRNA transcription	0.0351	OG0006653	Tfasc_v1.01544
BP	GO:0010039	response to iron ion	0.0351	OG0001313	Tfasc_v1.01449
BP	GO:0010492	maintenance of shoot apical meristem identity	0.0351	OG0010120	Tfasc_v1.26841
BP	GO:1902456	regulation of stomatal opening	0.0351	OG0008972	Tfasc_v1.16321
BP	GO:0030307	positive regulation of cell growth	0.0351	OG0006653	Tfasc_v1.01544
BP	GO:0016572	histone phosphorylation	0.0351	OG0014289	Tfasc_v1.17049
BP	GO:0032781	positive regulation of ATPase activity	0.0351	OG0013171	Tfasc_v1.05562
BP	GO:0015074	DNA integration	0.042	OG0019194	Tfasc_v1.13766
BP	GO:0048015	phosphatidylinositol-mediated signaling	0.042	OG0009073	Tfasc_v1.13598
BP	GO:0031848	protection from non-homologous end joining at telomere	0.042	OG0019194	Tfasc_v1.13766
BP	GO:0051103	DNA ligation involved in DNA repair	0.042	OG0019194	Tfasc_v1.13766
BP	GO:1902074	response to salt	0.042	OG0010120	Tfasc_v1.26841
BP	GO:0030242	autophagy of peroxisome	0.042	OG0009073	Tfasc_v1.13598
BP	GO:0010405	arabinogalactan protein metabolic process	0.042	OG0007510	Tfasc_v1.22311
BP	GO:0006419	alanyl-tRNA aminoacylation	0.042	OG0003227	Tfasc_v1.08952
BP	GO:0072593	reactive oxygen species metabolic process	0.0467	OG0001313, OG0008396, OG0009073, OG0010120	Tfasc_v1.01449, Tfasc_v1.09376, Tfasc_v1.13598, Tfasc_v1.26841
BP	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.0488	OG0010628	Tfasc_v1.28371
BP	GO:1990592	protein K69-linked ufmylation	0.0488	OG0011627	Tfasc_v1.00152
BP	GO:1900369	negative regulation of RNA interference	0.0488	OG0005434	Tfasc_v1.30692
BP	GO:0071484	cellular response to light intensity	0.0488	OG0001313	Tfasc_v1.01449
BP	GO:0002237	response to molecule of bacterial origin	0.0488	OG0019194	Tfasc_v1.13766
BP	GO:0016567	protein ubiquitination	0.049	OG0017340, OG0013143, OG0016859, OG0007818, OG0007887, OG0000316	Tfasc_v1.04969, Tfasc_v1.07576, Tfasc_v1.09411, Tfasc_v1.20372, Tfasc_v1.20512, Tfasc_v1.29382
MF	GO:0003844	1,4-alpha-glucan branching enzyme activity	0.00046	OG0005268, OG0015595	Tfasc_v1.15703, Tfasc_v1.15704
MF	GO:0003724	RNA helicase activity	0.00334	OG0007182, OG0019298, OG0019181, OG0013228	Tfasc_v1.08959, Tfasc_v1.11912, Tfasc_v1.13489, Tfasc_v1.13490
MF	GO:0016303	1-phosphatidylinositol-3-kinase activity	0.00682	OG0009073	Tfasc_v1.13598
MF	GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity	0.00682	OG0010120	Tfasc_v1.26841
MF	GO:0071633	dihydroceramidase activity	0.00682	OG0008972	Tfasc_v1.16321
MF	GO:0050242	pyruvate, phosphate dikinase activity	0.00682	OG0013317	Tfasc_v1.00845
MF	GO:0047800	cysteamine dioxygenase activity	0.00682	OG0015134	Tfasc_v1.13424
