Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0018298	protein-chromophore linkage	1.5e-05	OG0012864, OG0004124, OG0013035, OG0013716, OG0014219	Tfasc_v1.09192, Tfasc_v1.10778, Tfasc_v1.13157, Tfasc_v1.18475, Tfasc_v1.25753
BP	GO:0042128	nitrate assimilation	8.6e-05	OG0000928, OG0003196	Tfasc_v1.08593, Tfasc_v1.08596, Tfasc_v1.08668
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	8.6e-05	OG0012864, OG0004124, OG0013716, OG0014219	Tfasc_v1.09192, Tfasc_v1.10778, Tfasc_v1.18475, Tfasc_v1.25753
BP	GO:0009773	photosynthetic electron transport in photosystem I	0.00049	OG0007149, OG0013823, OG0004435	Tfasc_v1.08897, Tfasc_v1.11070, Tfasc_v1.24779
BP	GO:0010222	stem vascular tissue pattern formation	0.0016	OG0003852, OG0012684	Tfasc_v1.03381, Tfasc_v1.20561
BP	GO:0006809	nitric oxide biosynthetic process	0.0016	OG0000928	Tfasc_v1.08593, Tfasc_v1.08596
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	0.0016	OG0015726, OG0014141	Tfasc_v1.26919, Tfasc_v1.28181
BP	GO:0010588	cotyledon vascular tissue pattern formation	0.00264	OG0003852, OG0012684	Tfasc_v1.03381, Tfasc_v1.20561
BP	GO:0010236	plastoquinone biosynthetic process	0.00391	OG0007286, OG0001497	Tfasc_v1.22735, Tfasc_v1.26913
BP	GO:0006107	oxaloacetate metabolic process	0.00391	OG0001548, OG0012052	Tfasc_v1.03126, Tfasc_v1.21563
BP	GO:0042542	response to hydrogen peroxide	0.0062	OG0012505, OG0001060, OG0012684	Tfasc_v1.04954, Tfasc_v1.15768, Tfasc_v1.20561
BP	GO:0009789	positive regulation of abscisic acid-activated signaling pathway	0.00714	OG0000063, OG0016683	Tfasc_v1.28005, Tfasc_v1.28006
BP	GO:0009651	response to salt stress	0.0075	OG0003852, OG0012505, OG0006223, OG0001881, OG0001060, OG0004678, OG0000063, OG0016683	Tfasc_v1.03381, Tfasc_v1.04954, Tfasc_v1.06145, Tfasc_v1.14317, Tfasc_v1.15768, Tfasc_v1.19302, Tfasc_v1.19305, Tfasc_v1.28005, Tfasc_v1.28006
BP	GO:0006734	NADH metabolic process	0.01124	OG0001548, OG0012052	Tfasc_v1.03126, Tfasc_v1.21563
BP	GO:0030388	fructose 1,6-bisphosphate metabolic process	0.01358	OG0013937, OG0000766	Tfasc_v1.12157, Tfasc_v1.17464
BP	GO:0035435	phosphate ion transmembrane transport	0.01358	OG0000586, OG0007525	Tfasc_v1.18744, Tfasc_v1.22265
BP	GO:0009658	chloroplast organization	0.01421	OG0006586, OG0008472, OG0012884, OG0002762, OG0008139, OG0009712, OG0009246, OG0009296	Tfasc_v1.01416, Tfasc_v1.04694, Tfasc_v1.09243, Tfasc_v1.13521, Tfasc_v1.15343, Tfasc_v1.16185, Tfasc_v1.29308, Tfasc_v1.29947
BP	GO:0010218	response to far red light	0.01612	OG0002186, OG0012025	Tfasc_v1.16050, Tfasc_v1.21597
BP	GO:0051598	meiotic recombination checkpoint signaling	0.01655	OG0007520	Tfasc_v1.22285
BP	GO:0080065	4-alpha-methyl-delta7-sterol oxidation	0.01655	OG0001880	Tfasc_v1.12213
BP	GO:0080051	cutin transport	0.01655	OG0003852	Tfasc_v1.03381
BP	GO:0006587	serotonin biosynthetic process from tryptophan	0.01655	OG0001574	Tfasc_v1.10977
BP	GO:1904183	negative regulation of pyruvate dehydrogenase activity	0.01655	OG0014440	Tfasc_v1.27066
BP	GO:0061015	snRNA import into nucleus	0.01655	OG0004903	Tfasc_v1.18473
BP	GO:0010184	cytokinin transport	0.01655	OG0012684	Tfasc_v1.20561
BP	GO:0001714	endodermal cell fate specification	0.01655	OG0001935	Tfasc_v1.01143
BP	GO:1902458	positive regulation of stomatal opening	0.01655	OG0011006	Tfasc_v1.10777
BP	GO:1903426	regulation of reactive oxygen species biosynthetic process	0.01655	OG0011006	Tfasc_v1.10777
BP	GO:0019538	protein metabolic process	0.01713	OG0015293, OG0006586, OG0013239, OG0018804, OG0013357, OG0000636, OG0013883, OG0008611, OG0008490, OG0008486, OG0000172, OG0001287, OG0007119, OG0007138, OG0012864, OG0005228, OG0004124, OG0010832, OG0015961, OG0013035, OG0000360, OG0005772, OG0005943, OG0001881, OG0006000, OG0000553, OG0016818, OG0007933, OG0009702, OG0009033, OG0014292, OG0000766, OG0014334, OG0011358, OG0011380, OG0013716, OG0015835, OG0014579, OG0013122, OG0011181, OG0007603, OG0000211, OG0004809, OG0007492, OG0014695, OG0015097, OG0011481, OG0003523, OG0000042, OG0014219, OG0015716, OG0014440, OG0019016, OG0006845, OG0006722, OG0000063, OG0016683, OG0005028, OG0001645, OG0009149, OG0009162, OG0003657, OG0009319, OG0016953, OG0002557, OG0001529	Tfasc_v1.00057, Tfasc_v1.01416, Tfasc_v1.02035, Tfasc_v1.02217, Tfasc_v1.02512, Tfasc_v1.02515, Tfasc_v1.03916, Tfasc_v1.04455, Tfasc_v1.04665, Tfasc_v1.04669, Tfasc_v1.05830, Tfasc_v1.05874, Tfasc_v1.08840, Tfasc_v1.08854, Tfasc_v1.09192, Tfasc_v1.10278, Tfasc_v1.10778, Tfasc_v1.11754, Tfasc_v1.12089, Tfasc_v1.13157, Tfasc_v1.13500, Tfasc_v1.14047, Tfasc_v1.14297, Tfasc_v1.14317, Tfasc_v1.14410, Tfasc_v1.14728, Tfasc_v1.14859, Tfasc_v1.14920, Tfasc_v1.16170, Tfasc_v1.16195, Tfasc_v1.16474, Tfasc_v1.17044, Tfasc_v1.17464, Tfasc_v1.18215, Tfasc_v1.18309, Tfasc_v1.18342, Tfasc_v1.18475, Tfasc_v1.18552, Tfasc_v1.18717, Tfasc_v1.19287, Tfasc_v1.19434, Tfasc_v1.19909, Tfasc_v1.21583, Tfasc_v1.22200, Tfasc_v1.22343, Tfasc_v1.22385, Tfasc_v1.22769, Tfasc_v1.23114, Tfasc_v1.25050, Tfasc_v1.25198, Tfasc_v1.25753, Tfasc_v1.26900, Tfasc_v1.27066, Tfasc_v1.27158, Tfasc_v1.27782, Tfasc_v1.27989, Tfasc_v1.28005, Tfasc_v1.28006, Tfasc_v1.28222, Tfasc_v1.28418, Tfasc_v1.29760, Tfasc_v1.29792, Tfasc_v1.29799, Tfasc_v1.29975, Tfasc_v1.30031, Tfasc_v1.30550, Tfasc_v1.30707
BP	GO:0009767	photosynthetic electron transport chain	0.01823	OG0004853, OG0007149, OG0013823, OG0004435, OG0003870, OG0005028	Tfasc_v1.06065, Tfasc_v1.08897, Tfasc_v1.11070, Tfasc_v1.24779, Tfasc_v1.26637, Tfasc_v1.28222
BP	GO:0051259	protein complex oligomerization	0.01874	OG0012505, OG0001060, OG0000526	Tfasc_v1.04954, Tfasc_v1.15768, Tfasc_v1.21541
BP	GO:0010207	photosystem II assembly	0.01885	OG0011006, OG0008787	Tfasc_v1.10777, Tfasc_v1.24035
BP	GO:0015996	chlorophyll catabolic process	0.01885	OG0008659, OG0011006	Tfasc_v1.04342, Tfasc_v1.10777
BP	GO:0010027	thylakoid membrane organization	0.01981	OG0008472, OG0011006, OG0005028	Tfasc_v1.04694, Tfasc_v1.10777, Tfasc_v1.28222
BP	GO:0010099	regulation of photomorphogenesis	0.02176	OG0002186, OG0008942	Tfasc_v1.16050, Tfasc_v1.24331
BP	GO:1901002	positive regulation of response to salt stress	0.02176	OG0004678	Tfasc_v1.19302, Tfasc_v1.19305
BP	GO:0061077	chaperone-mediated protein folding	0.03138	OG0006223, OG0001367, OG0002557	Tfasc_v1.06145, Tfasc_v1.22376, Tfasc_v1.30550
BP	GO:0006833	water transport	0.03148	OG0000779, OG0000526	Tfasc_v1.07651, Tfasc_v1.21541
BP	GO:0090610	bundle sheath cell fate specification	0.03282	OG0001935	Tfasc_v1.01143
BP	GO:0001193	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter	0.03282	OG0001334	Tfasc_v1.13071
BP	GO:0051290	protein heterotetramerization	0.03282	OG0000526	Tfasc_v1.21541
BP	GO:0090322	regulation of superoxide metabolic process	0.03282	OG0009161	Tfasc_v1.29802
BP	GO:0043481	anthocyanin accumulation in tissues in response to UV light	0.03282	OG0012025	Tfasc_v1.21597
BP	GO:0035600	tRNA methylthiolation	0.03282	OG0005772	Tfasc_v1.14047
BP	GO:0010541	acropetal auxin transport	0.03282	OG0012025	Tfasc_v1.21597
BP	GO:0010266	response to vitamin B1	0.03282	OG0005943	Tfasc_v1.14297
BP	GO:0009646	response to absence of light	0.03874	OG0009712, OG0009246	Tfasc_v1.16185, Tfasc_v1.29308
