corr_to_sample	corr_to_time	gene_count	pvalue_sample	pvalue_time
MEsaddlebrown	0.163201461342676	-0.389241173460137	205	0.341580106180613	0.0189553117823045
MEyellowgreen	0.375556909537356	-0.489228039113892	172	0.0239983871876706	0.00246166735351451
MEyellow3	0.0522607630333588	0.443605042109314	63	0.762114506591754	0.00672950197523088
MEskyblue4	-0.173638239671053	-0.469201995400305	64	0.311164695897039	0.00389223014949299
MEpink	0.181082542697583	-0.569826216794373	517	0.290548220058039	0.000285987713357148
MEdarkseagreen4	-0.0977370081976161	-0.36463643636677	120	0.570655233650055	0.0287784186923474
MElightyellow	0.0954845767171922	-0.333352903096317	291	0.579608360085562	0.0469482961641929
MEroyalblue	-0.00499641539845389	-0.497761780631843	278	0.976927887747884	0.00200802923259008
MEmediumpurple4	-0.0570615886180222	-0.617986791244963	65	0.740979731138415	5.91759126587743e-05
MEsteelblue	-0.0837323031449491	-0.473092057540485	204	0.627309240025023	0.00356834967169915
MEsalmon2	0.0863156337763039	0.46844124950948	82	0.616686210662577	0.00395846408750526
MEbrown	0.222501304268026	0.604022147173154	1120	0.19212642987393	9.5922008535179e-05
MElightsteelblue1	0.233735433074071	0.363346880511171	157	0.170060064020782	0.0293912249458998
MEplum2	-0.135378495679791	0.446878665684661	138	0.431142095414879	0.00628867055564077
MEgrey60	0.279695156502571	0.424246192110189	295	0.0985130610479578	0.00991632976763229
MEmaroon	-0.0371221541659915	0.368377818626698	126	0.829809243568457	0.0270596751046517
MEdarkmagenta	-0.214191017167078	0.413268522595997	181	0.20969297543986	0.0122374695168643
MEmidnightblue	0.19353812870793	0.46222366586964	331	0.258063210004636	0.0045374078822529
MEdarkviolet	-0.304351187134991	0.352824982999455	85	0.0711143788326362	0.0348024783377189
MElightsteelblue	0.277947551983916	-0.365631683527092	95	0.100723998938925	0.0283126854178147
MEpalevioletred3	0.330827791950677	0.365192025706092	129	0.0487463423282485	0.0285176561691478
MEdarkseagreen3	0.524996717104784	0.378015494304232	75	0.00101100070451494	0.0230183444074065
