,corr_to_sample,corr_to_time,gene_count,pvalue_sample,pvalue_time
MElightcyan,-0.0326586860869183,-0.344587329402416,379,0.854517916102239,0.0459653728341304
MEmagenta4,0.177245663343107,-0.369880033042461,85,0.315946747364278,0.0313111063350591
MElightyellow,-5.37811914387906e-05,-0.388807045084215,319,0.999759146429172,0.0230525982754959
MEyellow,0.0492307998226579,-0.357839441219944,736,0.782169691817653,0.0377218164877971
MElightpink2,0.134345145998126,0.474355881201693,43,0.44874860262939,0.00459233385290473
MEdarkviolet,-0.122553285821204,0.392664159440911,90,0.489890569908244,0.0216132053985896
MEcyan,-0.225786292398252,0.339560459234627,415,0.199155914164607,0.0494468669743061
MEdeeppink,-0.1751093558222,0.484269031939617,55,0.321908636615368,0.00370640302477497
MElightgreen,-0.2390875733251,0.365985163149093,339,0.173258371516524,0.03327930637637
MEmediumpurple3,0.0881184385778589,0.388648783037616,152,0.620203913119915,0.0231133104032877
MEindianred4,-0.340982433340219,0.429418478552214,96,0.048441352395069,0.0112637084053767
MEthistle1,-0.245083280279372,0.350815998745184,124,0.162405258159927,0.0419271826595719
